Transcription-Units	Genes of transcription unit	Direction
TU1OEB-64	USA300HOU_RS14950 // USA300HOU_RS00440 // USA300HOU_RS00435	+
TU1OEB-1383	USA300HOU_RS13210	+
TU1OEB-1145	USA300HOU_RS10895	+
TU1OEB-760	USA300HOU_RS06790	+
TU1OEB-857	USA300HOU_RS07900 // USA300HOU_RS07895 // USA300HOU_RS07890 // USA300HOU_RS07885 // USA300HOU_RS07880 // USA300HOU_RS07875	-
TU1OEB-1843	USA300HOU_RS04165	+
TU1OEB-1921	USA300HOU_RS00160	-
TU1OEB-1207	USA300HOU_RS11550	-
TU1OEB-522	USA300HOU_RS15180	+
TU1OEB-1711	USA300HOU_RS09175	-
TU1OEB-54	USA300HOU_RS00330	-
TU1OEB-578	USA300HOU_RS04950	+
TU1OEB-1662	USA300HOU_RS11475	+
TU1OEB-1551	USA300HOU_RS14655 // USA300HOU_RS14650	+
TU1OEB-1690	USA300HOU_RS10285	+
TU1OEB-1019	USA300HOU_RS09555 // USA300HOU_RS09550	+
TU1OEB-1324	USA300HOU_RS12705 // USA300HOU_RS12700	+
TU1OEB-392	USA300HOU_RS03370 // USA300HOU_RS03365	-
TU1OEB-1900	USA300HOU_RS01175	+
TU1OEB-1002	USA300HOU_RS09420 // USA300HOU_RS09415 // USA300HOU_RS09410	+
TU1OEB-239	USA300HOU_RS02100 // USA300HOU_RS02095	-
TU1OEB-1299	USA300HOU_RS12490	-
TU1OEB-204	USA300HOU_RS01770	+
TU1OEB-981	USA300HOU_RS09225	-
TU1OEB-1641	USA300HOU_RS12420	+
TU1OEB-566	USA300HOU_RS04815	-
TU1OEB-356	USA300HOU_RS03095 // USA300HOU_RS03090 // USA300HOU_RS03085	+
TU1OEB-1044	USA300HOU_RS09800 // USA300HOU_RS09795 // USA300HOU_RS09790 // USA300HOU_RS09785	-
TU1OEB-862	USA300HOU_RS07980 // USA300HOU_RS07975	-
TU1OEB-1072	USA300HOU_RS10140	+
TU1OEB-645	USA300HOU_RS05685	+
TU1OEB-766	USA300HOU_RS06840 // USA300HOU_RS06835	+
TU1OEB-1328	USA300HOU_RS12760	+
TU1OEB-1544	USA300HOU_RS14600	+
TU1OEB-729	USA300HOU_RS06500 // USA300HOU_RS06495	+
TU1OEB-1670	USA300HOU_RS10955	-
TU1OEB-1754	USA300HOU_RS07150	-
TU1OEB-434	USA300HOU_RS03755	+
TU1OEB-1241	USA300HOU_RS11840 // USA300HOU_RS11835	-
TU1OEB-355	USA300HOU_RS03080	+
TU1OEB-1539	USA300HOU_RS14555	-
TU1OEB-1261	USA300HOU_RS12015 // USA300HOU_RS12010	-
TU1OEB-798	USA300HOU_RS07210 // USA300HOU_RS07205	-
TU1OEB-606	USA300HOU_RS05215	-
TU1OEB-1748	USA300HOU_RS07605	+
TU1OEB-1327	USA300HOU_RS12745 // USA300HOU_RS12740	-
TU1OEB-1647	USA300HOU_RS12270	+
TU1OEB-706	USA300HOU_RS06285	+
TU1OEB-167	USA300HOU_RS01390	-
TU1OEB-1393	USA300HOU_RS13315	-
TU1OEB-1868	USA300HOU_RS02345	-
TU1OEB-73	USA300HOU_RS00500	+
TU1OEB-561	USA300HOU_RS04775	+
TU1OEB-229	USA300HOU_RS02010	-
TU1OEB-1848	USA300HOU_RS03925	+
TU1OEB-1870	USA300HOU_RS15050	-
TU1OEB-523	USA300HOU_RS04400 // USA300HOU_RS04395	+
TU1OEB-994	USA300HOU_RS09335 // USA300HOU_RS09330	-
TU1OEB-563	USA300HOU_RS04800 // USA300HOU_RS04795	+
TU1OEB-1788	USA300HOU_RS06005	-
TU1OEB-1707	USA300HOU_RS09380	+
TU1OEB-1609	USA300HOU_RS13290	+
TU1OEB-245	USA300HOU_RS02130	+
TU1OEB-1763	USA300HOU_RS06930	-
TU1OEB-663	USA300HOU_RS05815	-
TU1OEB-639	USA300HOU_RS05590 // USA300HOU_RS05585	+
TU1OEB-144	USA300HOU_RS01195 // USA300HOU_RS01190	-
TU1OEB-1176	USA300HOU_RS11180	-
TU1OEB-1916	USA300HOU_RS00335	+
TU1OEB-1423	USA300HOU_RS13600	-
TU1OEB-1781	USA300HOU_RS15265	-
TU1OEB-1404	USA300HOU_RS13445 // USA300HOU_RS13440	+
TU1OEB-643	USA300HOU_RS05665 // USA300HOU_RS05660 // USA300HOU_RS05655 // USA300HOU_RS05650	+
TU1OEB-1587	USA300HOU_RS14050	-
TU1OEB-193	USA300HOU_RS01650	+
TU1OEB-1722	USA300HOU_RS08890	+
TU1OEB-1294	USA300HOU_RS12465	+
TU1OEB-337	USA300HOU_RS02950	+
TU1OEB-1580	USA300HOU_RS14135	+
TU1OEB-1653	USA300HOU_RS11955	+
TU1OEB-128	USA300HOU_RS00985	-
TU1OEB-700	USA300HOU_RS06225	+
TU1OEB-1499	USA300HOU_RS14200 // USA300HOU_RS14195	-
TU1OEB-562	USA300HOU_RS04790 // USA300HOU_RS04785 // USA300HOU_RS04780	+
TU1OEB-890	USA300HOU_RS08290	-
TU1OEB-339	USA300HOU_RS02960	+
TU1OEB-717	USA300HOU_RS06395 // USA300HOU_RS06390 // USA300HOU_RS06385 // USA300HOU_RS06380 // USA300HOU_RS06375	+
TU1OEB-395	USA300HOU_RS03430 // USA300HOU_RS03425 // USA300HOU_RS03420	-
TU1OEB-1086	USA300HOU_RS15410	+
TU1OEB-633	USA300HOU_RS05545 // USA300HOU_RS05540	-
TU1OEB-1723	USA300HOU_RS08815	+
TU1OEB-874	USA300HOU_RS08115 // USA300HOU_RS08110 // USA300HOU_RS08105 // USA300HOU_RS08100	-
TU1OEB-1752	USA300HOU_RS07375	+
TU1OEB-614	USA300HOU_RS05280 // USA300HOU_RS05275 // USA300HOU_RS05270 // USA300HOU_RS05265	-
TU1OEB-948	USA300HOU_RS08955 // USA300HOU_RS08950 // USA300HOU_RS08945	-
TU1OEB-1840	USA300HOU_RS04330	-
TU1OEB-332	USA300HOU_RS02915	+
TU1OEB-278	USA300HOU_RS02425 // USA300HOU_RS02420	+
TU1OEB-390	USA300HOU_RS03350 // USA300HOU_RS03345	-
TU1OEB-1428	USA300HOU_RS13645 // USA300HOU_RS13640	+
TU1OEB-1197	USA300HOU_RS11450	-
TU1OEB-990	USA300HOU_RS09300 // USA300HOU_RS09295	-
TU1OEB-1263	USA300HOU_RS12045 // USA300HOU_RS12040	-
TU1OEB-1932	USA300HOU_RS14765	-
TU1OEB-246	USA300HOU_RS02145	+
TU1OEB-1513	USA300HOU_RS14310 // USA300HOU_RS14305	-
TU1OEB-364	USA300HOU_RS03150 // USA300HOU_RS03145	+
TU1OEB-326	USA300HOU_RS02890	+
TU1OEB-1292	USA300HOU_RS12455	-
TU1OEB-76	USA300HOU_RS00515	+
TU1OEB-1152	USA300HOU_RS10945	+
TU1OEB-1861	USA300HOU_RS15095	+
TU1OEB-670	USA300HOU_RS05855	-
TU1OEB-880	USA300HOU_RS08180 // USA300HOU_RS08175	+
TU1OEB-686	USA300HOU_RS06020	+
TU1OEB-722	USA300HOU_RS06425	+
TU1OEB-1445	USA300HOU_RS13785	-
TU1OEB-1143	USA300HOU_RS10885	-
TU1OEB-936	USA300HOU_RS08855 // USA300HOU_RS08850	-
TU1OEB-1183	USA300HOU_RS11265 // USA300HOU_RS11260	-
TU1OEB-96	USA300HOU_RS00660	+
TU1OEB-1323	USA300HOU_RS12695 // USA300HOU_RS12690	-
TU1OEB-1883	USA300HOU_RS01980	-
TU1OEB-1195	USA300HOU_RS15495 // USA300HOU_RS11440 // USA300HOU_RS11435 // USA300HOU_RS11430 // USA300HOU_RS11425 // USA300HOU_RS11420	-
TU1OEB-1017	USA300HOU_RS09540	+
TU1OEB-1935	USA300HOU_RS15645	-
TU1OEB-1860	USA300HOU_RS03070	-
TU1OEB-1006	USA300HOU_RS09440	+
TU1OEB-865	USA300HOU_RS08010	-
TU1OEB-1907	USA300HOU_RS00995	+
TU1OEB-47	USA300HOU_RS00270 // USA300HOU_RS14930	-
TU1OEB-1337	USA300HOU_RS12830	-
TU1OEB-922	USA300HOU_RS08695 // USA300HOU_RS08690 // USA300HOU_RS08685	-
TU1OEB-1068	USA300HOU_RS10115	+
TU1OEB-129	USA300HOU_RS00990	-
TU1OEB-650	USA300HOU_RS05725	+
TU1OEB-489	USA300HOU_RS04155	+
TU1OEB-719	USA300HOU_RS06410 // USA300HOU_RS06405	+
TU1OEB-1650	USA300HOU_RS12245	+
TU1OEB-1842	USA300HOU_RS04170	-
TU1OEB-57	USA300HOU_RS00355	+
TU1OEB-818	USA300HOU_RS07405 // USA300HOU_RS07400 // USA300HOU_RS07395	-
TU1OEB-1466	USA300HOU_RS13945	-
TU1OEB-1046	USA300HOU_RS09820	+
TU1OEB-1468	USA300HOU_RS13955	+
TU1OEB-1579	USA300HOU_RS14185	+
TU1OEB-1233	USA300HOU_RS11755 // USA300HOU_RS11750	-
TU1OEB-298	USA300HOU_RS02630	+
TU1OEB-750	USA300HOU_RS06685 // USA300HOU_RS06680	+
TU1OEB-1853	USA300HOU_RS03550	+
TU1OEB-1122	USA300HOU_RS10575 // USA300HOU_RS10570	-
TU1OEB-529	USA300HOU_RS04485 // USA300HOU_RS04480 // USA300HOU_RS15190 // USA300HOU_RS04475	+
TU1OEB-830	USA300HOU_RS07525 // USA300HOU_RS07520 // USA300HOU_RS07515	-
TU1OEB-1467	USA300HOU_RS15590	-
TU1OEB-929	USA300HOU_RS08780	-
TU1OEB-1165	USA300HOU_RS11055	+
TU1OEB-1614	USA300HOU_RS13195	+
TU1OEB-544	USA300HOU_RS04660 // USA300HOU_RS04655	+
TU1OEB-790	USA300HOU_RS07130 // USA300HOU_RS07125 // USA300HOU_RS07120	+
TU1OEB-1718	USA300HOU_RS09050	-
TU1OEB-1530	USA300HOU_RS14455 // USA300HOU_RS14450	-
TU1OEB-1695	USA300HOU_RS09885	+
TU1OEB-1279	USA300HOU_RS12325 // USA300HOU_RS12320	-
TU1OEB-1665	USA300HOU_RS11250	+
TU1OEB-1613	USA300HOU_RS13200	-
TU1OEB-1369	USA300HOU_RS15545	-
TU1OEB-1678	USA300HOU_RS15440	+
TU1OEB-430	USA300HOU_RS03730	+
TU1OEB-1050	USA300HOU_RS09835	+
TU1OEB-1295	USA300HOU_RS12470	+
TU1OEB-1113	USA300HOU_RS10510	-
TU1OEB-75	USA300HOU_RS00510	+
TU1OEB-1159	USA300HOU_RS10995	-
TU1OEB-1797	USA300HOU_RS05625	+
TU1OEB-889	USA300HOU_RS08285	-
TU1OEB-1275	USA300HOU_RS12235	-
TU1OEB-900	USA300HOU_RS08400	-
TU1OEB-1684	USA300HOU_RS10445	+
TU1OEB-448	USA300HOU_RS03865	+
TU1OEB-1717	USA300HOU_RS09055	+
TU1OEB-227	USA300HOU_RS02000	-
TU1OEB-299	USA300HOU_RS02635	+
TU1OEB-1349	USA300HOU_RS12910	+
TU1OEB-1600	USA300HOU_RS15570	+
TU1OEB-1284	USA300HOU_RS12365	-
TU1OEB-1526	USA300HOU_RS14425	-
TU1OEB-1812	USA300HOU_RS15240	+
TU1OEB-1596	USA300HOU_RS13680	-
TU1OEB-46	USA300HOU_RS00265	-
TU1OEB-1585	USA300HOU_RS14070	+
TU1OEB-776	USA300HOU_RS06925	+
TU1OEB-1410	USA300HOU_RS13505	+
TU1OEB-712	USA300HOU_RS06335 // USA300HOU_RS06330 // USA300HOU_RS06325	+
TU1OEB-1642	USA300HOU_RS12415	-
TU1OEB-1863	USA300HOU_RS02885	-
TU1OEB-1033	USA300HOU_RS09650	-
TU1OEB-1351	USA300HOU_RS12925	+
TU1OEB-637	USA300HOU_RS05575 // USA300HOU_RS05570	+
TU1OEB-814	USA300HOU_RS07370 // USA300HOU_RS07365	-
TU1OEB-1265	USA300HOU_RS12155 // USA300HOU_RS12150 // USA300HOU_RS12145 // USA300HOU_RS12140 // USA300HOU_RS12135 // USA300HOU_RS12130 // USA300HOU_RS12125 // USA300HOU_RS12120 // USA300HOU_RS12115 // USA300HOU_RS12110 // USA300HOU_RS12105 // USA300HOU_RS12100 // USA300HOU_RS12095 // USA300HOU_RS12090 // USA300HOU_RS12085 // USA300HOU_RS12080 // USA300HOU_RS12075 // USA300HOU_RS12070	-
TU1OEB-1640	USA300HOU_RS12440	+
TU1OEB-1329	USA300HOU_RS15535 // USA300HOU_RS12765	+
TU1OEB-1126	USA300HOU_RS10615 // USA300HOU_RS10610 // USA300HOU_RS10605 // USA300HOU_RS10600	-
TU1OEB-1394	USA300HOU_RS13325 // USA300HOU_RS13320	-
TU1OEB-1321	USA300HOU_RS15530 // USA300HOU_RS12680	+
TU1OEB-1758	USA300HOU_RS07045	+
TU1OEB-136	USA300HOU_RS01085	+
TU1OEB-1832	USA300HOU_RS04545	-
TU1OEB-780	USA300HOU_RS07005	+
TU1OEB-726	USA300HOU_RS06475	+
TU1OEB-484	USA300HOU_RS15150	+
TU1OEB-398	USA300HOU_RS03470	+
TU1OEB-950	USA300HOU_RS08970 // USA300HOU_RS08965	-
TU1OEB-680	USA300HOU_RS05960 // USA300HOU_RS05955	+
TU1OEB-375	USA300HOU_RS15115 // USA300HOU_RS15110	-
TU1OEB-153	USA300HOU_RS01260	+
TU1OEB-1079	USA300HOU_RS10190	-
TU1OEB-787	USA300HOU_RS07090	+
TU1OEB-1851	USA300HOU_RS03595	-
TU1OEB-1010	USA300HOU_RS09485	-
TU1OEB-1801	USA300HOU_RS05595	-
TU1OEB-1034	USA300HOU_RS09655	-
TU1OEB-91	USA300HOU_RS00600 // USA300HOU_RS00595 // USA300HOU_RS00590	-
TU1OEB-1836	USA300HOU_RS04505	+
TU1OEB-1264	USA300HOU_RS12065 // USA300HOU_RS12060 // USA300HOU_RS12055 // USA300HOU_RS12050	-
TU1OEB-1652	USA300HOU_RS11970	+
TU1OEB-1537	USA300HOU_RS15625	-
TU1OEB-1911	USA300HOU_RS00650	-
TU1OEB-1374	USA300HOU_RS13135	-
TU1OEB-160	USA300HOU_RS01340 // USA300HOU_RS01335 // USA300HOU_RS01330 // USA300HOU_RS01325	+
TU1OEB-1630	USA300HOU_RS12710	-
TU1OEB-1353	USA300HOU_RS12960 // USA300HOU_RS12955	-
TU1OEB-274	USA300HOU_RS15060	+
TU1OEB-97	USA300HOU_RS00665	+
TU1OEB-268	USA300HOU_RS02365 // USA300HOU_RS02360	-
TU1OEB-934	USA300HOU_RS08830	-
TU1OEB-1845	USA300HOU_RS15155	-
TU1OEB-1039	USA300HOU_RS09720 // USA300HOU_RS09715	-
TU1OEB-1669	USA300HOU_RS11020	+
TU1OEB-1828	USA300HOU_RS04650	-
TU1OEB-1043	USA300HOU_RS09775	-
TU1OEB-1140	USA300HOU_RS10875 // USA300HOU_RS10870	-
TU1OEB-1631	USA300HOU_RS12645	+
TU1OEB-899	USA300HOU_RS08395 // USA300HOU_RS08390 // USA300HOU_RS08385	-
TU1OEB-572	USA300HOU_RS04865	+
TU1OEB-1739	USA300HOU_RS08020	+
TU1OEB-1792	USA300HOU_RS05880	-
TU1OEB-1629	USA300HOU_RS12715	+
TU1OEB-172	USA300HOU_RS01430	+
TU1OEB-1584	USA300HOU_RS14090	+
TU1OEB-626	USA300HOU_RS05470 // USA300HOU_RS05465	+
TU1OEB-963	USA300HOU_RS09090	-
TU1OEB-892	USA300HOU_RS08305	-
TU1OEB-1696	USA300HOU_RS15400	+
TU1OEB-560	USA300HOU_RS04770 // USA300HOU_RS04765	-
TU1OEB-755	USA300HOU_RS06765	+
TU1OEB-1427	USA300HOU_RS13635 // USA300HOU_RS13630	+
TU1OEB-1898	USA300HOU_RS01255	-
TU1OEB-749	USA300HOU_RS06675 // USA300HOU_RS06670	+
TU1OEB-1904	USA300HOU_RS01050	-
TU1OEB-911	USA300HOU_RS08570 // USA300HOU_RS08565 // USA300HOU_RS08560 // USA300HOU_RS08555 // USA300HOU_RS08550 // USA300HOU_RS08545	-
TU1OEB-590	USA300HOU_RS05055 // USA300HOU_RS05050 // USA300HOU_RS05045	+
TU1OEB-452	USA300HOU_RS03905 // USA300HOU_RS03900	+
TU1OEB-165	USA300HOU_RS01380 // USA300HOU_RS01375	+
TU1OEB-195	USA300HOU_RS01665 // USA300HOU_RS01660	+
TU1OEB-74	USA300HOU_RS00505	+
TU1OEB-314	USA300HOU_RS02825	+
TU1OEB-1793	USA300HOU_RS05730	-
TU1OEB-254	USA300HOU_RS02225	+
TU1OEB-1378	USA300HOU_RS13170	-
TU1OEB-1905	USA300HOU_RS01025	-
TU1OEB-550	USA300HOU_RS04720 // USA300HOU_RS04715 // USA300HOU_RS04710 // USA300HOU_RS04705 // USA300HOU_RS04700 // USA300HOU_RS04695	-
TU1OEB-678	USA300HOU_RS05935 // USA300HOU_RS05930 // USA300HOU_RS05925 // USA300HOU_RS05920	+
TU1OEB-1127	USA300HOU_RS10625	-
TU1OEB-293	USA300HOU_RS02600 // USA300HOU_RS02595 // USA300HOU_RS02590 // USA300HOU_RS02585 // USA300HOU_RS02580 // USA300HOU_RS02575	+
TU1OEB-1795	USA300HOU_RS05635	+
TU1OEB-1042	USA300HOU_RS09770 // USA300HOU_RS09765 // USA300HOU_RS09760 // USA300HOU_RS09755 // USA300HOU_RS09750 // USA300HOU_RS09745 // USA300HOU_RS09740 // USA300HOU_RS09735	-
TU1OEB-893	USA300HOU_RS08315 // USA300HOU_RS08310	-
TU1OEB-520	USA300HOU_RS04375	+
TU1OEB-1228	USA300HOU_RS11725	-
TU1OEB-660	USA300HOU_RS05800	+
TU1OEB-1668	USA300HOU_RS11025	-
TU1OEB-1634	USA300HOU_RS12630	-
TU1OEB-1760	USA300HOU_RS06945	+
TU1OEB-1771	USA300HOU_RS06810	+
TU1OEB-1894	USA300HOU_RS01635	-
TU1OEB-723	USA300HOU_RS06450 // USA300HOU_RS06445 // USA300HOU_RS06440 // USA300HOU_RS06435 // USA300HOU_RS06430	+
TU1OEB-1227	USA300HOU_RS11720	-
TU1OEB-276	USA300HOU_RS02410	+
TU1OEB-754	USA300HOU_RS06760 // USA300HOU_RS06755 // USA300HOU_RS06750	+
TU1OEB-961	USA300HOU_RS09080	-
TU1OEB-854	USA300HOU_RS07790 // USA300HOU_RS07785 // USA300HOU_RS07780	-
TU1OEB-599	USA300HOU_RS05135 // USA300HOU_RS05130 // USA300HOU_RS05125	+
TU1OEB-1476	USA300HOU_RS15600	-
TU1OEB-134	USA300HOU_RS01075	-
TU1OEB-852	USA300HOU_RS07770 // USA300HOU_RS07765 // USA300HOU_RS07760 // USA300HOU_RS07755 // USA300HOU_RS07750	-
TU1OEB-752	USA300HOU_RS06700	+
TU1OEB-1588	USA300HOU_RS13855	+
TU1OEB-1054	USA300HOU_RS09865	-
TU1OEB-602	USA300HOU_RS05170	-
TU1OEB-26	USA300HOU_RS00130	+
TU1OEB-1889	USA300HOU_RS01695	-
TU1OEB-1047	USA300HOU_RS09825	+
TU1OEB-1823	USA300HOU_RS05015	-
TU1OEB-1171	USA300HOU_RS11145	-
TU1OEB-366	USA300HOU_RS03160 // USA300HOU_RS15100	+
TU1OEB-835	USA300HOU_RS07570 // USA300HOU_RS07565	-
TU1OEB-1564	USA300HOU_RS14900	-
TU1OEB-1538	USA300HOU_RS14550 // USA300HOU_RS14545 // USA300HOU_RS14540 // USA300HOU_RS14535 // USA300HOU_RS14530 // USA300HOU_RS14525 // USA300HOU_RS14520 // USA300HOU_RS14515 // USA300HOU_RS14510	-
TU1OEB-720	USA300HOU_RS06415	+
TU1OEB-962	USA300HOU_RS09085	-
TU1OEB-1767	USA300HOU_RS15275	-
TU1OEB-767	USA300HOU_RS06845	+
TU1OEB-1674	USA300HOU_RS10815	+
TU1OEB-277	USA300HOU_RS02415	+
TU1OEB-1379	USA300HOU_RS13175	+
TU1OEB-1250	USA300HOU_RS11920	-
TU1OEB-1697	USA300HOU_RS09805	+
TU1OEB-1220	USA300HOU_RS11645 // USA300HOU_RS11640 // USA300HOU_RS11635 // USA300HOU_RS11630	+
TU1OEB-1936	USA300HOU_RS14740	+
TU1OEB-1346	USA300HOU_RS12895	-
TU1OEB-156	USA300HOU_RS01300 // USA300HOU_RS01295 // USA300HOU_RS01290 // USA300HOU_RS01285	+
TU1OEB-1806	USA300HOU_RS05405	-
TU1OEB-1367	USA300HOU_RS13080	-
TU1OEB-1431	USA300HOU_RS13665	-
TU1OEB-1635	USA300HOU_RS12580	+
TU1OEB-1644	USA300HOU_RS12315	+
TU1OEB-1368	USA300HOU_RS13090	-
TU1OEB-1387	USA300HOU_RS13250	-
TU1OEB-924	USA300HOU_RS08710	-
TU1OEB-1826	USA300HOU_RS04870	-
TU1OEB-1676	USA300HOU_RS10805	+
TU1OEB-1575	USA300HOU_RS14365	-
TU1OEB-1229	USA300HOU_RS11730	-
TU1OEB-1855	USA300HOU_RS03475	-
TU1OEB-715	USA300HOU_RS06365 // USA300HOU_RS06360	+
TU1OEB-384	USA300HOU_RS03280	-
TU1OEB-1408	USA300HOU_RS13495 // USA300HOU_RS13490	-
TU1OEB-1742	USA300HOU_RS07955	-
TU1OEB-1035	USA300HOU_RS09660	-
TU1OEB-1372	USA300HOU_RS13120 // USA300HOU_RS13115 // USA300HOU_RS13110	-
TU1OEB-748	USA300HOU_RS15270 // USA300HOU_RS06660 // USA300HOU_RS06655	+
TU1OEB-668	USA300HOU_RS05845	-
TU1OEB-1605	USA300HOU_RS13340	-
TU1OEB-453	USA300HOU_RS15120 // USA300HOU_RS03910	+
TU1OEB-1892	USA300HOU_RS01680	+
TU1OEB-1549	USA300HOU_RS14635	+
TU1OEB-1342	USA300HOU_RS12875	+
TU1OEB-1541	USA300HOU_RS14570 // USA300HOU_RS14565	-
TU1OEB-415	USA300HOU_RS03620 // USA300HOU_RS03615	+
TU1OEB-456	USA300HOU_RS03920	-
TU1OEB-185	USA300HOU_RS01605 // USA300HOU_RS01600 // USA300HOU_RS01595 // USA300HOU_RS01590 // USA300HOU_RS01585	+
TU1OEB-794	USA300HOU_RS15300	-
TU1OEB-1896	USA300HOU_RS01435	-
TU1OEB-422	USA300HOU_RS03665	+
TU1OEB-206	USA300HOU_RS01780	+
TU1OEB-1013	USA300HOU_RS09505	-
TU1OEB-843	USA300HOU_RS07635	-
TU1OEB-1484	USA300HOU_RS14095	-
TU1OEB-1448	USA300HOU_RS13800	-
TU1OEB-1785	USA300HOU_RS06150	-
TU1OEB-473	USA300HOU_RS04035	-
TU1OEB-763	USA300HOU_RS06820	+
TU1OEB-1021	USA300HOU_RS09565	-
TU1OEB-884	USA300HOU_RS08230 // USA300HOU_RS08225	-
TU1OEB-1854	USA300HOU_RS03545	-
TU1OEB-30	USA300HOU_RS00150	+
TU1OEB-685	USA300HOU_RS06015 // USA300HOU_RS06010	+
TU1OEB-832	USA300HOU_RS07545 // USA300HOU_RS07540	-
TU1OEB-1153	USA300HOU_RS15480	+
TU1OEB-1532	USA300HOU_RS14475	-
TU1OEB-996	USA300HOU_RS09350 // USA300HOU_RS09345	+
TU1OEB-524	USA300HOU_RS04415 // USA300HOU_RS04410 // USA300HOU_RS04405	+
TU1OEB-1005	USA300HOU_RS09435	+
TU1OEB-491	USA300HOU_RS15170 // USA300HOU_RS15165	+
TU1OEB-1237	USA300HOU_RS11805 // USA300HOU_RS11800 // USA300HOU_RS11795	-
TU1OEB-1777	USA300HOU_RS06725	-
TU1OEB-29	USA300HOU_RS14920	+
TU1OEB-746	USA300HOU_RS06645 // USA300HOU_RS06640	+
TU1OEB-175	USA300HOU_RS01460 // USA300HOU_RS01455 // USA300HOU_RS01450	-
TU1OEB-1332	USA300HOU_RS12795 // USA300HOU_RS12790	+
TU1OEB-662	USA300HOU_RS05810	-
TU1OEB-1335	USA300HOU_RS12815	-
TU1OEB-817	USA300HOU_RS15310	-
TU1OEB-1023	USA300HOU_RS09585	-
TU1OEB-1364	USA300HOU_RS13060 // USA300HOU_RS13055	-
TU1OEB-334	USA300HOU_RS02930	+
TU1OEB-269	USA300HOU_RS02370	-
TU1OEB-642	USA300HOU_RS05645	-
TU1OEB-1380	USA300HOU_RS13180	+
TU1OEB-17	USA300HOU_RS00045	+
TU1OEB-968	USA300HOU_RS09135	+
TU1OEB-1461	USA300HOU_RS13920 // USA300HOU_RS13915 // USA300HOU_RS13910 // USA300HOU_RS13905 // USA300HOU_RS13900	-
TU1OEB-371	USA300HOU_RS03210 // USA300HOU_RS03205 // USA300HOU_RS03200	+
TU1OEB-41	USA300HOU_RS00240	+
TU1OEB-1813	USA300HOU_RS05290	-
TU1OEB-1489	USA300HOU_RS14140	-
TU1OEB-145	USA300HOU_RS01200	-
TU1OEB-358	USA300HOU_RS03110 // USA300HOU_RS03105	-
TU1OEB-1481	USA300HOU_RS14060	-
TU1OEB-221	USA300HOU_RS01945	+
TU1OEB-1719	USA300HOU_RS09045	+
TU1OEB-1547	USA300HOU_RS14620	+
TU1OEB-1655	USA300HOU_RS11765	+
TU1OEB-694	USA300HOU_RS06160 // USA300HOU_RS06155	+
TU1OEB-514	USA300HOU_RS04340	-
TU1OEB-1389	USA300HOU_RS13275	-
TU1OEB-400	USA300HOU_RS03485	+
TU1OEB-5	USA300HOU_RS14800	-
TU1OEB-1053	USA300HOU_RS09860	-
TU1OEB-1835	USA300HOU_RS04510	-
TU1OEB-327	USA300HOU_RS02895	+
TU1OEB-1568	USA300HOU_RS15635	+
TU1OEB-965	USA300HOU_RS09115	+
TU1OEB-966	USA300HOU_RS09120	+
TU1OEB-927	USA300HOU_RS08770 // USA300HOU_RS08765	-
TU1OEB-1927	USA300HOU_RS14885	-
TU1OEB-1066	USA300HOU_RS10105 // USA300HOU_RS10100	-
TU1OEB-329	USA300HOU_RS02905	+
TU1OEB-309	USA300HOU_RS02780	+
TU1OEB-860	USA300HOU_RS07950	+
TU1OEB-1850	USA300HOU_RS03655	-
TU1OEB-420	USA300HOU_RS03650 // USA300HOU_RS03645	+
TU1OEB-998	USA300HOU_RS09365	-
TU1OEB-266	USA300HOU_RS02340	+
TU1OEB-372	USA300HOU_RS03215	+
TU1OEB-1170	USA300HOU_RS11140 // USA300HOU_RS11135	-
TU1OEB-789	USA300HOU_RS07115 // USA300HOU_RS07110 // USA300HOU_RS07105 // USA300HOU_RS07100 // USA300HOU_RS07095	+
TU1OEB-237	USA300HOU_RS02080	-
TU1OEB-1803	USA300HOU_RS05535	+
TU1OEB-1137	USA300HOU_RS10855	+
TU1OEB-1248	USA300HOU_RS11910 // USA300HOU_RS11905	+
TU1OEB-1810	USA300HOU_RS05370	+
TU1OEB-53	USA300HOU_RS00325	-
TU1OEB-629	USA300HOU_RS05505	+
TU1OEB-1141	USA300HOU_RS10880	+
TU1OEB-1436	USA300HOU_RS13735 // USA300HOU_RS13730 // USA300HOU_RS13725 // USA300HOU_RS13720	-
TU1OEB-1465	USA300HOU_RS13940	-
TU1OEB-1012	USA300HOU_RS09495	-
TU1OEB-93	USA300HOU_RS00630	+
TU1OEB-1015	USA300HOU_RS09530 // USA300HOU_RS09525	-
TU1OEB-812	USA300HOU_RS07355 // USA300HOU_RS07350	-
TU1OEB-1236	USA300HOU_RS11785 // USA300HOU_RS11780 // USA300HOU_RS11775	-
TU1OEB-1232	USA300HOU_RS11745	-
TU1OEB-1685	USA300HOU_RS10440	-
TU1OEB-1746	USA300HOU_RS07800	-
TU1OEB-1775	USA300HOU_RS06735	-
TU1OEB-445	USA300HOU_RS03830	-
TU1OEB-380	USA300HOU_RS03260	+
TU1OEB-1816	USA300HOU_RS05180	-
TU1OEB-943	USA300HOU_RS08910	-
TU1OEB-905	USA300HOU_RS08460	-
TU1OEB-1108	USA300HOU_RS10450	-
TU1OEB-483	USA300HOU_RS04110 // USA300HOU_RS04105	+
TU1OEB-1638	USA300HOU_RS12540	-
TU1OEB-676	USA300HOU_RS05905	+
