,name,genes,source
JCVISYN3A_0526-MONOMER,50S ribosomal protein L32,JCVISYN3A_0526(),GenBank
JCVISYN3A_0527-MONOMER,Uncharacterized protein,JCVISYN3A_0527(),GenBank
JCVISYN3A_0528-MONOMER,Phenylalanine--tRNA ligase subunit beta,JCVISYN3A_0528(),GenBank
JCVISYN3A_0529-MONOMER,Phenylalanine--tRNA ligase subunit alpha,JCVISYN3A_0529(),GenBank
JCVISYN3A_0530-MONOMER,Uncharacterized protein,JCVISYN3A_0530(),GenBank
JCVISYN3A_0535-MONOMER,Arginine--tRNA ligase,JCVISYN3A_0535(1),GenBank
JCVISYN3A_0536-MONOMER,Ribosome recycling factor,JCVISYN3A_0536(1),GenBank
JCVISYN3A_0537-MONOMER,UMP kinase,JCVISYN3A_0537(6),GenBank
JCVISYN3A_0538-MONOMER,Uncharacterized protein,JCVISYN3A_0538(),GenBank
JCVISYN3A_0539-MONOMER,Translation elongation factor Ts,JCVISYN3A_0539(1),GenBank
JCVISYN3A_0540-MONOMER,30S ribosomal protein S2,JCVISYN3A_0540(1),GenBank
JCVISYN3A_0541-MONOMER,Molecular chaperone,JCVISYN3A_0541(2),GenBank
JCVISYN3A_0542-MONOMER,Molecular chaperone,JCVISYN3A_0542(1),GenBank
JCVISYN3A_0543-MONOMER,Nucleotide exchange factor,JCVISYN3A_0543(),GenBank
JCVISYN3A_0544-MONOMER,Heat-inducible transcription repressor,JCVISYN3A_0544(),GenBank
JCVISYN3A_0545-MONOMER,ATP-dependent Clp protease subunit B,JCVISYN3A_0545(),GenBank
JCVISYN3A_0546-MONOMER,JCVISYN3A_0546,JCVISYN3A_0546(),GenBank
JCVISYN3A_0548-MONOMER,tRNA (cytidine(34)-2'-O)-methyltransferase,JCVISYN3A_0548(),GenBank
JCVISYN3A_0549-MONOMER,Non-canonical purine NTP pyrophosphatase,JCVISYN3A_0549(2),GenBank
JCVISYN3A_0931-MONOMER,Adenylyl-sulfate kinase,JCVISYN3A_0931(2),GenBank
JCVISYN3A_0592-MONOMER,Uncharacterized protein,JCVISYN3A_0592(),GenBank
JCVISYN3A_0593-MONOMER,Uncharacterized protein,JCVISYN3A_0593(),GenBank
JCVISYN3A_0599-MONOMER,Uncharacterized protein,JCVISYN3A_0599(),GenBank
JCVISYN3A_0600-MONOMER,Ribonuclease J,JCVISYN3A_0600(),GenBank
JCVISYN3A_0601-MONOMER,Uncharacterized protein,JCVISYN3A_0601(),GenBank
JCVISYN3A_0602-MONOMER,JCVISYN3A_0602,JCVISYN3A_0602(),GenBank
JCVISYN3A_0604-MONOMER,Uncharacterized protein,JCVISYN3A_0604(),GenBank
JCVISYN3A_0605-MONOMER,Uncharacterized protein,JCVISYN3A_0605(),GenBank
JCVISYN3A_0606-MONOMER,Phosphoglycerate kinase,JCVISYN3A_0606(1),GenBank
JCVISYN3A_0607-MONOMER,Type I glyceraldehyde-3-phosphate dehydrogenase,JCVISYN3A_0607(4),GenBank
JCVISYN3A_0608-MONOMER,Primosomal protein,JCVISYN3A_0608(),GenBank
JCVISYN3A_0609-MONOMER,Chromosome replication initiation protein,JCVISYN3A_0609(),GenBank
JCVISYN3A_0610-MONOMER,DNA-formamidopyrimidine glycosylase,JCVISYN3A_0610(),GenBank
JCVISYN3A_0611-MONOMER,DNA polymerase I,JCVISYN3A_0611(),GenBank
JCVISYN3A_0612-MONOMER,DNA polymerase III subunit alpha,JCVISYN3A_0612(),GenBank
JCVISYN3A_0613-MONOMER,Tyrosine--tRNA ligase,JCVISYN3A_0613(2),GenBank
JCVISYN3A_0614-MONOMER,Nicotinate phosphoribosyltransferase,JCVISYN3A_0614(),GenBank
JCVISYN3A_0615-MONOMER,Uncharacterized protein,JCVISYN3A_0615(),GenBank
JCVISYN3A_0616-MONOMER,Fatty acid binding protein,JCVISYN3A_0616(),GenBank
JCVISYN3A_0617-MONOMER,Fatty acid binding protein,JCVISYN3A_0617(),GenBank
JCVISYN3A_0620-MONOMER,Uncharacterized transcriptional regulator,JCVISYN3A_0620(),GenBank
JCVISYN3A_0621-MONOMER,Acyl carrier protein,JCVISYN3A_0621(),GenBank
JCVISYN3A_0622-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0622(),GenBank
JCVISYN3A_0623-MONOMER,Uncharacterized protein,JCVISYN3A_0623(),GenBank
JCVISYN3A_0634-MONOMER,Leucine--tRNA ligase,JCVISYN3A_0634(1),GenBank
JCVISYN3A_0636-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0636(),GenBank
JCVISYN3A_0637-MONOMER,30S ribosomal protein S9,JCVISYN3A_0637(1),GenBank
JCVISYN3A_0638-MONOMER,50S ribosomal protein L13,JCVISYN3A_0638(1),GenBank
JCVISYN3A_0639-MONOMER,Uncharacterized efflux ABC transporter permease,JCVISYN3A_0639(),GenBank
JCVISYN3A_0640-MONOMER,tRNA pseudouridine(38-40) synthase,JCVISYN3A_0640(2),GenBank
JCVISYN3A_0641-MONOMER,ECF transporter T component,JCVISYN3A_0641(),GenBank
JCVISYN3A_0642-MONOMER,ECF transporter ATPase,JCVISYN3A_0642(),GenBank
JCVISYN3A_0643-MONOMER,ECF transporter ATPase,JCVISYN3A_0643(),GenBank
JCVISYN3A_0644-MONOMER,50S ribosomal protein L17,JCVISYN3A_0644(1),GenBank
JCVISYN3A_0645-MONOMER,DNA-directed RNA polymerase subunit alpha,JCVISYN3A_0645(),GenBank
JCVISYN3A_0646-MONOMER,30S ribosomal protein S11,JCVISYN3A_0646(1),GenBank
JCVISYN3A_0647-MONOMER,30S ribosomal protein S13,JCVISYN3A_0647(1),GenBank
JCVISYN3A_0648-MONOMER,50S ribosomal protein L36,JCVISYN3A_0648(),GenBank
JCVISYN3A_0649-MONOMER,Translation initiation factor IF-1,JCVISYN3A_0649(1),GenBank
JCVISYN3A_0650-MONOMER,Type I methionyl aminopeptidase,JCVISYN3A_0650(1),GenBank
JCVISYN3A_0651-MONOMER,Adenylate kinase,JCVISYN3A_0651(1),GenBank
JCVISYN3A_0652-MONOMER,Preprotein translocase subunit,JCVISYN3A_0652(),GenBank
JCVISYN3A_0653-MONOMER,50S ribosomal protein L15,JCVISYN3A_0653(1),GenBank
JCVISYN3A_0654-MONOMER,30S ribosomal protein S5,JCVISYN3A_0654(1),GenBank
JCVISYN3A_0655-MONOMER,50S ribosomal protein L18,JCVISYN3A_0655(1),GenBank
JCVISYN3A_0656-MONOMER,50S ribosomal protein L6,JCVISYN3A_0656(1),GenBank
JCVISYN3A_0657-MONOMER,30S ribosomal protein S8,JCVISYN3A_0657(1),GenBank
JCVISYN3A_0658-MONOMER,30S ribosomal protein S14,JCVISYN3A_0658(1),GenBank
JCVISYN3A_0659-MONOMER,50S ribosomal protein L5,JCVISYN3A_0659(1),GenBank
JCVISYN3A_0660-MONOMER,50S ribosomal protein L24,JCVISYN3A_0660(),GenBank
JCVISYN3A_0661-MONOMER,50S ribosomal protein L14,JCVISYN3A_0661(1),GenBank
JCVISYN3A_0662-MONOMER,30S ribosomal protein S17,JCVISYN3A_0662(1),GenBank
JCVISYN3A_0663-MONOMER,50S ribosomal protein L29,JCVISYN3A_0663(),GenBank
JCVISYN3A_0664-MONOMER,50S ribosomal protein L16,JCVISYN3A_0664(1),GenBank
JCVISYN3A_0665-MONOMER,30S ribosomal protein S3,JCVISYN3A_0665(1),GenBank
JCVISYN3A_0666-MONOMER,50S ribosomal protein L22,JCVISYN3A_0666(1),GenBank
JCVISYN3A_0667-MONOMER,30S ribosomal protein S19,JCVISYN3A_0667(1),GenBank
JCVISYN3A_0668-MONOMER,50S ribosomal protein L2,JCVISYN3A_0668(1),GenBank
JCVISYN3A_0669-MONOMER,50S ribosomal protein L23,JCVISYN3A_0669(1),GenBank
JCVISYN3A_0670-MONOMER,50S ribosomal protein L4,JCVISYN3A_0670(1),GenBank
JCVISYN3A_0671-MONOMER,50S ribosomal protein L3,JCVISYN3A_0671(1),GenBank
JCVISYN3A_0672-MONOMER,30S ribosomal protein S10,JCVISYN3A_0672(1),GenBank
JCVISYN3A_0684-MONOMER,"Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",JCVISYN3A_0684(2),GenBank
JCVISYN3A_0685-MONOMER,Sodium transporter,JCVISYN3A_0685(),GenBank
JCVISYN3A_0686-MONOMER,Potassium transporter,JCVISYN3A_0686(),GenBank
JCVISYN3A_0687-MONOMER,Glutamyl-tRNA amidotransferase subunit B,JCVISYN3A_0687(),GenBank
JCVISYN3A_0688-MONOMER,Glutamyl-tRNA amidotransferase subunit A,JCVISYN3A_0688(),GenBank
JCVISYN3A_0689-MONOMER,Glutamyl-tRNA amidotransferase subunit C,JCVISYN3A_0689(),GenBank
JCVISYN3A_0690-MONOMER,DNA ligase (NAD(+)),JCVISYN3A_0690(1),GenBank
JCVISYN3A_0691-MONOMER,Uncharacterized protein,JCVISYN3A_0691(),GenBank
JCVISYN3A_0692-MONOMER,Uncharacterized pseudouridine synthase,JCVISYN3A_0692(),GenBank
JCVISYN3A_0693-MONOMER,Uncharacterized protease,JCVISYN3A_0693(),GenBank
JCVISYN3A_0694-MONOMER,Phosphocarrier protein,JCVISYN3A_0694(),GenBank
JCVISYN3A_0695-MONOMER,ATP-dependent DNA helicase,JCVISYN3A_0695(),GenBank
JCVISYN3A_0696-MONOMER,Uncharacterized transporter,JCVISYN3A_0696(),GenBank
JCVISYN3A_0697-MONOMER,Uncharacterized glycosyl transferase,JCVISYN3A_0697(),GenBank
JCVISYN3A_0706-MONOMER,Thiamine ABC transporter permease,JCVISYN3A_0706(),GenBank
JCVISYN3A_0707-MONOMER,Thiamine ABC transporter ATP-binding protein,JCVISYN3A_0707(),GenBank
JCVISYN3A_0708-MONOMER,Thiamine ABC transporter substrate-binding protein,JCVISYN3A_0708(),GenBank
JCVISYN3A_0710-MONOMER,Uncharacterized hydrolase,JCVISYN3A_0710(),GenBank
JCVISYN3A_0726-MONOMER,Glucosamine-6-phosphate deaminase,JCVISYN3A_0726(6),GenBank
JCVISYN3A_0727-MONOMER,Triose-phosphate isomerase,JCVISYN3A_0727(2),GenBank
JCVISYN3A_0728-MONOMER,Uncharacterized hydrolase,JCVISYN3A_0728(),GenBank
JCVISYN3A_0729-MONOMER,"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",JCVISYN3A_0729(1),GenBank
JCVISYN3A_0730-MONOMER,Uncharacterized protein,JCVISYN3A_0730(),GenBank
JCVISYN3A_0732-MONOMER,Deoxyribose-phosphate aldolase,JCVISYN3A_0732(1),GenBank
JCVISYN3A_0733-MONOMER,Phosphopentomutase,JCVISYN3A_0733(1),GenBank
JCVISYN3A_0747-MONOMER,Purine-nucleoside phosphorylase,JCVISYN3A_0747(6),GenBank
JCVISYN3A_0771-MONOMER,Ribonucleotide-diphosphate reductase subunit alpha,JCVISYN3A_0771(),GenBank
JCVISYN3A_0772-MONOMER,Ribonucleotide reductase assembly protein,JCVISYN3A_0772(),GenBank
JCVISYN3A_0773-MONOMER,Ribonucleoside-diphosphate reductase subunit beta,JCVISYN3A_0773(),GenBank
JCVISYN3A_0774-MONOMER,Preprotein translocase subunit,JCVISYN3A_0774(),GenBank
JCVISYN3A_0775-MONOMER,Ribonuclease R,JCVISYN3A_0775(),GenBank
JCVISYN3A_0776-MONOMER,SsrA-binding protein,JCVISYN3A_0776(),GenBank
JCVISYN3A_0777-MONOMER,Uncharacterized protein,JCVISYN3A_0777(),GenBank
JCVISYN3A_0778-MONOMER,Uncharacterized protein,JCVISYN3A_0778(),GenBank
JCVISYN3A_0779-MONOMER,PTS sugar transporter,JCVISYN3A_0779(),GenBank
JCVISYN3A_0787-MONOMER,Magnesium-translocating P-type ATPase,JCVISYN3A_0787(1),GenBank
JCVISYN3A_0789-MONOMER,F0F1 ATP synthase subunit delta/epsilon,JCVISYN3A_0789(),GenBank
JCVISYN3A_0790-MONOMER,F0F1 ATP synthase subunit beta,JCVISYN3A_0790(),GenBank
JCVISYN3A_0791-MONOMER,F0F1 ATP synthase subunit gamma,JCVISYN3A_0791(),GenBank
JCVISYN3A_0792-MONOMER,F0F1 ATP synthase subunit alpha,JCVISYN3A_0792(),GenBank
JCVISYN3A_0793-MONOMER,F0F1 ATP synthase subunit delta,JCVISYN3A_0793(),GenBank
JCVISYN3A_0794-MONOMER,F0F1 ATP synthase subunit B,JCVISYN3A_0794(),GenBank
JCVISYN3A_0795-MONOMER,F0F1 ATP synthase subunit C,JCVISYN3A_0795(),GenBank
JCVISYN3A_0796-MONOMER,F0F1 ATP synthase subunit A,JCVISYN3A_0796(),GenBank
JCVISYN3A_0797-MONOMER,Uncharacterized protein,JCVISYN3A_0797(),GenBank
JCVISYN3A_0798-MONOMER,Uracil phosphoribosyltransferase,JCVISYN3A_0798(3),GenBank
JCVISYN3A_0799-MONOMER,Serine hydroxymethyltransferase,JCVISYN3A_0799(2),GenBank
JCVISYN3A_0800-MONOMER,Ribose 5-phosphate isomerase B,JCVISYN3A_0800(2),GenBank
JCVISYN3A_0803-MONOMER,DNA-directed RNA polymerase subunit beta',JCVISYN3A_0803(),GenBank
JCVISYN3A_0804-MONOMER,DNA-directed RNA polymerase subunit beta,JCVISYN3A_0804(),GenBank
JCVISYN3A_0805-MONOMER,Uncharacterized protein,JCVISYN3A_0805(),GenBank
JCVISYN3A_0806-MONOMER,50S ribosomal protein L7/L12,JCVISYN3A_0806(2),GenBank
JCVISYN3A_0807-MONOMER,50S ribosomal protein L10,JCVISYN3A_0807(1),GenBank
JCVISYN3A_0809-MONOMER,50S ribosomal protein L1,JCVISYN3A_0809(1),GenBank
JCVISYN3A_0810-MONOMER,50S ribosomal protein L11,JCVISYN3A_0810(1),GenBank
JCVISYN3A_0813-MONOMER,UDP-glucose 4-epimerase GalE,JCVISYN3A_0813(2),GenBank
JCVISYN3A_0814-MONOMER,UDP-galactopyranose mutase,JCVISYN3A_0814(1),GenBank
JCVISYN3A_0817-MONOMER,Uncharacterized DNA-binding protein,JCVISYN3A_0817(),GenBank
JCVISYN3A_0818-MONOMER,Diacylglyceryl transferase,JCVISYN3A_0818(),GenBank
JCVISYN3A_0819-MONOMER,Thioredoxin-disulfide reductase,JCVISYN3A_0819(),GenBank
JCVISYN3A_0820-MONOMER,Diacylglyceryl transferase,JCVISYN3A_0820(),GenBank
JCVISYN3A_0821-MONOMER,HPr(Ser) kinase/phosphatase,JCVISYN3A_0821(),GenBank
JCVISYN3A_0822-MONOMER,Uncharacterized ECF transporter S component,JCVISYN3A_0822(),GenBank
JCVISYN3A_0823-MONOMER,Dihydrofolate synthase,JCVISYN3A_0823(1),GenBank
JCVISYN3A_0824-MONOMER,Excinuclease ABC subunit A,JCVISYN3A_0824(),GenBank
JCVISYN3A_0825-MONOMER,Excinuclease ABC subunit B,JCVISYN3A_0825(),GenBank
JCVISYN3A_0826-MONOMER,DNA polymerase III subunit delta,JCVISYN3A_0826(),GenBank
JCVISYN3A_0827-MONOMER,Uncharacterized protein,JCVISYN3A_0827(),GenBank
JCVISYN3A_0830-MONOMER,Uncharacterized protein,JCVISYN3A_0830(),GenBank
JCVISYN3A_0831-MONOMER,Phosphoribosylpyrophosphate synthetase,JCVISYN3A_0831(1),GenBank
JCVISYN3A_0832-MONOMER,Aminoacyl-tRNA hydrolase,JCVISYN3A_0832(),GenBank
JCVISYN3A_0833-MONOMER,50S ribosomal protein L9,JCVISYN3A_0833(),GenBank
JCVISYN3A_0834-MONOMER,Replicative DNA helicase,JCVISYN3A_0834(),GenBank
JCVISYN3A_0835-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0835(),GenBank
JCVISYN3A_0836-MONOMER,Uncharacterized ECF transporter S component,JCVISYN3A_0836(),GenBank
JCVISYN3A_0837-MONOMER,Cysteine--tRNA ligase,JCVISYN3A_0837(1),GenBank
JCVISYN3A_0838-MONOMER,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,JCVISYN3A_0838(2),GenBank
JCVISYN3A_0932-MONOMER,50S ribosomal protein L33,JCVISYN3A_0932(),GenBank
JCVISYN3A_0839-MONOMER,Preprotein translocase subunit,JCVISYN3A_0839(),GenBank
JCVISYN3A_0840-MONOMER,Antitermination protein,JCVISYN3A_0840(1),GenBank
JCVISYN3A_0851-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0851(),GenBank
JCVISYN3A_0852-MONOMER,Uncharacterized protein,JCVISYN3A_0852(),GenBank
JCVISYN3A_0853-MONOMER,Uncharacterized protein,JCVISYN3A_0853(),GenBank
JCVISYN3A_0859-MONOMER,DNA topoisomerase I,JCVISYN3A_0859(),GenBank
JCVISYN3A_0870-MONOMER,Uncharacterized C4-dicarboxylate ABC transporter,JCVISYN3A_0870(),GenBank
JCVISYN3A_0872-MONOMER,Uncharacterized ATPase,JCVISYN3A_0872(),GenBank
JCVISYN3A_0873-MONOMER,Uncharacterized protein,JCVISYN3A_0873(),GenBank
JCVISYN3A_0874-MONOMER,16S rRNA (guanine(527)-N(7))-methyltransferase,JCVISYN3A_0874(),GenBank
JCVISYN3A_0875-MONOMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,JCVISYN3A_0875(1),GenBank
JCVISYN3A_0876-MONOMER,Uncharacterized amino acid permease,JCVISYN3A_0876(),GenBank
JCVISYN3A_0877-MONOMER,Uncharacterized protein,JCVISYN3A_0877(),GenBank
JCVISYN3A_0878-MONOMER,Uncharacterized amino acid permease,JCVISYN3A_0878(),GenBank
JCVISYN3A_0879-MONOMER,Magnesium transporter,JCVISYN3A_0879(),GenBank
JCVISYN3A_0881-MONOMER,Uncharacterized MFS transporter,JCVISYN3A_0881(),GenBank
JCVISYN3A_0885-MONOMER,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme,JCVISYN3A_0885(2),GenBank
JCVISYN3A_0886-MONOMER,Proton-glutamate symporter,JCVISYN3A_0886(),GenBank
JCVISYN3A_0887-MONOMER,Coenzyme A Disulfide Reductase,JCVISYN3A_0887(1),GenBank
JCVISYN3A_0906-MONOMER,Uncharacterized protein,JCVISYN3A_0906(),GenBank
JCVISYN3A_0907-MONOMER,Uncharacterized hydrolase,JCVISYN3A_0907(),GenBank
JCVISYN3A_0908-MONOMER,Membrane protein insertase,JCVISYN3A_0908(),GenBank
JCVISYN3A_0909-MONOMER,Ribonuclease P protein component,JCVISYN3A_0909(),GenBank
JCVISYN3A_0910-MONOMER,50S ribosomal protein L34,JCVISYN3A_0910(1),GenBank
RNAP-CPLX,DNA-directed RNA polymerase,JCVISYN3A_0128() AND JCVISYN3A_0645() AND JCVISYN3A_0803() AND JCVISYN3A_0804(),GenBank
CPLX_RNDR1-0,RNDR1,JCVISYN3A_0771() AND JCVISYN3A_0772() AND JCVISYN3A_0773(),MMSYN(RNDR1)
CPLX_TRDR-0,TRDR,JCVISYN3A_0819() AND JCVISYN3A_0065(),MMSYN(TRDR)
CPLX_ACPS-0,ACPS,JCVISYN3A_0513() AND JCVISYN3A_0621(),MMSYN(ACPS)
CPLX_FAKr-0,FAKr,JCVISYN3A_0420() AND JCVISYN3A_0616() AND JCVISYN3A_0617(),MMSYN(FAKr)
CPLX_GLNTRAT-0,GLNTRAT,JCVISYN3A_0687() AND JCVISYN3A_0688() AND JCVISYN3A_0689(),MMSYN(GLNTRAT)
CPLX_PHETRS-0,PHETRS,JCVISYN3A_0528(2) AND JCVISYN3A_0529(2),MMSYN(PHETRS)
CPLX_Protein_transl-0,Protein_transl,JCVISYN3A_0201() AND JCVISYN3A_0650(),MMSYN(Protein_transl)
CPLX_ACP_transl-0,ACP_transl,JCVISYN3A_0201() AND JCVISYN3A_0621() AND JCVISYN3A_0650(),MMSYN(ACP_transl)
CPLX_PdhC_transl-0,PdhC_transl,JCVISYN3A_0201() AND JCVISYN3A_0227(),MMSYN(PdhC_transl)
CPLX_dUTPase_transl-0,dUTPase_transl,JCVISYN3A_0201() AND JCVISYN3A_0447(),MMSYN(dUTPase_transl)
CPLX_ATPase-0,ATPase,JCVISYN3A_0789() AND JCVISYN3A_0790() AND JCVISYN3A_0791() AND JCVISYN3A_0792() AND JCVISYN3A_0793() AND JCVISYN3A_0794() AND JCVISYN3A_0795() AND JCVISYN3A_0796(),MMSYN(ATPase)
CPLX_GLCpts-0,GLCpts,JCVISYN3A_0233() AND JCVISYN3A_0694() AND JCVISYN3A_0234() AND JCVISYN3A_0779(),MMSYN(GLCpts)
CPLX_RIBFLVabc-0,RIBFLVabc,JCVISYN3A_0641() AND JCVISYN3A_0642() AND JCVISYN3A_0643() AND JCVISYN3A_0877(),MMSYN(RIBFLVabc)
CPLX_P5Pabc-0,P5Pabc,JCVISYN3A_0641() AND JCVISYN3A_0642() AND JCVISYN3A_0643() AND JCVISYN3A_0345(),MMSYN(P5Pabc)
CPLX_5FTHFabc-0,5FTHFabc,JCVISYN3A_0641() AND JCVISYN3A_0642() AND JCVISYN3A_0643() AND JCVISYN3A_0822(),MMSYN(5FTHFabc)
CPLX_NACabc-0,NACabc,JCVISYN3A_0641() AND JCVISYN3A_0642() AND JCVISYN3A_0643() AND JCVISYN3A_0314(),MMSYN(NACabc)
CPLX_COAabc-0,COAabc,JCVISYN3A_0641() AND JCVISYN3A_0642() AND JCVISYN3A_0643() AND JCVISYN3A_0836(),MMSYN(COAabc)
CPLX_THMPPabc-0,THMPPabc,JCVISYN3A_0706() AND JCVISYN3A_0707() AND JCVISYN3A_0708(),MMSYN(THMPPabc)
CPLX_SPRMabc-0,SPRMabc,JCVISYN3A_0195() AND JCVISYN3A_0196() AND JCVISYN3A_0197(),MMSYN(SPRMabc)
CPLX_CYTDabc-0,CYTDabc,JCVISYN3A_0008() AND JCVISYN3A_0009() AND JCVISYN3A_0010() AND JCVISYN3A_0011(),MMSYN(CYTDabc)
CPLX_Kt6-0,Kt6,JCVISYN3A_0685() AND JCVISYN3A_0686(),MMSYN(Kt6)
CPLX_PIabc-0,PIabc,JCVISYN3A_0425() AND JCVISYN3A_0426() AND JCVISYN3A_0427(),MMSYN(PIabc)
CPLX_ARG4abc-0,ARG4abc,JCVISYN3A_0165() AND JCVISYN3A_0166() AND JCVISYN3A_0167() AND JCVISYN3A_0168() AND JCVISYN3A_0169(),MMSYN(ARG4abc)
