complex	name	genes	source
NADH-DHI-II-CPLX_FdhAIII_mono		CLJU_c14700(1) AND CLJU_c14710(1) AND CLJU_c14720(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c08930(1)	iJL965-ME
NADH-DHI-CPLX		CLJU_c07030(1) AND CLJU_c07040(1) AND CLJU_c07050(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1)	iJL965-ME
NADH-DHI-II-CPLX		CLJU_c14700(1) AND CLJU_c14710(1) AND CLJU_c14720(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1)	iJL965-ME
CPLX-302	deoxycytidine deaminase	CLJU_c18120(1)	iJL965-ME
CPLX-303	zinc transport via ABC system	CLJU_c22200(1) AND CLJU_c31790(1) AND CLJU_c31800(1)	iJL965-ME
CPLX-304	zinc transport via ABC system	CLJU_c04010(1) AND CLJU_c31790(1) AND CLJU_c31800(1)	iJL965-ME
CPLX-305	zinc transport via ABC system	CLJU_c31790(1) AND CLJU_c31800(1) AND CLJU_c38160(1)	iJL965-ME
CPLX-306	zinc transport via ABC system	CLJU_c31790(1) AND CLJU_c31800(1) AND CLJU_c37880(1)	iJL965-ME
CPLX-307	ribulose 5-phosphate 3-epimerase	CLJU_c12640(1)	iJL965-ME
CPLX-308	L-glutamate transport in via proton symport	CLJU_c20790(1)	iJL965-ME
FadD_mono	Malonyl-CoA-ACP transacylase	CLJU_c42170(1)	iJL965-ME
CPLX-310	N-Formyl-L-glutamate amidohydrolase	CLJU_c24450(1)	iJL965-ME
CPLX-311	glycerol-3-phosphate dehydrogenase (NADP)	CLJU_c12480(1)	iJL965-ME
CPLX-312	sulfate transport in via proton symport	CLJU_c06120(1)	iJL965-ME
CPLX-313	sulfate transport in via proton symport	CLJU_c21180(1)	iJL965-ME
CPLX-314		CLJU_c03250(4)	iJL965-ME
CPLX-315		CLJU_c25790(4)	iJL965-ME
CPLX-316	methylglyoxal synthase	CLJU_c07300(1)	iJL965-ME
CPLX-317		CLJU_c14280(2)	iJL965-ME
CPLX-318		CLJU_c42590(1)	iJL965-ME
CPLX-319	glycerate kinase	CLJU_c28110(1)	iJL965-ME
CPLX-320	glycerate kinase	CLJU_c38380(1)	iJL965-ME
CPLX-321	anthranilate synthase	CLJU_c16070(1) AND CLJU_c16080(1)	iJL965-ME
CPLX-322	mannose-1-phosphate guanylyltransferase (GDP)	CLJU_c05540(1)	iJL965-ME
CPLX-323	mannose-1-phosphate guanylyltransferase (GDP)	CLJU_c05310(1)	iJL965-ME
CPLX-324	mannose-1-phosphate guanylyltransferase (GDP)	CLJU_c01930(1)	iJL965-ME
CPLX-325	Citrate lyase	CLJU_c25320(1) AND CLJU_c25340(1) AND CLJU_c30480(1)	iJL965-ME
CPLX-326	Citrate lyase	CLJU_c25340(1) AND CLJU_c30480(1) AND CLJU_c40560(1)	iJL965-ME
CPLX-327	Citrate lyase	CLJU_c25340(1) AND CLJU_c30470(1) AND CLJU_c30480(1)	iJL965-ME
CPLX-328	Citrate lyase	CLJU_c25320(1) AND CLJU_c25330(1) AND CLJU_c25340(1)	iJL965-ME
CPLX-329	Citrate lyase	CLJU_c25330(1) AND CLJU_c25340(1) AND CLJU_c40560(1)	iJL965-ME
CPLX-330	Citrate lyase	CLJU_c25330(1) AND CLJU_c25340(1) AND CLJU_c30470(1)	iJL965-ME
CPLX-331	Citrate lyase	CLJU_c25320(1) AND CLJU_c25340(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-332	Citrate lyase	CLJU_c25340(1) AND CLJU_c40560(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-333	Citrate lyase	CLJU_c25340(1) AND CLJU_c30470(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-334	Citrate lyase	CLJU_c25320(1) AND CLJU_c30480(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-335	Citrate lyase	CLJU_c30480(1) AND CLJU_c40560(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-336	Citrate lyase	CLJU_c30470(1) AND CLJU_c30480(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-337	Citrate lyase	CLJU_c25320(1) AND CLJU_c25330(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-338	Citrate lyase	CLJU_c25330(1) AND CLJU_c40560(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-339	Citrate lyase	CLJU_c25330(1) AND CLJU_c30470(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-340	Citrate lyase	CLJU_c25320(1) AND CLJU_c40570(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-341	Citrate lyase	CLJU_c40560(1) AND CLJU_c40570(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-342	Citrate lyase	CLJU_c30470(1) AND CLJU_c40570(1) AND CLJU_c40580(1)	iJL965-ME
CPLX-343	Citrate lyase	CLJU_c25320(1) AND CLJU_c30480(1) AND CLJU_c30490(1)	iJL965-ME
CPLX-344	Citrate lyase	CLJU_c30480(1) AND CLJU_c30490(1) AND CLJU_c40560(1)	iJL965-ME
CPLX-345	Citrate lyase	CLJU_c30470(1) AND CLJU_c30480(1) AND CLJU_c30490(1)	iJL965-ME
CPLX-346	Citrate lyase	CLJU_c25320(1) AND CLJU_c25330(1) AND CLJU_c30490(1)	iJL965-ME
CPLX-347	Citrate lyase	CLJU_c25330(1) AND CLJU_c30490(1) AND CLJU_c40560(1)	iJL965-ME
CPLX-348	Citrate lyase	CLJU_c25330(1) AND CLJU_c30470(1) AND CLJU_c30490(1)	iJL965-ME
CPLX-349	Citrate lyase	CLJU_c25320(1) AND CLJU_c30490(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-350	Citrate lyase	CLJU_c30490(1) AND CLJU_c40560(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-351	Citrate lyase	CLJU_c30470(1) AND CLJU_c30490(1) AND CLJU_c40570(1)	iJL965-ME
CPLX-352		CLJU_c42100(2) AND CLJU_c42110(1) AND CLJU_c42120(1) AND CLJU_c42140(1)	iJL965-ME
CPLX-353		CLJU_c13100(1)	iJL965-ME
CPLX-354		CLJU_c11500(2)	iJL965-ME
CPLX-355	UDPgalactopyranose mutase	CLJU_c33530(1)	iJL965-ME
CPLX-356	dTDP-4-dehydrorhamnose reductase	CLJU_c05340(1)	iJL965-ME
CPLX-357	dTDP-4-dehydrorhamnose reductase	CLJU_c05570(1)	iJL965-ME
CPLX-358	biotin-[acetyl-CoA-carboxylase] ligase	CLJU_c26660(1)	iJL965-ME
CPLX-359		CLJU_c39500(2)	iJL965-ME
CPLX-360		CLJU_c09080(2)	iJL965-ME
CPLX-361		CLJU_c13060(2)	iJL965-ME
CPLX-362	Undecaprenyl diphosphate synthase	CLJU_c35470(1)	iJL965-ME
CPLX-363		CLJU_c00710(1)	iJL965-ME
CPLX-364	homoserine kinase	CLJU_c07160(1)	iJL965-ME
CPLX-365		CLJU_c21320(1)	iJL965-ME
CPLX-366		CLJU_c20030(1) AND CLJU_c20040(1)	iJL965-ME
CPLX-367		CLJU_c06990(1)	iJL965-ME
CPLX-368		CLJU_c08930(1)	iJL965-ME
CPLX-369		CLJU_c21510(2)	iJL965-ME
CPLX-370	riboflavin synthase	CLJU_c22060(1)	iJL965-ME
CPLX-371	methenyltetrahydrofolate cyclohydrolase	CLJU_c37630(2)	iJL965-ME
CPLX-372		CLJU_c11720(2)	iJL965-ME
CPLX-373	GAPDy	CLJU_c39150(1)	iJL965-ME
CPLX-374	GAPDy	CLJU_c13400(1)	iJL965-ME
CPLX-375		CLJU_c24430(1)	iJL965-ME
CPLX-376		CLJU_c23710(1) AND CLJU_c23720(1) AND CLJU_c23730(1)	iJL965-ME
CPLX-377	asparagine synthase (glutamine-hydrolysing)	CLJU_c17710(1)	iJL965-ME
CPLX-378	asparagine synthase (glutamine-hydrolysing)	CLJU_c26720(1)	iJL965-ME
CPLX-379	phosphoribosyl-ATP pyrophosphatase	CLJU_c11750(1)	iJL965-ME
CPLX-380		CLJU_c29390(1)	iJL965-ME
Asr2_CPLX		CLJU_c25470(1) AND CLJU_c25480(1)	iJL965-ME
CPLX-382	3-dehydroquinate synthase	CLJU_c29160(1)	iJL965-ME
CPLX-383	ornithine transacetylase	CLJU_c21530(2)	iJL965-ME
CPLX-384	N-acetylmuramoyl-L-alanine amidase	CLJU_c04820(1)	iJL965-ME
CPLX-385	N-acetylmuramoyl-L-alanine amidase	CLJU_c31080(1)	iJL965-ME
CPLX-386	N-acetylmuramoyl-L-alanine amidase	CLJU_c01880(1)	iJL965-ME
CPLX-387	N-acetylmuramoyl-L-alanine amidase	CLJU_c40480(1)	iJL965-ME
CPLX-388	tartronate semialdehyde reductase	CLJU_c28090(1)	iJL965-ME
CPLX-389	3-dehydroquinate dehydratase	CLJU_c28760(2)	iJL965-ME
CPLX-390	acetylglutamate kinase	CLJU_c21520(1)	iJL965-ME
CPLX-391	histidase	CLJU_c21460(1)	iJL965-ME
CPLX-392	histidase	CLJU_c32840(1)	iJL965-ME
CPLX-393	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	CLJU_c00660(1)	iJL965-ME
CPLX-394	guanylate kinase (GMP:ATP)	CLJU_c12520(1)	iJL965-ME
CPLX-395	fructose-bisphosphate aldolase	CLJU_c02810(1)	iJL965-ME
CPLX-396	iron (II) transport via ABC system	CLJU_c21650(1) AND CLJU_c21660(1)	iJL965-ME
CPLX-397	iron (II) transport via ABC system	CLJU_c13960(1) AND CLJU_c13980(1)	iJL965-ME
CPLX-398		CLJU_c37390(1)	iJL965-ME
CPLX-399	prephenate dehydrogenase	CLJU_c29170(1)	iJL965-ME
CPLX-400	orotidine-5'-phosphate decarboxylase	CLJU_c35710(1)	iJL965-ME
CPLX-401	dihydrouracil dehydrogenase (NADP)	CLJU_c35870(1)	iJL965-ME
CPLX-402	Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)	CLJU_c31950(1)	iJL965-ME
CPLX-403	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CLJU_c01570(3)	iJL965-ME
CPLX-404	adenylosuccinate lyase	CLJU_c13370(1)	iJL965-ME
CPLX-405		CLJU_c07460(1)	iJL965-ME
CPLX-406		CLJU_c27720(1)	iJL965-ME
CPLX-407		CLJU_c16090(2)	iJL965-ME
CPLX-408		CLJU_c11180(1)	iJL965-ME
CPLX-409		CLJU_c41520(2)	iJL965-ME
CPLX-410	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CLJU_c02460(1)	iJL965-ME
CPLX-411	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CLJU_c41980(1)	iJL965-ME
CPLX-412	guanine deaminase	CLJU_c23960(1)	iJL965-ME
CODH_AC_SYN		CLJU_c37550(1) AND CLJU_c37570(1) AND CLJU_c37580(1) AND CLJU_c37670(1) AND CLJU_c37590(1) AND CLJU_c37660(1)	iJL965-ME
CPLX-414	nicotinate-nucleotide diphosphorylase (carboxylating)	CLJU_c24410(1)	iJL965-ME
CPLX-415	nicotinate-nucleotide diphosphorylase (carboxylating)	CLJU_c38070(1)	iJL965-ME
CPLX-416	thiaminase	CLJU_c25410(1)	iJL965-ME
CPLX-417	argininosuccinate lyase	CLJU_c06710(1)	iJL965-ME
CPLX-418	CTP synthase (NH3)	CLJU_c02200(4)	iJL965-ME
CPLX-419	phosphoglycerate dehydrogenase	CLJU_c32780(1)	iJL965-ME
CPLX-420	phosphoglycerate dehydrogenase	CLJU_c00970(1)	iJL965-ME
CPLX-421	phosphoglycerate dehydrogenase	CLJU_c03860(1)	iJL965-ME
CPLX-422	phosphoglycerate dehydrogenase	CLJU_c11580(1)	iJL965-ME
CPLX-423	phosphoglycerate dehydrogenase	CLJU_c11620(1)	iJL965-ME
CPLX-424	phosphoglycerate dehydrogenase	CLJU_c30610(1)	iJL965-ME
CPLX-425	transaldolase	CLJU_c25960(1)	iJL965-ME
CPLX-426	transaldolase	CLJU_c39640(1)	iJL965-ME
CPLX-427	phosphoribosylglycinamide formyltransferase	CLJU_c08580(1)	iJL965-ME
CPLX-428	UDP-N-acetylmuramoyl-L-alanine synthetase	CLJU_c41810(1)	iJL965-ME
CPLX-429	argininosuccinate synthase	CLJU_c06700(4)	iJL965-ME
CPLX-430	UTP-glucose-1-phosphate uridylyltransferase	CLJU_c34190(1)	iJL965-ME
CPLX-431	UTP-glucose-1-phosphate uridylyltransferase	CLJU_c04510(1)	iJL965-ME
CPLX-432	homoserine O-succinyltransferase	CLJU_c24330(1)	iJL965-ME
CPLX-433		CLJU_c41780(3)	iJL965-ME
CPLX-434	citrate synthase	CLJU_c06610(1)	iJL965-ME
CPLX-435	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase	CLJU_c10580(1)	iJL965-ME
CPLX-436	L-aspartate oxidase	CLJU_c24420(1)	iJL965-ME
CPLX-437	ammonia reversible transport	CLJU_c42660(1) AND CLJU_c42670(1)	iJL965-ME
CPLX-438	ammonia reversible transport	CLJU_c04040(1)	iJL965-ME
CPLX-439		CLJU_c20210(1)	iJL965-ME
CPLX-440		CLJU_c20110(1)	iJL965-ME
CPLX-441	gluconokinase	CLJU_c11610(1)	iJL965-ME
CPLX-442		CLJU_c37290(2)	iJL965-ME
CPLX-443	ribonucleoside-triphosphate reductase (CTP)	CLJU_c01840(1)	iJL965-ME
Rnf_CPLX		CLJU_c11360(1) AND CLJU_c11370(1) AND CLJU_c11380(1) AND CLJU_c11390(1) AND CLJU_c11400(1) AND CLJU_c11410(1)	iJL965-ME
CPLX-445		CLJU_c10470(1)	iJL965-ME
CPLX-446	glucose-1-phosphate thymidylyltransferase	CLJU_c05330(1)	iJL965-ME
CPLX-447	glucose-1-phosphate thymidylyltransferase	CLJU_c05560(1)	iJL965-ME
Met_RS_dim		CLJU_c01730(2)	iJL965-ME
CPLX-449	cytosine transport in via proton symport	CLJU_c27940(1)	iJL965-ME
CPLX-450	cytosine transport in via proton symport	CLJU_c19220(1)	iJL965-ME
CPLX-451		CLJU_c18150(1)	iJL965-ME
CPLX-452	uracil phosphoribosyltransferase	CLJU_c02320(1)	iJL965-ME
CPLX-453	uracil phosphoribosyltransferase	CLJU_c10740(2)	iJL965-ME
CPLX-454	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	CLJU_c21800(1)	iJL965-ME
HemN_mono		CLJU_c07950(1)	iJL965-ME
CPLX-456	2-isopropylmalate synthase	CLJU_c09050(4)	iJL965-ME
GalE_mono	UDPglucose 4-epimerase	CLJU_c21710(1)	iJL965-ME
CPLX-458	tryptophan synthase (indoleglycerol phosphate)	CLJU_c16130(2)	iJL965-ME
CPLX-459		CLJU_c28280(1)	iJL965-ME
CPLX-460	D-alanine-D-alanine ligase (reversible)	CLJU_c32110(1)	iJL965-ME
CPLX-461	D-galactonate transport via proton symport, reversible	CLJU_c13620(1)	iJL965-ME
Nfn_CPLX		CLJU_c37240(1)	iJL965-ME
CPLX-463		CLJU_c09340(1)	iJL965-ME
CPLX-464		CLJU_c29340(1)	iJL965-ME
CPLX-465	methylthioadenosine nucleosidase	CLJU_c10700(1)	iJL965-ME
CPLX-466	phosphoserine transaminase	CLJU_c00960(1)	iJL965-ME
CPLX-467	glutamine synthetase	CLJU_c41950(1)	iJL965-ME
CPLX-468	glucarate dehydratase	CLJU_c28170(1)	iJL965-ME
CPLX-469	glucarate dehydratase	CLJU_c28130(1)	iJL965-ME
CPLX-470		CLJU_c15340(1)	iJL965-ME
CPLX-471		CLJU_c15330(4)	iJL965-ME
CPLX-472	ribose-5-phosphate isomerase	CLJU_c02310(1)	iJL965-ME
CPLX-473	galactarate dehydratase	CLJU_c28100(1)	iJL965-ME
CPLX-474	pantetheine-phosphate adenylyltransferase	CLJU_c12720(6)	iJL965-ME
CPLX-475	dihydroneopterin aldolase	CLJU_c06370(1)	iJL965-ME
CPLX-476	Biotin uptake	CLJU_c24470(1)	iJL965-ME
CPLX-477	NAD synthase (nh3)	CLJU_c06920(1)	iJL965-ME
CPLX-478	transketolase	CLJU_c03050(1) AND CLJU_c03060(1)	iJL965-ME
CPLX-479	transketolase	CLJU_c25820(1) AND CLJU_c25830(1)	iJL965-ME
CPLX-480	murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)	CLJU_c07250(1)	iJL965-ME
CPLX-481		CLJU_c27810(1)	iJL965-ME
CPLX-482	thioredoxin reductase (NADPH)	CLJU_c40490(1)	iJL965-ME
CPLX-483	imidazolonepropionase	CLJU_c21470(1)	iJL965-ME
CPLX-484	ribonucleoside-diphosphate reductase (CDP)	CLJU_c06840(1)	iJL965-ME
CPLX-485	phosphoribosylanthranilate isomerase	CLJU_c16110(1)	iJL965-ME
CPLX-486	methionine synthase	CLJU_c06650(1)	iJL965-ME
LeuS_mono		CLJU_c02750(1)	iJL965-ME
CPLX-488	serine O-acetyltransferase	CLJU_c39300(1)	iJL965-ME
CPLX-489	glutamate racemase	CLJU_c41940(1)	iJL965-ME
CPLX-490		CLJU_c21930(1)	iJL965-ME
CPLX-491		CLJU_c02330(1)	iJL965-ME
CPLX-492	Arginine Deiminase	CLJU_c09270(1)	iJL965-ME
CPLX-493		CLJU_c39120(1)	iJL965-ME
CPLX-494	acetaldehyde dehydrogenase (acetylating)	CLJU_c11960(1)	iJL965-ME
CPLX-495		CLJU_c26570(1)	iJL965-ME
CPLX-496	L-ribulose-phosphate 4-epimerase	CLJU_c01210(1)	iJL965-ME
CPLX-497	glutamate 5-kinase	CLJU_c05990(1)	iJL965-ME
CPLX-498		CLJU_c29110(1)	iJL965-ME
CPLX-499	L-arabinose transport via ABC system	CLJU_c01980(1)	iJL965-ME
CPLX-500	xylulokinase	CLJU_c11570(1)	iJL965-ME
CPLX-501	xylulokinase	CLJU_c18250(1)	iJL965-ME
CPLX-502	phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)	CLJU_c10590(1)	iJL965-ME
CPLX-503		CLJU_c29140(4)	iJL965-ME
CPLX-504	Adenosylcobalamin 5'-phosphate synthase	CLJU_c35530(1)	iJL965-ME
CPLX-505	N-acetyl-g-glutamyl-phosphate reductase	CLJU_c21540(1)	iJL965-ME
CPLX-506		CLJU_c32120(1)	iJL965-ME
CPLX-507		CLJU_c40390(1)	iJL965-ME
CPLX-508		CLJU_c12010(1)	iJL965-ME
CPLX-509	malic enzyme (NAD)	CLJU_c30500(1)	iJL965-ME
CPLX-510	malic enzyme (NAD)	CLJU_c25360(1)	iJL965-ME
CPLX-511	2-Oxobutanoate formate lyase	CLJU_c11830(1) AND CLJU_c11840(1)	iJL965-ME
CPLX-512	2-Oxobutanoate formate lyase	CLJU_c25970(1) AND CLJU_c25980(1)	iJL965-ME
CPLX-513	2-Oxobutanoate formate lyase	CLJU_c39820(1) AND CLJU_c39830(1)	iJL965-ME
CPLX-514	malic enzyme (NADP)	CLJU_c04160(1)	iJL965-ME
CPLX-515	malic enzyme (NADP)	CLJU_c38460(1)	iJL965-ME
CPLX-516	glutamate dehydrogenase (NADP)	CLJU_c02660(1)	iJL965-ME
CPLX-517	L-rhamnose transport via proton symport	CLJU_c42580(1)	iJL965-ME
CPLX-518		CLJU_c23940(1)	iJL965-ME
CPLX-519		CLJU_c26120(1)	iJL965-ME
CPLX-520		CLJU_c29900(1)	iJL965-ME
CPLX-521	xanthine phosphoribosyltransferase	CLJU_c15120(2)	iJL965-ME
CPLX-522	methenyltetrahydrofolate cyclohydrolase	CLJU_c37640(1)	iJL965-ME
CPLX-523		CLJU_c16120(2)	iJL965-ME
CPLX-524		CLJU_c29050(1)	iJL965-ME
CPLX-525	ATP synthase (four protons for one ATP)	CLJU_c02360(1) AND CLJU_c02370(1) AND CLJU_c02380(1) AND CLJU_c02390(2) AND CLJU_c02400(1) AND CLJU_c02410(3) AND CLJU_c02420(1) AND CLJU_c02430(3) AND CLJU_c02440(1)	iJL965-ME
CPLX-526	PBP substrate translocator	CLJU_c10620(1)	iJL965-ME
CPLX-527	threonine-phosphate decarboxylase	CLJU_c32000(1)	iJL965-ME
CPLX-528		CLJU_c35060(1)	iJL965-ME
CPLX-529		CLJU_c33050(1)	iJL965-ME
CPLX-530	cystathionine b-lyase	CLJU_c27610(1)	iJL965-ME
CPLX-531		CLJU_c21480(1)	iJL965-ME
CPLX-532	nicotinamidase	CLJU_c23150(1)	iJL965-ME
CPLX-533	tartronate semialdehyde reductase	CLJU_c00680(1)	iJL965-ME
CPLX-534	aspartate-semialdehyde dehydrogenase	CLJU_c34570(2)	iJL965-ME
CPLX-535	xanthine transport in via proton symport	CLJU_c23850(1)	iJL965-ME
CPLX-536	xanthine transport in via proton symport	CLJU_c15130(1)	iJL965-ME
CPLX-537	nicotinate-nucleotide adenylyltransferase	CLJU_c07400(1)	iJL965-ME
CPLX-538	alpha-ribazole 5-phosphate phosphatase	CLJU_c35540(1)	iJL965-ME
CPLX-539		CLJU_c23220(1)	iJL965-ME
CPLX-540		CLJU_c21310(2)	iJL965-ME
CPLX-541	phosphoribosylaminoimidazolesuccinocarboxamide synthase	CLJU_c08550(1)	iJL965-ME
CPLX-542	glutamate synthase (NADPH)	CLJU_c17370(1) AND CLJU_c17380(1)	iJL965-ME
CPLX-543	L-arganine reversible transport via proton symport	CLJU_c04750(1) AND CLJU_c04760(1)	iJL965-ME
CPLX-544	L-arganine reversible transport via proton symport	CLJU_c21450(1)	iJL965-ME
CPLX-545	L-arganine reversible transport via proton symport	CLJU_c28050(1)	iJL965-ME
CPLX-546	UDPglucose 6-dehydrogenase	CLJU_c34100(1)	iJL965-ME
Asr1_CPLX		CLJU_c23750(1) AND CLJU_c23760(1) AND CLJU_c23770(1)	iJL965-ME
CPLX-548	glycine cleavage complex	CLJU_c24180(1)	iJL965-ME
CPLX-549	superoxide dismutase	CLJU_c29780(1)	iJL965-ME
CPLX-550	4-aminobenzoate synthase	CLJU_c36000(1)	iJL965-ME
CPLX-551	magnesium transport in/out via permease (no H+)	CLJU_c09130(1)	iJL965-ME
CPLX-552	magnesium transport in/out via permease (no H+)	CLJU_c02970(1)	iJL965-ME
CPLX-553	magnesium transport in/out via permease (no H+)	CLJU_c15990(1)	iJL965-ME
CPLX-554	magnesium transport in/out via permease (no H+)	CLJU_c21890(1)	iJL965-ME
CPLX-555	dephospho-CoA kinase	CLJU_c33600(1)	iJL965-ME
CPLX-556	homoserine dehydrogenase (NADPH)	CLJU_c10090(1)	iJL965-ME
CPLX-557	homoserine dehydrogenase (NADPH)	CLJU_c07150(1)	iJL965-ME
CPLX-558	methionine adenosyltransferase	CLJU_c23550(1)	iJL965-ME
CPLX-559		CLJU_c02580(4)	iJL965-ME
CPLX-560	4-amino-4-deoxychorismate synthase	CLJU_c36010(1) AND CLJU_c36020(1)	iJL965-ME
IleS_mono		CLJU_c01890(1)	iJL965-ME
CPLX-562		CLJU_c06210(1)	iJL965-ME
CPLX-563	glutamine-fructose-6-phosphate transaminase	CLJU_c40420(2)	iJL965-ME
CPLX-564	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	CLJU_c02110(1)	iJL965-ME
CysS_mono		CLJU_c20850(1)	iJL965-ME
CysSII_mono		CLJU_c41270(1)	iJL965-ME
Trp_RS_dim		CLJU_c38290(2)	iJL965-ME
Lys_RS_dim		CLJU_c41480(2)	iJL965-ME
AlaS_mono		CLJU_c12150(1)	iJL965-ME
Gly_RS_dim		CLJU_c41460(2)	iJL965-ME
Tyr_RS_dim		CLJU_c34300(2)	iJL965-ME
TyrII_RS_dim		CLJU_c38210(2)	iJL965-ME
Thr_RS_dim		CLJU_c34470(2)	iJL965-ME
Asp_RS_dim		CLJU_c33660(2)	iJL965-ME
Pro_RS_dim		CLJU_c38360(2)	iJL965-ME
Asn_RS_dim		CLJU_c42030(2)	iJL965-ME
AsnII_RS_dim		CLJU_c06740(2)	iJL965-ME
Phe_RS_tetra		CLJU_c34410(2) AND CLJU_c34420(2)	iJL965-ME
ArgS_mono		CLJU_c21700(1)	iJL965-ME
GlnS_mono		CLJU_c26740(1)	iJL965-ME
His_RS_dim		CLJU_c33670(2)	iJL965-ME
MiaA_mono		CLJU_c21220(1)	iJL965-ME
MiaB_mono		CLJU_c21250(1)	iJL965-ME
TadA_dim		CLJU_c00760(2)	iJL965-ME
CLJU_c01470_mono		CLJU_c01470(1)	iJL965-ME
CLJU_c11280_mono		CLJU_c11280(1)	iJL965-ME
CLJU_c01520_mono		CLJU_c01520(1)	iJL965-ME
MtaB_mono		CLJU_c08020(1)	iJL965-ME
TsaC_mono		CLJU_c02290(1)	iJL965-ME
TsaCII_mono		CLJU_c26950(1)	iJL965-ME
TsaEBD_CPLX		CLJU_c37400(1) AND CLJU_c38180(1) AND CLJU_c38190(1)	iJL965-ME
TrmD_dim		CLJU_c12920(2)	iJL965-ME
TruB_mono		CLJU_c13180(1)	iJL965-ME
MnmA_mono		CLJU_c23380(1)	iJL965-ME
TrmB_dim		CLJU_c29660(2)	iJL965-ME
Tgt_hex		CLJU_c33800(6)	iJL965-ME
QueG_mono		CLJU_c32750(1)	iJL965-ME
QueGII_mono		CLJU_c26330(1)	iJL965-ME
QueA_mono		CLJU_c33810(1)	iJL965-ME
TrmDII_dim		CLJU_c35670(2)	iJL965-ME
TrmL_dim		CLJU_c39190(2)	iJL965-ME
TruA_dim		CLJU_c40720(2)	iJL965-ME
DnaJ_dim		CLJU_c07990(2)	iJL965-ME
DnaJII_dim		CLJU_c02780(2)	iJL965-ME
PrsA_mono		CLJU_c01180(1)	iJL965-ME
PrsAII_mono		CLJU_c41710(1)	iJL965-ME
RsuA_mono		CLJU_c37000(1)	iJL965-ME
GidB_mono		CLJU_c42900(1)	iJL965-ME
RsmD_mono		CLJU_c12710(1)	iJL965-ME
RsmB_mono		CLJU_c12590(1)	iJL965-ME
DusI_mono		CLJU_c38790(1)	iJL965-ME
DusII_mono		CLJU_c41510(1)	iJL965-ME
RsmH_mono		CLJU_c10540(1)	iJL965-ME
RsmI_mono		CLJU_c01480(1)	iJL965-ME
RsmE_mono		CLJU_c08010(1)	iJL965-ME
RsmA_mono		CLJU_c01770(1)	iJL965-ME
RluC_mono		CLJU_c17350(1)	iJL965-ME
RluD_mono		CLJU_c10720(1)	iJL965-ME
RlmH_dim		CLJU_c17400(2)	iJL965-ME
RlmB_mono		CLJU_c41250(1)	iJL965-ME
RlmN_mono		CLJU_c12600(1)	iJL965-ME
RluB_mono		CLJU_c21360(1)	iJL965-ME
RimJ_mono		CLJU_c00990(1)	iJL965-ME
RnmV_mono		CLJU_c01760(1)	iJL965-ME
PrmC_mono		CLJU_c02250(1)	iJL965-ME
PrfA_mono		CLJU_c02260(1)	iJL965-ME
PrfB_mono		CLJU_c02640(1)	iJL965-ME
PrfC_mono		CLJU_c38280(1)	iJL965-ME
Era_mono		CLJU_c08100(1)	iJL965-ME
Def_mono		CLJU_c12560(1)	iJL965-ME
DefII_mono		CLJU_c13640(1)	iJL965-ME
DefIII_mono		CLJU_c16270(1)	iJL965-ME
DefIV_mono		CLJU_c17840(1)	iJL965-ME
DefV_mono		CLJU_c21960(1)	iJL965-ME
SecA_mono		CLJU_c02630(1)	iJL965-ME
Sec_cplx		CLJU_c33740(1) AND CLJU_c33750(1) AND CLJU_c39100(1) AND CLJU_c40840(1) AND CLJU_c41180(1)	iJL965-ME
FtsY_mono		CLJU_c12860(1)	iJL965-ME
SRP_cplx		CLJU_c12880(1) AND CLJU_c41670(1)	iJL965-ME
RimM_mono		CLJU_c12910(1)	iJL965-ME
RbgA_mono		CLJU_c12950(1)	iJL965-ME
Tsf_mono		CLJU_c13030(1)	iJL965-ME
Frr_mono		CLJU_c13050(1)	
