,subs
MOBDabc,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
MPTG2ex,Membrane Transport
MPTGex,Membrane Transport
MTHFR5,Carbohydrates
NADS2,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
NAPRT,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
NAt3_2,Membrane Transport
NFORGLUAH,Amino Acids and Derivatives
NH4t,Nitrogen Metabolism
NIT1b,Nitrogen Metabolism
NNAT,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
NO2t2r,Nitrogen Metabolism
NO3t2,Nitrogen Metabolism
NTRARf,Nitrogen Metabolism
NTRIR5,Nitrogen Metabolism
ORNTAC,Amino Acids and Derivatives
P5CRx,Amino Acids and Derivatives
PC,Carbohydrates
PC11M,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PC17M,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PC20M,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PC6AR,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PC6YM,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PC8XM,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PIabc,Membrane Transport
PIt2r,Membrane Transport
PLPS,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
PNP,Carbohydrates
POR,Carbohydrates
PPDK,Carbohydrates
PRAGS,Nucleosides and Nucleotides
PRAI,Secondary Metabolism
PRASCS,Nucleosides and Nucleotides
PROt4,Membrane Transport
PTRCabc,Membrane Transport
PYNP1,Carbohydrates
RIBFLVt2,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
RIBabc,Carbohydrates
RMNt,Carbohydrates
RNF,Respiration
RNTR1,Nucleosides and Nucleotides
RNTR2,Nucleosides and Nucleotides
RNTR3,Nucleosides and Nucleotides
RNTR4,Nucleosides and Nucleotides
SERt2r,Carbohydrates
SHCHCC,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
SHSL2r,Amino Acids and Derivatives
SO4t2,Membrane Transport
SPMDabc,Membrane Transport
SULR3,Sulfur Metabolism
SULabc,Membrane Transport
TAURabc,Membrane Transport
THFGLUS,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
THRAr,Amino Acids and Derivatives
THRPD,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
TMN,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
TRPt2r,Membrane Transport
UAAGMDt,Membrane Transport
UAG2EMA,Cell Wall and Capsule
UDCPDPex,Cell Wall and Capsule
URAt2,Membrane Transport
URCN,Amino Acids and Derivatives
URIDK2r,Nucleosides and Nucleotides
URIK1,Nucleosides and Nucleotides
URIK3,Nucleosides and Nucleotides
VALt2r,Membrane Transport
XANt2,Membrane Transport
XYLabc,Membrane Transport
XYLt2,Carbohydrates
ZNabc,Membrane Transport
EX_araban__L_e,Exchange
EX_btd__RR_e,Exchange
EX_btoh_e,Exchange
EX_citr__L_e,Exchange
EX_co_e,Exchange
EX_fol_e,Exchange
EX_murein4p3p_e,Exchange
EX_murein4p4p_e,Exchange
EX_murein4px4p_e,Exchange
EX_murein4px4px4p_e,Exchange
EX_murein5p3p_e,Exchange
EX_murein5p4p_e,Exchange
EX_murein5p5p_e,Exchange
EX_murein5p5p5p_e,Exchange
EX_murein5px3p_e,Exchange
EX_murein5px4p_e,Exchange
EX_murein5px4px4p_e,Exchange
EX_ribflv_e,Exchange
EX_uaagmda_e,Exchange
EX_udcpdp_e,Exchange
EX_udcpp_e,Exchange
DM_succ_c,Demand
Cl_biomass_DSM_WT_46p666M1,Transport
ACt2r,Transport
ASNt2r,Transport
ASPt2,Transport
BTDt__RR,Transport
BTOHt,Transport
BUTt,Transport
CA2abc,Transport
CITRt2r,Transport
CLt3r_2,Transport
CO2t,Transport
COabc,Transport
COt,Transport
CYSabc,Transport
Cuabc,Transport
ETOHt,Transport
FOLt,Transport
GLCt2,Transport
GLNabc,Transport
GLUabc,Transport
H2Ot,Transport
H2td,Transport
HISt2r,Transport
METt2r,Transport
MNabc,Transport
NIabc,Transport
PYDXNtr,Transport
PYRt2r,Transport
THMt2,Transport
UDCPPtexi,Transport
CCGt,Transport
DADt,Transport
GLCt3,Transport
GLYCTt,Transport
LIPOt2,Transport
METabc,Transport
PNTOt,Transport
THRt2,Transport
ZN2t,Transport
