Transcription-Units,Genes of transcription unit,Direction
TU1SOZ-897,ABAYE_RS07765 // ABAYE_RS07760 // ABAYE_RS07755,+
TU1SOZ-2581,ABAYE_RS04630,-
TU1SOZ-105,ABAYE_RS00755 // ABAYE_RS00750,-
TU1SOZ-2477,ABAYE_RS08585,-
TU1SOZ-829,ABAYE_RS07125 // ABAYE_RS07120,+
TU1SOZ-879,ABAYE_RS07610,-
TU1SOZ-876,ABAYE_RS07595,+
TU1SOZ-1476,ABAYE_RS12990,-
TU1SOZ-947,ABAYE_RS19645,+
TU1SOZ-667,ABAYE_RS05675,-
TU1SOZ-1639,ABAYE_RS14485 // ABAYE_RS14480,+
TU1SOZ-2555,ABAYE_RS05420,-
TU1SOZ-2183,ABAYE_RS19175,+
TU1SOZ-1954,ABAYE_RS17225,-
TU1SOZ-2186,ABAYE_RS19190,+
TU1SOZ-2107,ABAYE_RS18495,-
TU1SOZ-220,ABAYE_RS01800 // ABAYE_RS01795,+
TU1SOZ-87,ABAYE_RS00635 // ABAYE_RS00630,+
TU1SOZ-686,ABAYE_RS05815,+
TU1SOZ-374,ABAYE_RS03240 // ABAYE_RS03235 // ABAYE_RS03230 // ABAYE_RS03225 // ABAYE_RS03220,-
TU1SOZ-1532,ABAYE_RS13450,-
TU1SOZ-637,ABAYE_RS05435,-
TU1SOZ-1417,ABAYE_RS12595 // ABAYE_RS12590 // ABAYE_RS12585 // ABAYE_RS12580,-
TU1SOZ-1643,ABAYE_RS14530 // ABAYE_RS14525,+
TU1SOZ-2588,ABAYE_RS04400,-
TU1SOZ-1769,ABAYE_RS15640 // ABAYE_RS15635,-
TU1SOZ-1877,ABAYE_RS16570,-
TU1SOZ-1114,ABAYE_RS19690,-
TU1SOZ-2002,ABAYE_RS17610 // ABAYE_RS17605,-
TU1SOZ-2078,ABAYE_RS18300,+
TU1SOZ-574,ABAYE_RS04815,+
TU1SOZ-1127,ABAYE_RS09795 // ABAYE_RS09790,-
TU1SOZ-182,ABAYE_RS01445,-
TU1SOZ-203,ABAYE_RS01610,-
TU1SOZ-1946,ABAYE_RS17160,-
TU1SOZ-365,ABAYE_RS03165,-
TU1SOZ-2050,ABAYE_RS18025,+
TU1SOZ-1670,ABAYE_RS14715 // ABAYE_RS14710,+
TU1SOZ-1249,ABAYE_RS11060 // ABAYE_RS11055,+
TU1SOZ-961,ABAYE_RS08305,+
TU1SOZ-2199,ABAYE_RS20100,+
TU1SOZ-1379,ABAYE_RS12330 // ABAYE_RS12325,-
TU1SOZ-474,ABAYE_RS04090,-
TU1SOZ-2126,ABAYE_RS18675,+
TU1SOZ-416,ABAYE_RS03670 // ABAYE_RS03665,+
TU1SOZ-1611,ABAYE_RS14280 // ABAYE_RS14275,-
TU1SOZ-1906,ABAYE_RS16780,+
TU1SOZ-2539,ABAYE_RS05990,-
TU1SOZ-1306,ABAYE_RS11605,-
TU1SOZ-1650,ABAYE_RS14590,-
TU1SOZ-830,ABAYE_RS07130,+
TU1SOZ-216,ABAYE_RS01770 // ABAYE_RS01765,-
TU1SOZ-2472,ABAYE_RS09170,-
TU1SOZ-1528,ABAYE_RS19820,+
TU1SOZ-1846,ABAYE_RS16340,+
TU1SOZ-1706,ABAYE_RS15035 // ABAYE_RS15030,+
TU1SOZ-362,ABAYE_RS03125 // ABAYE_RS03120,-
TU1SOZ-469,ABAYE_RS04035,+
TU1SOZ-2193,ABAYE_RS19250,+
TU1SOZ-848,ABAYE_RS07330 // ABAYE_RS07325 // ABAYE_RS07320,-
TU1SOZ-2029,ABAYE_RS19950 // ABAYE_RS17835,-
TU1SOZ-2064,ABAYE_RS18175,+
TU1SOZ-1729,ABAYE_RS15260,+
TU1SOZ-1274,ABAYE_RS11275,+
TU1SOZ-1859,ABAYE_RS16440,+
TU1SOZ-1055,ABAYE_RS09130,+
TU1SOZ-889,ABAYE_RS07700,-
TU1SOZ-2323,ABAYE_RS14520,-
TU1SOZ-143,ABAYE_RS01105 // ABAYE_RS01100 // ABAYE_RS01095,-
TU1SOZ-531,ABAYE_RS04525,-
TU1SOZ-2073,ABAYE_RS18270,-
TU1SOZ-575,ABAYE_RS04830 // ABAYE_RS04825 // ABAYE_RS04820,+
TU1SOZ-2453,ABAYE_RS19700,+
TU1SOZ-765,ABAYE_RS06470,+
TU1SOZ-2273,ABAYE_RS16675,-
TU1SOZ-1592,ABAYE_RS14040,+
TU1SOZ-2385,ABAYE_RS11980,+
TU1SOZ-1067,ABAYE_RS09265,+
TU1SOZ-2118,ABAYE_RS18590,-
TU1SOZ-1105,ABAYE_RS09595,-
TU1SOZ-76,ABAYE_RS00575 // ABAYE_RS00570,+
TU1SOZ-1526,ABAYE_RS13415,-
TU1SOZ-1120,ABAYE_RS09730,-
TU1SOZ-1691,ABAYE_RS14920 // ABAYE_RS14915,-
TU1SOZ-2565,ABAYE_RS05090,+
TU1SOZ-275,ABAYE_RS02240,-
TU1SOZ-1794,ABAYE_RS15905,+
TU1SOZ-572,ABAYE_RS04805,-
TU1SOZ-1780,ABAYE_RS15740,+
TU1SOZ-1620,ABAYE_RS14345,+
TU1SOZ-2422,ABAYE_RS10930,-
TU1SOZ-2159,ABAYE_RS19015 // ABAYE_RS19010,+
TU1SOZ-2498,ABAYE_RS07840,-
TU1SOZ-949,ABAYE_RS08180,+
TU1SOZ-1445,ABAYE_RS19795,-
TU1SOZ-1566,ABAYE_RS13805,+
TU1SOZ-591,ABAYE_RS05000,-
TU1SOZ-1694,ABAYE_RS14935,+
TU1SOZ-638,ABAYE_RS05440,-
TU1SOZ-1731,ABAYE_RS15280 // ABAYE_RS15275 // ABAYE_RS15270,-
TU1SOZ-154,ABAYE_RS01210,+
TU1SOZ-347,ABAYE_RS02975 // ABAYE_RS02970 // ABAYE_RS02965,-
TU1SOZ-1144,ABAYE_RS09990,+
TU1SOZ-7,ABAYE_RS00135,-
TU1SOZ-2374,ABAYE_RS12725,+
TU1SOZ-2461,ABAYE_RS09605,+
TU1SOZ-1472,ABAYE_RS12970,+
TU1SOZ-2474,ABAYE_RS08990,+
TU1SOZ-682,ABAYE_RS05775,-
TU1SOZ-2551,ABAYE_RS05475,-
TU1SOZ-1580,ABAYE_RS13940,-
TU1SOZ-136,ABAYE_RS01040,+
TU1SOZ-1853,ABAYE_RS16375,+
TU1SOZ-2516,ABAYE_RS07195,-
TU1SOZ-1594,ABAYE_RS14060,+
TU1SOZ-329,ABAYE_RS02820,-
TU1SOZ-2252,ABAYE_RS17825,+
TU1SOZ-156,ABAYE_RS01230,-
TU1SOZ-1165,ABAYE_RS10170,+
TU1SOZ-2197,ABAYE_RS19290 // ABAYE_RS20095 // ABAYE_RS19275,-
TU1SOZ-1265,ABAYE_RS11185,-
TU1SOZ-1460,ABAYE_RS12880,+
TU1SOZ-208,ABAYE_RS01660,-
TU1SOZ-778,ABAYE_RS06570 // ABAYE_RS06565 // ABAYE_RS06560,-
TU1SOZ-2644,ABAYE_RS01685,+
TU1SOZ-1546,ABAYE_RS13590,-
TU1SOZ-63,ABAYE_RS00085,+
TU1SOZ-1214,ABAYE_RS10675 // ABAYE_RS10670 // ABAYE_RS10665,-
TU1SOZ-2181,ABAYE_RS19165,-
TU1SOZ-1021,ABAYE_RS08880 // ABAYE_RS08875 // ABAYE_RS08870,+
TU1SOZ-14,ABAYE_RS00200,-
TU1SOZ-1169,ABAYE_RS10205 // ABAYE_RS10200 // ABAYE_RS10195 // ABAYE_RS10190,-
TU1SOZ-2130,ABAYE_RS18720,-
TU1SOZ-1966,ABAYE_RS17300,-
TU1SOZ-821,ABAYE_RS07065,-
TU1SOZ-1875,ABAYE_RS16555,-
TU1SOZ-101,ABAYE_RS00725,+
TU1SOZ-1195,ABAYE_RS10455 // ABAYE_RS10450 // ABAYE_RS10445 // ABAYE_RS10440 // ABAYE_RS10435 // ABAYE_RS10430,-
TU1SOZ-1471,ABAYE_RS12965,-
TU1SOZ-1382,ABAYE_RS12365 // ABAYE_RS12360,-
TU1SOZ-1609,ABAYE_RS14250,-
TU1SOZ-2663,ABAYE_RS01255,+
TU1SOZ-2296,ABAYE_RS15550,+
TU1SOZ-1426,ABAYE_RS12665 // ABAYE_RS12660,-
TU1SOZ-1401,ABAYE_RS12460,+
TU1SOZ-1455,ABAYE_RS12850,-
TU1SOZ-634,ABAYE_RS05410,+
TU1SOZ-346,ABAYE_RS02960 // ABAYE_RS02955 // ABAYE_RS02950,+
TU1SOZ-2154,ABAYE_RS18975,-
TU1SOZ-1894,ABAYE_RS16705,+
TU1SOZ-914,ABAYE_RS07885,+
TU1SOZ-2684,ABAYE_RS00160,+
TU1SOZ-910,ABAYE_RS07860,+
TU1SOZ-367,ABAYE_RS03185,-
TU1SOZ-1826,ABAYE_RS16175 // ABAYE_RS16170 // ABAYE_RS16165,+
TU1SOZ-1838,ABAYE_RS16275 // ABAYE_RS16270,-
TU1SOZ-1588,ABAYE_RS14005 // ABAYE_RS14000,-
TU1SOZ-1638,ABAYE_RS14475,-
TU1SOZ-1939,ABAYE_RS17050 // ABAYE_RS17045 // ABAYE_RS17040,+
TU1SOZ-489,ABAYE_RS04180 // ABAYE_RS04175,-
TU1SOZ-94,ABAYE_RS00685,+
TU1SOZ-1369,ABAYE_RS12255,-
TU1SOZ-2093,ABAYE_RS18390,-
TU1SOZ-2354,ABAYE_RS13380,+
TU1SOZ-247,ABAYE_RS02055,+
TU1SOZ-2421,ABAYE_RS10935,+
TU1SOZ-1226,ABAYE_RS10770,+
TU1SOZ-1030,ABAYE_RS08965,+
TU1SOZ-50,ABAYE_RS19530 // ABAYE_RS19525,-
TU1SOZ-1028,ABAYE_RS08940,-
TU1SOZ-2473,ABAYE_RS09165,+
TU1SOZ-2386,ABAYE_RS19735,+
TU1SOZ-573,ABAYE_RS04810,-
TU1SOZ-648,ABAYE_RS05530,+
TU1SOZ-562,ABAYE_RS04730,-
TU1SOZ-859,ABAYE_RS07435 // ABAYE_RS07430,+
TU1SOZ-1745,ABAYE_RS15395,+
TU1SOZ-855,ABAYE_RS07405,-
TU1SOZ-1415,ABAYE_RS12565,-
TU1SOZ-272,ABAYE_RS02225,-
TU1SOZ-2423,ABAYE_RS10925,+
TU1SOZ-1695,ABAYE_RS14940,+
TU1SOZ-1937,ABAYE_RS17030 // ABAYE_RS17025 // ABAYE_RS17020,+
TU1SOZ-1507,ABAYE_RS13210,-
TU1SOZ-305,ABAYE_RS02510,+
TU1SOZ-689,ABAYE_RS05830,-
TU1SOZ-666,ABAYE_RS05670,-
TU1SOZ-2545,ABAYE_RS05850,+
TU1SOZ-1372,ABAYE_RS12270,-
TU1SOZ-2548,ABAYE_RS05600,-
TU1SOZ-2567,ABAYE_RS05010,+
TU1SOZ-1129,ABAYE_RS09805,+
TU1SOZ-1044,ABAYE_RS09065,+
TU1SOZ-407,ABAYE_RS03595 // ABAYE_RS03590 // ABAYE_RS03585 // ABAYE_RS03580,+
TU1SOZ-962,ABAYE_RS08310,+
TU1SOZ-1517,ABAYE_RS13330 // ABAYE_RS13325 // ABAYE_RS13320 // ABAYE_RS13315,-
TU1SOZ-229,ABAYE_RS01850,+
TU1SOZ-939,ABAYE_RS08115 // ABAYE_RS08110 // ABAYE_RS08105 // ABAYE_RS08100 // ABAYE_RS08095,+
TU1SOZ-1656,ABAYE_RS14630,-
TU1SOZ-698,ABAYE_RS05925 // ABAYE_RS05920,+
TU1SOZ-1048,ABAYE_RS19660,-
TU1SOZ-2174,ABAYE_RS19120,-
TU1SOZ-55,ABAYE_RS00490,-
TU1SOZ-1907,ABAYE_RS16790 // ABAYE_RS16785,+
TU1SOZ-456,ABAYE_RS03930,+
TU1SOZ-1598,ABAYE_RS14095,-
TU1SOZ-643,ABAYE_RS05480,+
TU1SOZ-1483,ABAYE_RS13025,-
TU1SOZ-2595,ABAYE_RS04100,+
TU1SOZ-2659,ABAYE_RS01415,+
TU1SOZ-12,ABAYE_RS00190,-
TU1SOZ-828,ABAYE_RS07115 // ABAYE_RS07110,-
TU1SOZ-1326,ABAYE_RS11815,+
TU1SOZ-513,ABAYE_RS04370 // ABAYE_RS04365,-
TU1SOZ-609,ABAYE_RS05180,+
TU1SOZ-287,ABAYE_RS02340 // ABAYE_RS02335,+
TU1SOZ-1926,ABAYE_RS16940,+
TU1SOZ-1213,ABAYE_RS10660 // ABAYE_RS10655,+
TU1SOZ-2259,ABAYE_RS17270,-
TU1SOZ-2080,ABAYE_RS18310,-
TU1SOZ-1833,ABAYE_RS16220,-
TU1SOZ-977,ABAYE_RS08420,-
TU1SOZ-344,ABAYE_RS02925,+
TU1SOZ-2394,ABAYE_RS11615,+
TU1SOZ-1420,ABAYE_RS12625,-
TU1SOZ-1800,ABAYE_RS15960 // ABAYE_RS15955,-
TU1SOZ-209,ABAYE_RS01670 // ABAYE_RS01665,-
TU1SOZ-776,ABAYE_RS06550,+
TU1SOZ-2387,ABAYE_RS11890,+
TU1SOZ-89,ABAYE_RS00645,+
TU1SOZ-1835,ABAYE_RS16255,-
TU1SOZ-2513,ABAYE_RS07285,-
TU1SOZ-706,ABAYE_RS06035 // ABAYE_RS06030 // ABAYE_RS06025,-
TU1SOZ-41,ABAYE_RS00395 // ABAYE_RS00390 // ABAYE_RS00385 // ABAYE_RS00380,-
TU1SOZ-497,ABAYE_RS04235,+
TU1SOZ-802,ABAYE_RS06905,+
TU1SOZ-2260,ABAYE_RS17265,+
TU1SOZ-1562,ABAYE_RS13785,+
TU1SOZ-2037,ABAYE_RS17920 // ABAYE_RS17915 // ABAYE_RS17910 // ABAYE_RS17905 // ABAYE_RS19975 // ABAYE_RS17895,+
TU1SOZ-598,ABAYE_RS05065,+
TU1SOZ-1570,ABAYE_RS13835,-
TU1SOZ-926,ABAYE_RS07980,+
TU1SOZ-589,ABAYE_RS04980 // ABAYE_RS04975,+
TU1SOZ-1086,ABAYE_RS09420,+
TU1SOZ-1513,ABAYE_RS13300,+
TU1SOZ-2329,ABAYE_RS14260,-
TU1SOZ-749,ABAYE_RS06325,+
TU1SOZ-705,ABAYE_RS06020 // ABAYE_RS06015 // ABAYE_RS06010,+
TU1SOZ-1442,ABAYE_RS12765 // ABAYE_RS12760,+
TU1SOZ-340,ABAYE_RS02900 // ABAYE_RS02895,+
TU1SOZ-2455,ABAYE_RS09905,+
TU1SOZ-1458,ABAYE_RS12865,+
TU1SOZ-1124,ABAYE_RS09765 // ABAYE_RS09760,-
TU1SOZ-2607,ABAYE_RS03265,+
TU1SOZ-2052,ABAYE_RS20030,+
TU1SOZ-2442,ABAYE_RS10420,+
TU1SOZ-408,ABAYE_RS03605,+
TU1SOZ-1912,ABAYE_RS16840,+
TU1SOZ-1174,ABAYE_RS10270 // ABAYE_RS10265 // ABAYE_RS10260 // ABAYE_RS10255 // ABAYE_RS10250 // ABAYE_RS10245 // ABAYE_RS10240,-
TU1SOZ-2408,ABAYE_RS11375,-
TU1SOZ-1705,ABAYE_RS15025,-
TU1SOZ-139,ABAYE_RS01065,+
TU1SOZ-2135,ABAYE_RS18775,-
TU1SOZ-924,ABAYE_RS07965,+
TU1SOZ-2532,ABAYE_RS06365,+
TU1SOZ-1613,ABAYE_RS14295 // ABAYE_RS14290,+
TU1SOZ-1544,ABAYE_RS13575 // ABAYE_RS13570 // ABAYE_RS13565 // ABAYE_RS13560,-
TU1SOZ-368,ABAYE_RS03190,-
TU1SOZ-586,ABAYE_RS04950 // ABAYE_RS04945,+
TU1SOZ-217,ABAYE_RS01775,-
TU1SOZ-2608,ABAYE_RS03170,+
TU1SOZ-1744,ABAYE_RS15390,+
TU1SOZ-273,ABAYE_RS02230,-
TU1SOZ-635,ABAYE_RS05415,+
TU1SOZ-1389,ABAYE_RS12390,+
TU1SOZ-1398,ABAYE_RS12440,+
TU1SOZ-1830,ABAYE_RS16195,+
TU1SOZ-1916,ABAYE_RS16875 // ABAYE_RS16870,-
TU1SOZ-1662,ABAYE_RS14665,-
TU1SOZ-478,ABAYE_RS04120,-
TU1SOZ-923,ABAYE_RS07960,+
TU1SOZ-265,ABAYE_RS02185,-
TU1SOZ-1637,ABAYE_RS14470 // ABAYE_RS14465,-
TU1SOZ-2208,ABAYE_RS19310,-
TU1SOZ-2622,ABAYE_RS02775,-
TU1SOZ-651,ABAYE_RS05545,-
TU1SOZ-2682,ABAYE_RS19515,-
TU1SOZ-1283,ABAYE_RS11370 // ABAYE_RS11365,+
TU1SOZ-972,ABAYE_RS08375,-
TU1SOZ-1247,ABAYE_RS11040,+
TU1SOZ-15,ABAYE_RS00215 // ABAYE_RS00210 // ABAYE_RS00205,-
TU1SOZ-2544,ABAYE_RS05865,+
TU1SOZ-2040,ABAYE_RS17955,-
TU1SOZ-1029,ABAYE_RS08955 // ABAYE_RS08950 // ABAYE_RS08945,+
TU1SOZ-1452,ABAYE_RS12835,+
TU1SOZ-2616,ABAYE_RS02930,-
TU1SOZ-1792,ABAYE_RS15885,+
TU1SOZ-925,ABAYE_RS07975 // ABAYE_RS07970,-
TU1SOZ-1130,ABAYE_RS09815 // ABAYE_RS09810,+
TU1SOZ-2638,ABAYE_RS01755,-
TU1SOZ-1718,ABAYE_RS15120,-
TU1SOZ-852,ABAYE_RS07390 // ABAYE_RS07385 // ABAYE_RS07380 // ABAYE_RS07375,+
TU1SOZ-2527,ABAYE_RS06445,-
TU1SOZ-95,ABAYE_RS00690,+
TU1SOZ-1254,ABAYE_RS11105,+
TU1SOZ-2418,ABAYE_RS10965,+
TU1SOZ-2359,ABAYE_RS19805,+
TU1SOZ-1730,ABAYE_RS15265,+
TU1SOZ-2001,ABAYE_RS17600 // ABAYE_RS17595,-
TU1SOZ-2460,ABAYE_RS09695,+
TU1SOZ-1896,ABAYE_RS16720,+
TU1SOZ-327,ABAYE_RS02810,-
TU1SOZ-527,ABAYE_RS19590,+
TU1SOZ-2051,ABAYE_RS20025,+
TU1SOZ-1026,ABAYE_RS08930,+
TU1SOZ-2623,ABAYE_RS02770,+
TU1SOZ-2493,ABAYE_RS07950,-
TU1SOZ-1605,ABAYE_RS14220 // ABAYE_RS14215,-
TU1SOZ-2465,ABAYE_RS09355,+
TU1SOZ-1153,ABAYE_RS10080,-
TU1SOZ-1216,ABAYE_RS10695,+
TU1SOZ-2122,ABAYE_RS18630 // ABAYE_RS18625,-
TU1SOZ-912,ABAYE_RS07870,-
TU1SOZ-2349,ABAYE_RS13810,-
TU1SOZ-307,ABAYE_RS02520,-
TU1SOZ-2464,ABAYE_RS09450,+
TU1SOZ-441,ABAYE_RS03835,+
TU1SOZ-119,ABAYE_RS00865,+
TU1SOZ-971,ABAYE_RS08370,-
TU1SOZ-475,ABAYE_RS04095,-
TU1SOZ-2481,ABAYE_RS08440,+
TU1SOZ-784,ABAYE_RS06690,+
TU1SOZ-1865,ABAYE_RS16495 // ABAYE_RS16490 // ABAYE_RS16485,+
TU1SOZ-2176,ABAYE_RS19135 // ABAYE_RS19130,-
TU1SOZ-1494,ABAYE_RS13115 // ABAYE_RS13110,+
TU1SOZ-1820,ABAYE_RS16100,-
TU1SOZ-2533,ABAYE_RS06180,+
TU1SOZ-1812,ABAYE_RS16040,+
TU1SOZ-2413,ABAYE_RS11195,+
TU1SOZ-1242,ABAYE_RS10980 // ABAYE_RS10975 // ABAYE_RS10970,-
TU1SOZ-1581,ABAYE_RS13945,-
TU1SOZ-2454,ABAYE_RS09910,-
TU1SOZ-2120,ABAYE_RS18610 // ABAYE_RS18605,-
TU1SOZ-2213,ABAYE_RS19155,+
TU1SOZ-2036,ABAYE_RS17890,-
TU1SOZ-791,ABAYE_RS06795,+
TU1SOZ-174,ABAYE_RS01370 // ABAYE_RS01365 // ABAYE_RS01360,+
TU1SOZ-1049,ABAYE_RS09090,+
TU1SOZ-952,ABAYE_RS08205,-
TU1SOZ-1157,ABAYE_RS10105,-
TU1SOZ-1910,ABAYE_RS16830,+
TU1SOZ-560,ABAYE_RS04710,+
TU1SOZ-888,ABAYE_RS07695,-
TU1SOZ-176,ABAYE_RS01390 // ABAYE_RS01385,+
TU1SOZ-1619,ABAYE_RS14330,-
TU1SOZ-1404,ABAYE_RS12480 // ABAYE_RS12475,-
TU1SOZ-570,ABAYE_RS04790,+
TU1SOZ-422,ABAYE_RS03710,+
TU1SOZ-1322,ABAYE_RS11770 // ABAYE_RS11765,-
TU1SOZ-83,ABAYE_RS00610,-
TU1SOZ-227,ABAYE_RS01840,-
TU1SOZ-1244,ABAYE_RS10990,-
TU1SOZ-2518,ABAYE_RS07020,-
TU1SOZ-1852,ABAYE_RS16370,+
TU1SOZ-377,ABAYE_RS03260,-
TU1SOZ-1104,ABAYE_RS09590,+
TU1SOZ-758,ABAYE_RS06410 // ABAYE_RS06405,+
TU1SOZ-2163,ABAYE_RS19035,+
TU1SOZ-193,ABAYE_RS01530,+
TU1SOZ-2087,ABAYE_RS18350,-
TU1SOZ-173,ABAYE_RS01355,+
TU1SOZ-2184,ABAYE_RS19180,+
TU1SOZ-1412,ABAYE_RS12550,+
TU1SOZ-911,ABAYE_RS07865,-
TU1SOZ-2499,ABAYE_RS07810,-
TU1SOZ-1924,ABAYE_RS16925,-
TU1SOZ-1519,ABAYE_RS13345 // ABAYE_RS13340,+
TU1SOZ-2411,ABAYE_RS11235,+
TU1SOZ-645,ABAYE_RS05515,+
TU1SOZ-2200,ABAYE_RS19320,-
TU1SOZ-2667,ABAYE_RS01085,+
TU1SOZ-1119,ABAYE_RS09725 // ABAYE_RS09720 // ABAYE_RS09715,-
TU1SOZ-1079,ABAYE_RS09375,+
TU1SOZ-1634,ABAYE_RS14455,-
TU1SOZ-375,ABAYE_RS03245,-
TU1SOZ-392,ABAYE_RS03460 // ABAYE_RS03455 // ABAYE_RS03450 // ABAYE_RS03445 // ABAYE_RS03440,+
TU1SOZ-1737,ABAYE_RS15325 // ABAYE_RS15320,-
TU1SOZ-1746,ABAYE_RS15400,+
TU1SOZ-1567,ABAYE_RS13820 // ABAYE_RS13815,+
TU1SOZ-552,ABAYE_RS04655,+
TU1SOZ-540,ABAYE_RS04575,-
TU1SOZ-1786,ABAYE_RS19890 // ABAYE_RS15795,-
TU1SOZ-2033,ABAYE_RS19970,+
TU1SOZ-1070,ABAYE_RS09300 // ABAYE_RS09295 // ABAYE_RS09290 // ABAYE_RS09285,+
TU1SOZ-1767,ABAYE_RS15625,-
TU1SOZ-2459,ABAYE_RS09780,+
TU1SOZ-583,ABAYE_RS04920 // ABAYE_RS04915,+
TU1SOZ-922,ABAYE_RS07955,+
TU1SOZ-2092,ABAYE_RS18385,-
TU1SOZ-186,ABAYE_RS01470,+
TU1SOZ-163,ABAYE_RS01290 // ABAYE_RS01285 // ABAYE_RS01280 // ABAYE_RS01275,+
TU1SOZ-514,ABAYE_RS04375,-
TU1SOZ-2145,ABAYE_RS18850 // ABAYE_RS18845 // ABAYE_RS18840,-
TU1SOZ-2070,ABAYE_RS18255,-
TU1SOZ-445,ABAYE_RS03855,-
TU1SOZ-2291,ABAYE_RS15785,+
TU1SOZ-1758,ABAYE_RS15525 // ABAYE_RS15520,-
TU1SOZ-2196,ABAYE_RS19270,+
TU1SOZ-1258,ABAYE_RS11135,+
TU1SOZ-2131,ABAYE_RS18725,-
TU1SOZ-863,ABAYE_RS07465,+
TU1SOZ-54,ABAYE_RS00485,-
TU1SOZ-2219,ABAYE_RS18780,+
TU1SOZ-1610,ABAYE_RS14270,-
TU1SOZ-1373,ABAYE_RS12275,-
TU1SOZ-214,ABAYE_RS01725,-
TU1SOZ-117,ABAYE_RS00855,+
TU1SOZ-1489,ABAYE_RS13075,+
TU1SOZ-1142,ABAYE_RS09955,+
TU1SOZ-1073,ABAYE_RS09325,+
TU1SOZ-2519,ABAYE_RS07005,-
TU1SOZ-769,ABAYE_RS06490,-
TU1SOZ-2443,ABAYE_RS10405,+
TU1SOZ-2100,ABAYE_RS18440,+
TU1SOZ-678,ABAYE_RS05755 // ABAYE_RS05750,+
TU1SOZ-2057,ABAYE_RS18090,-
TU1SOZ-2495,ABAYE_RS07925,+
TU1SOZ-1065,ABAYE_RS09255,+
TU1SOZ-849,ABAYE_RS07355 // ABAYE_RS07350 // ABAYE_RS07345 // ABAYE_RS07340 // ABAYE_RS07335,-
TU1SOZ-1167,ABAYE_RS10180,-
TU1SOZ-2060,ABAYE_RS18130 // ABAYE_RS18125 // ABAYE_RS18120,-
TU1SOZ-1971,ABAYE_RS17330,-
TU1SOZ-90,ABAYE_RS00650,+
TU1SOZ-2235,ABAYE_RS18205,+
TU1SOZ-2674,ABAYE_RS00770,+
TU1SOZ-252,ABAYE_RS02080,-
TU1SOZ-2079,ABAYE_RS18305,-
TU1SOZ-1089,ABAYE_RS09445 // ABAYE_RS09440,-
TU1SOZ-602,ABAYE_RS05105 // ABAYE_RS05100,-
TU1SOZ-980,ABAYE_RS08460,-
TU1SOZ-539,ABAYE_RS04570,+
TU1SOZ-1867,ABAYE_RS16510 // ABAYE_RS16505,-
TU1SOZ-1087,ABAYE_RS09430 // ABAYE_RS09425,+
TU1SOZ-2686,ABAYE_RS00150,+
TU1SOZ-596,ABAYE_RS05055 // ABAYE_RS05050,-
TU1SOZ-2683,ABAYE_RS00250,-
TU1SOZ-1313,ABAYE_RS11675,+
TU1SOZ-1063,ABAYE_RS09240 // ABAYE_RS09235 // ABAYE_RS09230,+
TU1SOZ-2077,ABAYE_RS18295 // ABAYE_RS18290,+
TU1SOZ-2346,ABAYE_RS13915,+
TU1SOZ-2399,ABAYE_RS11535,+
TU1SOZ-2237,ABAYE_RS20040,+
TU1SOZ-655,ABAYE_RS05590 // ABAYE_RS05585,+
TU1SOZ-118,ABAYE_RS00860,+
TU1SOZ-2629,ABAYE_RS02395,-
TU1SOZ-921,ABAYE_RS07945,+
TU1SOZ-721,ABAYE_RS06130,-
TU1SOZ-1890,ABAYE_RS16650,+
TU1SOZ-728,ABAYE_RS06175,-
TU1SOZ-467,ABAYE_RS04020,+
TU1SOZ-1341,ABAYE_RS11915,-
TU1SOZ-2312,ABAYE_RS15090,+
TU1SOZ-2550,ABAYE_RS05575,+
TU1SOZ-487,ABAYE_RS04165,+
TU1SOZ-564,ABAYE_RS04740,-
TU1SOZ-1277,ABAYE_RS11290,-
TU1SOZ-2378,ABAYE_RS12575,+
TU1SOZ-2102,ABAYE_RS18460 // ABAYE_RS18455 // ABAYE_RS18450,-
TU1SOZ-473,ABAYE_RS04080,+
TU1SOZ-2248,ABAYE_RS17875,-
TU1SOZ-40,ABAYE_RS00375 // ABAYE_RS00370 // ABAYE_RS00365 // ABAYE_RS00360,-
TU1SOZ-1720,ABAYE_RS15140,+
TU1SOZ-2017,ABAYE_RS17715,-
TU1SOZ-2215,ABAYE_RS18965,+
TU1SOZ-882,ABAYE_RS07635,+
TU1SOZ-1171,ABAYE_RS10215,-
TU1SOZ-1094,ABAYE_RS09505 // ABAYE_RS09500,-
TU1SOZ-1530,ABAYE_RS13435,+
TU1SOZ-2456,ABAYE_RS09860,+
TU1SOZ-104,ABAYE_RS00745,+
TU1SOZ-710,ABAYE_RS06060 // ABAYE_RS06055,-
TU1SOZ-383,ABAYE_RS03325 // ABAYE_RS19575 // ABAYE_RS03320 // ABAYE_RS03315 // ABAYE_RS03310,-
TU1SOZ-1757,ABAYE_RS15510,-
TU1SOZ-2576,ABAYE_RS04720,-
TU1SOZ-1061,ABAYE_RS09220,-
TU1SOZ-159,ABAYE_RS01250,-
TU1SOZ-2129,ABAYE_RS18710 // ABAYE_RS18705,-
TU1SOZ-338,ABAYE_RS02885 // ABAYE_RS02880,+
TU1SOZ-1285,ABAYE_RS11390 // ABAYE_RS11385,+
TU1SOZ-1579,ABAYE_RS13935 // ABAYE_RS13930,-
TU1SOZ-792,ABAYE_RS06805 // ABAYE_RS06800,+
