Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Interrupted?,"Gene products (complexes, polypeptides, and RNAs)",replicon
G7531,b2955,3095288,3096425,G7531-MONOMER,,CPLX0-8291,NC_000913.2
EG11035,b0411,430352,431237,EG11035-MONOMER,,EG11035-MONOMER,NC_000913.2
G6293,b0533,561558,562542,G6293-MONOMER,,G6293-MONOMER,NC_000913.2
EG10573,b1159,1209568,1210402,EG10573-MONOMER,,EG10573-MONOMER,NC_000913.2
EG12193,b1000,1062077,1062998,EG12193-MONOMER,,EG12193-MONOMER,NC_000913.2
EG10050,b0564,582903,583653,EG10050-MONOMER,,PD00967,NC_000913.2
EG10741,b4235,4455981,4457334,EG10741-MONOMER,,CPLX0-8539,NC_000913.2
G7372,b2637,2769169,2769637,G7372-MONOMER,,G7372-MONOMER,NC_000913.2
EG11663,b3349,3475928,3476519,EG11663-MONOMER,,CPLX0-7536,NC_000913.2
G7277,b2447,2560545,2561139,G7277-MONOMER,,G7277-MONOMER,NC_000913.2
G6154,b0283,296993,297950,G6154-MONOMER,,CPLX0-8110,NC_000913.2
G7220,b2351,2466235,2467156,G7220-MONOMER,,G7220-MONOMER,NC_000913.2
EG12055,b2197,2292922,2293402,EG12055-MONOMER,,ABC-35-CPLX,NC_000913.2
G6832,b1565,1643920,1644226,G6832-MONOMER,,G6832-MONOMER,NC_000913.2
G7865,b4207,4426957,4427578,G7865-MONOMER,,CPLX0-3924,NC_000913.2
G6697,b1374,1431107,1431698,G6697-MONOMER,,G6697-MONOMER,NC_000913.2
G6541,b1035,1098862,1099417,G6541-MONOMER,,G6541-MONOMER,NC_000913.2
G6489,b0949,1009186,1011094,G6489-MONOMER,,UUP-MONOMER,NC_000913.2
EG12397,b0944,1003169,1003880,EG12397-MONOMER,,EG12397-MONOMER,NC_000913.2
G6301,b0545,570115,570667,G6301-MONOMER,,G6301-MONOMER,NC_000913.2
EG11989,b2110,2188947,2189667,EG11989-MONOMER,,EG11989-MONOMER,NC_000913.2
G6131,b0256,269826,270978,G6131-MONOMER,,G6131-MONOMER,NC_000913.2
G7744,b3401,3527795,3528674,G7744-MONOMER,,G7744-MONOMER,NC_000913.2
G0-10435,b4509,572952,573093,G0-10435-MONOMER,,MONOMER0-2657,NC_000913.2
G6357,b0650,680945,682616,G6357-MONOMER,,G6357-MONOMER,NC_000913.2
EG11899,b1349,1412007,1412817,EG11899-MONOMER,,EG11899-MONOMER,NC_000913.2
EG12311,b2524,2654557,2654758,EG12311-MONOMER,,EG12311-MONOMER,NC_000913.2
EG10528,b4036,4245993,4247334,EG10528-MONOMER,,CPLX0-7655,NC_000913.2
EG10461,b0473,494343,496218,EG10461-MONOMER,,CPLX0-2641,NC_000913.2
G6333,b0604,637049,637796,G6333-MONOMER,,DSBG-CPLX,NC_000913.2
EG12194,b0999,1061772,1062078,EG12194-MONOMER,,EG12194-MONOMER,NC_000913.2
EG10757,b3363,3489746,3490319,EG10757-MONOMER,,EG10757-MONOMER,NC_000913.2
G6268,b0492,516648,517503,G6268-MONOMER,,G6268-MONOMER,NC_000913.2
EG12143,b2207,2300771,2301035,EG12143-MONOMER,,NAPD-MONOMER,NC_000913.2
EG10674,b1243,1299205,1300837,EG10674-MONOMER,,ABC-22-CPLX,NC_000913.2
EG10243,b0215,236066,236798,EG10243-MONOMER,,CPLX0-3803,NC_000913.2
G7055,b1967,2033858,2034710,G7055-MONOMER,,CPLX0-861,NC_000913.2
EG11358,b3189,3333256,3334516,EG11358-MONOMER,,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,NC_000913.2
G6160,b0289,303718,304429,G6160-MONOMER,,G6160-MONOMER,NC_000913.2
G7322,b2519,2643034,2645347,G7322-MONOMER,,G7322-MONOMER,NC_000913.2
EG12130,b2526,2655106,2656957,EG12130-MONOMER,,EG12130-MONOMER,NC_000913.2
EG10206,b0031,28373,29195,EG10206-MONOMER,,DIHYDROPICRED-CPLX,NC_000913.2
EG10410,b3559,3720350,3722420,EG10410-MONOMER,,GLYS-CPLX,NC_000913.2
G6621,b1192,1241388,1242303,G6621-MONOMER,,G6621-MONOMER,NC_000913.2
EG11067,b4258,4479004,4481860,EG11067-MONOMER,,VALS-MONOMER,NC_000913.2
EG10041,b0110,118732,119284,EG10041-MONOMER,,EG10041-MONOMER,NC_000913.2
EG10390,b0680,705315,706980,EG10390-MONOMER,,GLNS-MONOMER,NC_000913.2
EG10619,b0091,100764,102240,EG10619-MONOMER,,CPLX0-8014,NC_000913.2
EG11001,b1719,1798665,1800594,EG11001-MONOMER,,THRS-CPLX,NC_000913.2
EG11823,b2435,2550373,2551243,EG11823-MONOMER,,NACMURLALAAMI1-MONOMER,NC_000913.2
EG10094,b0930,986807,988208,EG10094-MONOMER,,ASNS-CPLX,NC_000913.2
EG11363,b4169,4394087,4395425,EG11363-MONOMER,,NACMURLALAAMI2-MONOMER,NC_000913.2
EG10709,b1714,1795982,1796966,EG10709-MONOMER,,PHES-CPLX,NC_000913.2
EG11204,b3967,4163450,4164308,EG11204-MONOMER,,GLUTRACE-MONOMER,NC_000913.2
EG10552,b2890,3031678,3033196,EG10552-MONOMER,,LYSS-CPLX,NC_000913.2
EG10213,b0381,399052,400147,EG10213-MONOMER,,DALADALALIGA-MONOMER,NC_000913.2
EG10453,b2514,2637322,2638597,EG10453-MONOMER,,HISS-CPLX,NC_000913.2
G6662,b1326,1387893,1388622,G6662-MONOMER,,CPLX0-7989,NC_000913.2
EG11272,b1715,1797249,1797294,EG11272-MONOMER,,EG11272-MONOMER,NC_000913.2
EG12440,b4233,4453807,4455181,EG12440-MONOMER,,EG12440-MONOMER,NC_000913.2
EG10407,b2400,2517278,2518694,EG10407-MONOMER,,GLURS-MONOMER,NC_000913.2
EG10620,b0088,97086,98403,EG10620-MONOMER,,UDP-NACMURALA-GLU-LIG-MONOMER,NC_000913.2
EG11030,b3384,3510655,3511660,EG11030-MONOMER,,TRPS-CPLX,NC_000913.2
G7668,b3208,3347102,3347831,G7668-MONOMER,,G7668-MONOMER,NC_000913.2
EG10097,b1866,1946773,1948546,EG10097-MONOMER,,ASPS-CPLX,NC_000913.2
EG11205,b3972,4170079,4171108,EG11205-MONOMER,,UDPNACETYLMURAMATEDEHYDROG-MONOMER,NC_000913.2
EG10710,b1713,1793580,1795968,EG10710-MONOMER,,PHES-CPLX,NC_000913.2
EG10214,b0092,102232,103153,EG10214-MONOMER,,DALADALALIGB-CPLX,NC_000913.2
EG10034,b2697,2817402,2820033,EG10034-MONOMER,,CPLX0-7541 // ALAS-CPLX,NC_000913.2
G6968,b1782,1863749,1864496,G6968-MONOMER,,G6968-MONOMER,NC_000913.2
EG10553,b4129,4351222,4352740,EG10553-MONOMER,,LYSU-CPLX,NC_000913.2
EG10202,b3182,3326984,3328418,EG10202-MONOMER,,CPLX0-8545,NC_000913.2
EG10492,b0026,22390,25207,EG10492-MONOMER,,ILES-MONOMER,NC_000913.2
EG10621,b0085,93165,94653,EG10621-MONOMER,,UDP-NACMURALGLDAPLIG-MONOMER,NC_000913.2
EG12454,b0481,505826,506306,EG12454-MONOMER,,EG12454-MONOMER,NC_000913.2
EG10040,b4150,4375833,4376967,EG10040-MONOMER,,EG10040-MONOMER,NC_000913.2
EG10409,b3560,3722429,3723341,EG10409-MONOMER,,GLYS-CPLX,NC_000913.2
EG10606,b0635,665538,667440,EG10606-MONOMER,,EG10606-MONOMER,NC_000913.2
EG11043,b1637,1713971,1715246,EG11043-MONOMER,,TYRS-CPLX,NC_000913.2
EG10580,b2328,2443581,2444406,EG10580-MONOMER,,CPLX0-3201,NC_000913.2
EG10196,b0526,553833,555219,EG10196-MONOMER,,CYSS-MONOMER,NC_000913.2
EG50001,b3186,3331161,3331473,EG50001-MONOMER,,CPLX0-3964,NC_000913.2
EG10947,b0893,938650,939943,EG10947-MONOMER,,SERS-CPLX,NC_000913.2
EG30077,b3854,4035541,4038446,EG30077-rRNA,,CPLX0-3964,NC_000913.2
EG10770,b0194,217056,218775,EG10770-MONOMER,,PROS-CPLX,NC_000913.2
EG11153,b2608,2743391,2743940,EG11153-MONOMER,,EG11153-MONOMER,NC_000913.2
EG10071,b1876,1958085,1959819,EG10071-MONOMER,,ARGS-MONOMER,NC_000913.2
EG10907,b3306,3444174,3444567,EG10907-MONOMER,,CPLX0-3964,NC_000913.2
EG10586,b2114,2192321,2194355,EG10586-MONOMER,,METG-CPLX,NC_000913.2
EG10884,b3309,3445474,3445789,EG10884-MONOMER,,CPLX0-3964,NC_000913.2
EG10532,b0642,671423,674006,EG10532-MONOMER,,LEUS-MONOMER,NC_000913.2
EG10868,b3308,3444920,3445460,EG10868-MONOMER,,CPLX0-3964,NC_000913.2
EG11497,b3259,3407091,3407973,EG11497-MONOMER,,EG11497-MONOMER,NC_000913.2
EG30090,b0201,223770,225312,EG30090-rRNA,,RRSH-RRNA,NC_000913.2
G0-10434,b4506,311597,311738,G0-10434-MONOMER,,MONOMER0-2656,NC_000913.2
EG30074,b4010,4211062,4211182,EG30074-rRNA,,RRFE-RRNA,NC_000913.2
G7525,b2949,3091521,3091938,G7525-MONOMER,,G7525-MONOMER,NC_000913.2
EG10920,b3065,3208802,3209018,EG10920-MONOMER,,CPLX0-3964,NC_000913.2
G6488,b0948,1007066,1009175,G6488-MONOMER,,G6488-MONOMER,NC_000913.2
EG10904,b3303,3442747,3443251,EG10904-MONOMER,,CPLX0-3964,NC_000913.2
EG12207,b1822,1904274,1905084,EG12207-MONOMER,,EG12207-MONOMER,NC_000913.2
EG10881,b1716,1797416,1797773,EG10881-MONOMER,,CPLX0-3964,NC_000913.2
EG11372,b2559,2695375,2695879,EG11372-MONOMER,,CPLX0-901,NC_000913.2
EG10865,b3317,3448564,3449386,EG10865-MONOMER,,CPLX0-3964,NC_000913.2
EG10943,b1764,1844988,1846032,EG10943-MONOMER,,CPLX0-7957,NC_000913.2
EG30087,b3278,3425242,3426784,EG30087-rRNA,,RRSD-RRNA,NC_000913.2
G7422,b2745,2868276,2869326,G7422-MONOMER,,G7422-MONOMER,NC_000913.2
EG30071,b3971,4169659,4169779,EG30071-rRNA,,RRFB-RRNA,NC_000913.2
G6364,b0661,692753,694178,G6364-MONOMER,,G6364-MONOMER,NC_000913.2
EG10917,b4202,4423861,4424089,EG10917-MONOMER,,CPLX0-8208 // CPLX0-3964,NC_000913.2
EG12098,b2594,2733052,2734033,EG12098-MONOMER,,EG12098-MONOMER,NC_000913.2
EG10901,b0169,189873,190599,EG10901-MONOMER,,CPLX0-3964,NC_000913.2
EG11311,b3260,3408301,3409267,EG11311-MONOMER,,EG11311-MONOMER,NC_000913.2
EG10878,b3294,3437637,3438021,EG10878-MONOMER,,CPLX0-3964,NC_000913.2
EG10812,b0405,424234,425305,EG10812-MONOMER,,EG10812-MONOMER,NC_000913.2
EG10437,b4173,4398694,4399975,EG10437-MONOMER,,EG10437-MONOMER,NC_000913.2
G7845,b4180,4407297,4408029,G7845-MONOMER,,CPLX0-1121,NC_000913.2
EG30084,b3851,4033553,4035095,EG30084-rRNA,,CPLX0-3964,NC_000913.2
G7325,b2530,2658338,2659553,G7325-MONOMER,,CPLX0-248,NC_000913.2
EG12794,b3180,3325811,3326105,EG12794-MONOMER,,EG12794-MONOMER,NC_000913.2
G6096,b0188,212330,213629,G6096-MONOMER,,G6096-MONOMER,NC_000913.2
EG10914,b3165,3309436,3309706,EG10914-MONOMER,,CPLX0-3964,NC_000913.2
EG11932,b4049,4259736,4260729,EG11932-MONOMER,,EG11932-MONOMER,NC_000913.2
EG10891,b3636,3809272,3809440,EG10891-MONOMER,,CPLX0-3964,NC_000913.2
EG11247,b2785,2911720,2913022,EG11247-MONOMER,,EG11247-MONOMER,NC_000913.2
EG10875,b3310,3445799,3446171,EG10875-MONOMER,,CPLX0-3964,NC_000913.2
EG10523,b0051,51608,52430,EG10523-MONOMER,,EG10523-MONOMER,NC_000913.2
G7841,b4161,4388479,4389532,G7841-MONOMER,,G7841-MONOMER,NC_000913.2
G7714,b3345,3473353,3473740,G7714-MONOMER,,CPLX-3942,NC_000913.2
EG30081,b4009,4208065,4210969,EG30081-rRNA,,RRLE-RRNA,NC_000913.2
EG12609,b0058,59686,60346,EG12609-MONOMER,,EG12609-MONOMER,NC_000913.2
EG11232,b3299,3440639,3440756,EG11232-MONOMER,,CPLX0-3964,NC_000913.2
EG11794,b2806,2938164,2939265,EG11794-MONOMER,,EG11794-MONOMER,NC_000913.2
EG10911,b3342,3472199,3472574,EG10911-MONOMER,,CPLX0-3964,NC_000913.2
EG11118,b1086,1144162,1145122,EG11118-MONOMER,,EG11118-MONOMER,NC_000913.2
EG10888,b3302,3442564,3442744,EG10888-MONOMER,,CPLX0-3964,NC_000913.2
EG10375,b3741,3921766,3923656,EG10375-MONOMER,,CPLX0-7609,NC_000913.2
EG10872,b3983,4176469,4176898,EG10872-MONOMER,,CPLX0-3964,NC_000913.2
G7698,b3282,3428864,3429437,G7698-MONOMER,,G7698-MONOMER,NC_000913.2
EG50002,b3185,3330883,3331141,EG50002-MONOMER,,CPLX0-3964,NC_000913.2
G7008,b1835,1918246,1919686,G7008-MONOMER,,G7008-MONOMER,NC_000913.2
EG30078,b3970,4166663,4169567,EG30078-rRNA,,RRLB-RRNA,NC_000913.2
EG12366,b2946,3089155,3089887,EG12366-MONOMER,,CPLX0-7727,NC_000913.2
EG11178,b3167,3310798,3311200,EG11178-MONOMER,,EG11178-MONOMER,NC_000913.2
EG11757,b4168,4393607,4394069,EG11757-MONOMER,,CPLX0-8182,NC_000913.2
EG10908,b3230,3375836,3376229,EG10908-MONOMER,,CPLX0-3964,NC_000913.2
EG11022,b3965,4160192,4161293,EG11022-MONOMER,,EG11022-MONOMER,NC_000913.2
EG10885,b2185,2280538,2280823,EG10885-MONOMER,,CPLX0-3964,NC_000913.2
G7456,b2812,2943057,2943864,G7456-MONOMER,,CPLX0-8176,NC_000913.2
EG10869,b3305,3443628,3444162,EG10869-MONOMER,,CPLX0-3964,NC_000913.2
G6732,b1413,1481084,1484987,G6732-MONOMER,,G6732-MONOMER,NC_000913.2
EG30091,b3272,3421444,3421564,EG30091-rRNA,,RRFF-RRNA,NC_000913.2
EG12216,b3470,3606773,3607019,EG12216-MONOMER,,EG12216-MONOMER,NC_000913.2
EG30075,b2588,2724090,2724210,EG30075-rRNA,,RRFG-RRNA,NC_000913.2
EG11503,b0195,218886,219594,EG11503-MONOMER,,EG11503-MONOMER,NC_000913.2
EG10975,b2576,2710917,2712252,EG10975-MONOMER,,EG10975-MONOMER,NC_000913.2
EG10967,b3651,3822537,3823227,EG10967-MONOMER,,EG10967-MONOMER,NC_000913.2
EG10905,b4200,4423140,4423536,EG10905-MONOMER,,CPLX0-8208 // CPLX0-3964,NC_000913.2
G7431,b2765,2890235,2890601,G7431-MONOMER,,CPLX0-8123,NC_000913.2
EG10882,b3315,3447922,3448255,EG10882-MONOMER,,CPLX0-3964,NC_000913.2
G6501,b0967,1028001,1029192,G6501-MONOMER,,CPLX0-7726,NC_000913.2
EG10866,b3320,3450318,3450948,EG10866-MONOMER,,CPLX0-3964,NC_000913.2
G6416,b0807,841554,842481,G6416-MONOMER,,G6416-MONOMER,NC_000913.2
EG30088,b4007,4206169,4207711,EG30088-rRNA,,RRSE-RRNA,NC_000913.2
EG12163,b3289,3433228,3434518,EG12163-MONOMER,,EG12163-MONOMER,NC_000913.2
EG30072,b3759,3944722,3944842,EG30072-rRNA,,RRFC-RRNA,NC_000913.2
EG11344,b1133,1191889,1192996,EG11344-MONOMER,,EG11344-MONOMER,NC_000913.2
EG10918,b3316,3448269,3448548,EG10918-MONOMER,,CPLX0-3964,NC_000913.2
G7950,b4371,4604691,4605723,G7950-MONOMER,,G7950-MONOMER,NC_000913.2
EG10902,b3314,3447203,3447905,EG10902-MONOMER,,CPLX0-3964,NC_000913.2
G7327,b2532,2660604,2661345,G7327-MONOMER,,CPLX0-7420,NC_000913.2
EG10879,b3304,3443265,3443619,EG10879-MONOMER,,CPLX0-3964,NC_000913.2
G6238,b0423,440772,442221,G6238-MONOMER,,THII-MONOMER,NC_000913.2
EG10835,b2784,2909438,2911673,EG10835-MONOMER,,RELA-MONOMER,NC_000913.2
EG12022,b2140,2227459,2228407,EG12022-MONOMER,,EG12022-MONOMER,NC_000913.2
EG30085,b3968,4164681,4166223,EG30085-rRNA,,RRSB-RRNA,NC_000913.2
EG11254,b0636,667470,667938,EG11254-MONOMER,,CPLX0-7423,NC_000913.2
EG30027,b0455,475671,475785,EG30027-ncRNA,,SRP-CPLX,NC_000913.2
EG10595,b4171,4397274,4398225,EG10595-MONOMER,,EG10595-MONOMER,NC_000913.2
EG10915,b2609,2743958,2744207,EG10915-MONOMER,,CPLX0-3964,NC_000913.2
G7750,b4475,3553854,3554871,G7750-MONOMER,,G7750-MONOMER,NC_000913.2
EG10892,b3703,3882358,3882499,EG10892-MONOMER,,CPLX0-3964,NC_000913.2
G7199,b2324,2439785,2441792,G7199-MONOMER,,G7199-MONOMER,NC_000913.2
EG10876,b3301,3442126,3442561,EG10876-MONOMER,,CPLX0-3964,NC_000913.2
EG12876,b0969,1029561,1029891,EG12876-MONOMER,,EG12876-MONOMER,NC_000913.2
EG10210,b1343,1407534,1408908,EG10210-MONOMER,,EG10210-MONOMER,NC_000913.2
EG11888,b3606,3779237,3779711,EG11888-MONOMER,,CPLX0-7421,NC_000913.2
EG30082,b2589,2724302,2727206,EG30082-rRNA,,RRLG-RRNA,NC_000913.2
EG11171,b3064,3207551,3208565,EG11171-MONOMER,,CPLX0-8182,NC_000913.2
EG11508,b1480,1553849,1553987,EG11508-MONOMER,,CPLX0-3964,NC_000913.2
EG10376,b3740,3921079,3921703,EG10376-MONOMER,,EG10376-MONOMER,NC_000913.2
EG10912,b3298,3440136,3440493,EG10912-MONOMER,,CPLX0-3964,NC_000913.2
G7712,b3343,3472699,3472987,G7712-MONOMER,,CPLX-3942,NC_000913.2
EG10889,b3936,4125035,4125248,EG10889-MONOMER,,CPLX0-3964,NC_000913.2
EG12401,b2517,2641150,2642305,EG12401-MONOMER,,EG12401-MONOMER,NC_000913.2
EG10873,b3986,4178582,4178948,EG10873-MONOMER,,MONOMER0-2811,NC_000913.2
EG11768,b0503,529355,530450,EG11768-MONOMER,,EG11768-MONOMER,NC_000913.2
EG50004,b0953,1014937,1015105,EG50004-MONOMER,,EG50004-MONOMER,NC_000913.2
EG11023,b2607,2742593,2743361,EG11023-MONOMER,,CPLX0-3950,NC_000913.2
EG30079,b3758,3941726,3944630,EG30079-rRNA,,RRLC-RRNA,NC_000913.2
EG10136,b3056,3199912,3201151,EG10136-MONOMER,,EG10136-MONOMER,NC_000913.2
EG11179,b3170,3315575,3316028,EG11179-MONOMER,,EG11179-MONOMER,NC_000913.2
G7603,b3084,3232760,3233897,G7603-MONOMER,,G7603-MONOMER,NC_000913.2
EG10909,b3321,3450980,3451292,EG10909-MONOMER,,CPLX0-7879 // CPLX0-3964,NC_000913.2
G6746,b1435,1504804,1506766,G6746-MONOMER,,G6746-MONOMER,NC_000913.2
EG10886,b3637,3809460,3809697,EG10886-MONOMER,,CPLX0-3964,NC_000913.2
EG12233,b3497,3640402,3641155,EG12233-MONOMER,,EG12233-MONOMER,NC_000913.2
EG10870,b4203,4424130,4424580,EG10870-MONOMER,,CPLX0-3964,NC_000913.2
EG11507,b3179,3325056,3325686,EG11507-MONOMER,,EG11507-MONOMER,NC_000913.2
EG30100,b2621,2753614,2753977,EG30100-tmRNA,,SSRA-RNA,NC_000913.2
EG10996,b0406,425360,426488,EG10996-MONOMER,,CPLX0-1101,NC_000913.2
EG30076,b0205,228755,228875,EG30076-rRNA,,RRFH-RRNA,NC_000913.2
G7449,b2791,2921023,2921806,G7449-MONOMER,,G7449-MONOMER,NC_000913.2
EG11151,b2597,2735175,2735517,EG11151-MONOMER,,EG11151-MONOMER,NC_000913.2
G6581,b1135,1193520,1194174,G6581-MONOMER,,G6581-MONOMER,NC_000913.2
EG10906,b3341,3471563,3472103,EG10906-MONOMER,,CPLX0-3964,NC_000913.2
G6449,b0859,897740,898868,G6449-MONOMER,,G6449-MONOMER,NC_000913.2
EG10883,b3318,3449403,3449706,EG10883-MONOMER,,CPLX0-3964,NC_000913.2
EG11362,b0144,159185,160112,EG11362-MONOMER,,EG11362-MONOMER,NC_000913.2
EG10867,b3319,3449702,3450308,EG10867-MONOMER,,CPLX0-3964,NC_000913.2
G7349,b2583,2717244,2717943,G7349-MONOMER,,G7349-MONOMER,NC_000913.2
EG30089,b2591,2727637,2729179,EG30089-rRNA,,RRSG-RRNA,NC_000913.2
G6245,b0444,464075,464771,G6245-MONOMER,,G6245-MONOMER,NC_000913.2
EG30073,b3274,3421689,3421809,EG30073-rRNA,,RRFD-RRNA,NC_000913.2
EG12044,b2183,2277809,2278505,EG12044-MONOMER,,EG12044-MONOMER,NC_000913.2
EG10919,b0023,20814,21078,EG10919-MONOMER,,CPLX0-3964,NC_000913.2
EG10690,b0143,157728,159126,EG10690-MONOMER,,EG10690-MONOMER,NC_000913.2
EG10903,b3296,3439076,3439697,EG10903-MONOMER,,CPLX0-3964,NC_000913.2
G7843,b4166,4390950,4392090,G7843-MONOMER,,G7843-MONOMER,NC_000913.2
EG10880,b2606,2742204,2742552,EG10880-MONOMER,,CPLX0-3964,NC_000913.2
G7297,b2474,2591865,2593881,G7297-MONOMER,,G7297-MONOMER,NC_000913.2
EG10864,b3984,4176901,4177606,EG10864-MONOMER,,CPLX0-3964,NC_000913.2
EG11921,b4022,4228376,4229249,EG11921-MONOMER,,EG11921-MONOMER,NC_000913.2
EG30086,b3756,3939830,3941372,EG30086-rRNA,,RRSC-RRNA,NC_000913.2
EG11177,b3166,3309854,3310799,EG11177-MONOMER,,EG11177-MONOMER,NC_000913.2
EG30070,b3855,4038539,4038659,EG30070-rRNA,,CPLX0-3964,NC_000913.2
EG10454,b2318,2432845,2433658,EG10454-MONOMER,,CPLX0-7728,NC_000913.2
EG10916,b3311,3446335,3446590,EG10916-MONOMER,,CPLX0-3964,NC_000913.2
G7713,b3344,3472994,3473354,G7713-MONOMER,,CPLX-3942,NC_000913.2
EG10900,b0911,961217,962891,EG10900-MONOMER,,CPLX0-3964,NC_000913.2
EG12433,b1269,1324875,1325751,EG12433-MONOMER,,EG12433-MONOMER,NC_000913.2
EG10877,b3313,3446780,3447191,EG10877-MONOMER,,CPLX0-3964,NC_000913.2
EG11779,b2960,3100154,3100874,EG11779-MONOMER,,EG11779-MONOMER,NC_000913.2
EG10215,b3162,3303992,3305882,EG10215-MONOMER,,CPLX0-8557,NC_000913.2
EG11085,b0082,90093,91035,EG11085-MONOMER,,CPLX0-7977,NC_000913.2
EG30083,b0204,225758,228662,EG30083-rRNA,,RRLH-RRNA,NC_000913.2
EG10343,b3465,3602415,3603012,EG10343-MONOMER,,EG10343-MONOMER,NC_000913.2
EG12443,b2959,3099828,3100155,EG12443-MONOMER,,EG12443-MONOMER,NC_000913.2
G7641,b3146,3290496,3291357,G7641-MONOMER,,CPLX0-8231,NC_000913.2
EG10913,b3307,3444600,3444906,EG10913-MONOMER,,CPLX0-3964,NC_000913.2
G6991,b1807,1888595,1889291,G6991-MONOMER,,CPLX0-8182,NC_000913.2
EG10890,b1089,1146589,1146763,EG10890-MONOMER,,CPLX0-3964,NC_000913.2
EG11538,b2575,2710048,2710786,EG11538-MONOMER,,EG11538-MONOMER,NC_000913.2
EG10874,b3231,3376244,3376673,EG10874-MONOMER,,CPLX0-3964,NC_000913.2
G7452,b2794,2923369,2924218,G7452-MONOMER,,CPLX0-3501,NC_000913.2
G7319,b2511,2633905,2635378,G7319-MONOMER,,G7319-MONOMER,NC_000913.2
G6675,b1344,1409036,1409972,G6675-MONOMER,,CPLX0-8124,NC_000913.2
EG30080,b3275,3421901,3424805,EG30080-rRNA,,RRLD-RRNA,NC_000913.2
G0-8885,b4437,2151667,2151803,G0-8885-ncRNA,,RYED-RNA,NC_000913.2
EG11231,b1717,1797825,1798023,EG11231-MONOMER,,CPLX0-3964,NC_000913.2
G0-8878,b4438,2165137,2165224,G0-8878-ncRNA,,RYEE-RNA,NC_000913.2
EG10910,b3297,3439730,3440120,EG10910-MONOMER,,CPLX0-3964,NC_000913.2
G0-8863,b4431,1768395,1768501,G0-8863-ncRNA,,RPRA-RNA,NC_000913.2
EG10887,b3312,3446589,3446781,EG10887-MONOMER,,CPLX0-3964,NC_000913.2
G0-8913,b4447,3192744,3192887,G0-8913-ncRNA,,C0730-RNA,NC_000913.2
EG10871,b3985,4178018,4178516,EG10871-MONOMER,,CPLX0-3964,NC_000913.2
G0-10610,b4625,4577857,4577934,G0-10610-ncRNA,,RNA0-334,NC_000913.2
EG12210,b3620,3792951,3793998,EG12210-MONOMER,,EG12210-MONOMER,NC_000913.2
G0-8886,b4446,3054870,3055010,G0-8886-ncRNA,,RYGC-RNA,NC_000913.2
EG11451,b3786,3968155,3969286,EG11451-MONOMER,,CPLX0-8008,NC_000913.2
G0-8872,b4451,3578949,3579039,G0-8872-ncRNA,,SRAI-RNA,NC_000913.2
EG11189,b3621,3794001,3794961,EG11189-MONOMER,,EG11189-MONOMER,NC_000913.2
G0-8866,b4442,2812823,2812901,G0-8866-ncRNA,,SRAD-RNA,NC_000913.2
EG11979,b2038,2107604,2108162,EG11979-MONOMER,,DTDPDEHYDRHAMEPIM-MONOMER,NC_000913.2
G0-8914,b4452,3662886,3662991,G0-8914-ncRNA,,IS183-RNA,NC_000913.2
EG10820,b1951,2021991,2022615,EG10820-MONOMER,,PC00084,NC_000913.2
G0-10671,b4698,1620840,1620938,G0-10671-ncRNA,,RNA0-348,NC_000913.2
EG11361,b2064,2137782,2139636,EG11361-MONOMER,,EG11361-MONOMER,NC_000913.2
G0-8899,b4426,1403679,1403775,G0-8899-ncRNA,,CPLX0-8028,NC_000913.2
EG10545,b0181,202559,203348,EG10545-MONOMER,,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,NC_000913.2
G0-10598,b4608,2698541,2698618,G0-10598-ncRNA,,RNA0-330,NC_000913.2
EG11458,b3794,3977978,3978719,EG11458-MONOMER,,UDPMANACATRANS-MONOMER,NC_000913.2
G0-8884,b4436,2151332,2151475,G0-8884-ncRNA,,RYEC-RNA,NC_000913.2
EG11351,b3628,3801080,3802160,EG11351-MONOMER,,EG11351-MONOMER,NC_000913.2
EG30098,b3864,4047921,4048030,EG30098-ncRNA,,SPF-RNA,NC_000913.2
EG10382,b3729,3909861,3911691,EG10382-MONOMER,,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,NC_000913.2
G0-8873,b4456,3984454,3984661,G0-8873-ncRNA,,SRAJ-RNA,NC_000913.2
EG12666,b0524,552440,553163,EG12666-MONOMER,,EG12666-MONOMER,NC_000913.2
G0-9042,b4454,3698158,3698224,G0-9042-ncRNA,,RDLD-RNA,NC_000913.2
EG11455,b3790,3972489,3973164,EG11455-MONOMER,,TDPFUCACTRANS-MONOMER,NC_000913.2
G0-10677,b4699,1407152,1407274,G0-10677-ncRNA,,RNA0-349,NC_000913.2
EG11340,b3630,3803175,3803973,EG11340-MONOMER,,EG11340-MONOMER,NC_000913.2
G0-8901,b4427,1435144,1435253,G0-8901-ncRNA,,TKE8-RNA,NC_000913.2
EG10265,b0096,106556,107474,EG10265-MONOMER,,UDPACYLGLCNACDEACETYL-MONOMER,NC_000913.2
G0-10602,b4611,3193120,3193262,G0-10602-ncRNA,,RNA0-332,NC_000913.2
EG12274,b3561,3723909,3724905,EG12274-MONOMER,,EG12274-MONOMER,NC_000913.2
G7842,b4162,4389626,4390172,G7842-MONOMER,,CPLX0-1821,NC_000913.2
EG11452,b3787,3969282,3970545,EG11452-MONOMER,,CPLX0-8013,NC_000913.2
