Transcription-Units,Genes of transcription unit,Direction
TU220H-919,SGL_RS07885,+
TU220H-368,SGL_RS03950 // SGL_RS03945,+
TU220H-865,SGL_RS07440,+
TU220H-1050,SGL_RS08910,-
TU220H-2548,SGL_RS19085,+
TU220H-1167,SGL_RS09780,-
TU220H-1359,SGL_RS11130,+
TU220H-167,SGL_RS02440,+
TU220H-750,SGL_RS19195,-
TU220H-2193,SGL_RS17410,-
TU220H-2043,SGL_RS16245,-
TU220H-2923,SGL_RS02385,+
TU220H-537,SGL_RS05105,-
TU220H-1314,SGL_RS10830,-
TU220H-1643,SGL_RS13265,+
TU220H-2385,SGL_RS18510,-
TU220H-1681,SGL_RS13525,+
TU220H-416,SGL_RS04260,+
TU220H-473,SGL_RS04695,-
TU220H-114,SGL_RS02025,+
TU220H-2234,SGL_RS17715,+
TU220H-1933,SGL_RS15495,+
TU220H-2516,SGL_RS17380,-
TU220H-316,SGL_RS19420,-
TU220H-2434,SGL_RS01605 // SGL_RS01600 // SGL_RS01595 // SGL_RS01590 // SGL_RS01585 // SGL_RS01580,+
TU220H-1852,SGL_RS14880,-
TU220H-1522,SGL_RS12365 // SGL_RS12360,-
TU220H-2153,SGL_RS17120,-
TU220H-2357,SGL_RS00285,-
TU220H-223,SGL_RS02885 // SGL_RS02880,-
TU220H-662,SGL_RS06030,+
TU220H-1654,SGL_RS13360 // SGL_RS13355 // SGL_RS13350,-
TU220H-2639,SGL_RS13270,-
TU220H-1798,SGL_RS14480,-
TU220H-1985,SGL_RS15825,+
TU220H-2746,SGL_RS09775,+
TU220H-2015,SGL_RS16000,+
TU220H-2629,SGL_RS13450,-
TU220H-2898,SGL_RS03225,+
TU220H-787,SGL_RS06805,+
TU220H-957,SGL_RS08150,+
TU220H-70,SGL_RS01270,+
TU220H-274,SGL_RS03235,+
TU220H-1551,SGL_RS12610,-
TU220H-2333,SGL_RS00045,+
TU220H-810,SGL_RS18760,+
TU220H-1001,SGL_RS08520,-
TU220H-1220,SGL_RS10150,-
TU220H-608,SGL_RS05615 // SGL_RS05610,-
TU220H-2874,SGL_RS04385,-
TU220H-1049,SGL_RS08900,-
TU220H-2093,SGL_RS16595,-
TU220H-2636,SGL_RS19000,+
TU220H-386,SGL_RS19425,+
TU220H-2854,SGL_RS05620,+
TU220H-2597,SGL_RS14280,+
TU220H-1166,SGL_RS19205,-
TU220H-2584,SGL_RS14950,+
TU220H-904,SGL_RS07755,-
TU220H-735,SGL_RS06480,+
TU220H-2042,SGL_RS19355,-
TU220H-2844,SGL_RS06340,+
TU220H-522,SGL_RS05005 // SGL_RS05000,+
TU220H-186,SGL_RS02600,+
TU220H-2556,SGL_RS15845,-
TU220H-2668,SGL_RS12375,-
TU220H-360,SGL_RS03865,+
TU220H-2073,SGL_RS16485,-
TU220H-1870,SGL_RS19050,+
TU220H-158,SGL_RS02355,+
TU220H-1956,SGL_RS15635,-
TU220H-472,SGL_RS04690,-
TU220H-2705,SGL_RS11205,+
TU220H-2798,SGL_RS07745,+
TU220H-2429,SGL_RS18595,+
TU220H-1350,SGL_RS11080,-
TU220H-1345,SGL_RS11055,-
TU220H-2188,SGL_RS17365,+
TU220H-1605,SGL_RS12995 // SGL_RS12990,-
TU220H-661,SGL_RS06025,+
TU220H-1425,SGL_RS11640,+
TU220H-2595,SGL_RS14325,-
TU220H-2113,SGL_RS16735,+
TU220H-2142,SGL_RS17015 // SGL_RS17010,+
TU220H-1275,SGL_RS10530,-
TU220H-2818,SGL_RS07285,+
TU220H-1389,SGL_RS11360,+
TU220H-1494,SGL_RS12165,-
TU220H-2078,SGL_RS16510,+
TU220H-2647,SGL_RS13085,+
TU220H-571,SGL_RS05335,-
TU220H-1443,SGL_RS11800,-
TU220H-69,SGL_RS01265 // SGL_RS01260,-
TU220H-1629,SGL_RS13155,-
TU220H-273,SGL_RS03215 // SGL_RS03210,+
TU220H-1932,SGL_RS15490 // SGL_RS15485 // SGL_RS15480,-
TU220H-2618,SGL_RS13695,+
TU220H-1521,SGL_RS12355,-
TU220H-559,SGL_RS05265,+
TU220H-1219,SGL_RS10145,-
TU220H-864,SGL_RS07435 // SGL_RS07430 // SGL_RS07425 // SGL_RS07420,+
TU220H-2493,SGL_RS18285,+
TU220H-2116,SGL_RS16775 // SGL_RS16770,-
TU220H-948,SGL_RS08100,-
TU220H-1048,SGL_RS08895,-
TU220H-2917,SGL_RS02530,-
TU220H-1165,SGL_RS18870,-
TU220H-1092,SGL_RS09170,+
TU220H-2463,SGL_RS01825,+
TU220H-197,SGL_RS02705,-
TU220H-2681,SGL_RS11945,+
TU220H-2041,SGL_RS16240,-
TU220H-1948,SGL_RS15590,-
TU220H-1820,SGL_RS14655 // SGL_RS14650 // SGL_RS14645,-
TU220H-777,SGL_RS06735,+
TU220H-143,SGL_RS02260,-
TU220H-1313,SGL_RS10825,-
TU220H-720,SGL_RS18735,-
TU220H-2445,SGL_RS01680,+
TU220H-510,SGL_RS04930 // SGL_RS04925,+
TU220H-2774,SGL_RS08425,+
TU220H-345,SGL_RS03765,-
TU220H-471,SGL_RS04685,-
TU220H-2418,SGL_RS01480,+
TU220H-1949,SGL_RS15595,+
TU220H-2117,SGL_RS16785 // SGL_RS16780,+
TU220H-2123,SGL_RS16825,+
TU220H-403,SGL_RS04185 // SGL_RS04180,-
TU220H-2271,SGL_RS17950,-
TU220H-2948,SGL_RS00860,+
TU220H-222,SGL_RS02875 // SGL_RS02870,-
TU220H-660,SGL_RS06020,+
TU220H-1400,SGL_RS11430,+
TU220H-2564,SGL_RS15335,-
TU220H-1411,SGL_RS11515 // SGL_RS11510,+
TU220H-1274,SGL_RS10525,-
TU220H-1754,SGL_RS14115,-
TU220H-973,SGL_RS08275,-
TU220H-1374,SGL_RS11255,+
TU220H-2883,SGL_RS04040,-
TU220H-2014,SGL_RS19490,+
TU220H-394,SGL_RS04115,+
TU220H-1111,SGL_RS09305,+
TU220H-68,SGL_RS01245,+
TU220H-1550,SGL_RS12605 // SGL_RS12600,-
TU220H-809,SGL_RS07010,+
TU220H-2895,SGL_RS03315,-
TU220H-758,SGL_RS06620,-
TU220H-1000,SGL_RS08515 // SGL_RS08510 // SGL_RS08505,-
TU220H-933,SGL_RS07980,-
TU220H-2349,SGL_RS00195,-
TU220H-1327,SGL_RS10935,-
TU220H-1218,SGL_RS10130,+
TU220H-607,SGL_RS05605,-
TU220H-863,SGL_RS07415 // SGL_RS07410,+
TU220H-1441,SGL_RS11790,-
TU220H-1047,SGL_RS08890,-
TU220H-1164,SGL_RS09760 // SGL_RS09755 // SGL_RS09750 // SGL_RS09745,-
TU220H-2797,SGL_RS19450,+
TU220H-550,SGL_RS05210,-
TU220H-2424,SGL_RS01505,+
TU220H-2392,SGL_RS00525,+
TU220H-2240,SGL_RS17765,-
TU220H-1470,SGL_RS12000,-
TU220H-128,SGL_RS02120,+
TU220H-2693,SGL_RS11615,+
TU220H-1815,SGL_RS14625,-
TU220H-706,SGL_RS06300,-
TU220H-1955,SGL_RS15630,+
TU220H-470,SGL_RS04680,-
TU220H-2610,SGL_RS13910,+
TU220H-330,SGL_RS03630,+
TU220H-2538,SGL_RS16690,+
TU220H-2040,SGL_RS16235,-
TU220H-1757,SGL_RS14140,-
TU220H-1456,SGL_RS11895,+
TU220H-1117,SGL_RS09340,+
TU220H-2118,SGL_RS16790,-
TU220H-2289,SGL_RS18095 // SGL_RS18090,+
TU220H-2915,SGL_RS18650,-
TU220H-1856,SGL_RS14910,+
TU220H-2527,SGL_RS17090,+
TU220H-2951,SGL_RS00770,+
TU220H-2944,SGL_RS01040,+
TU220H-659,SGL_RS06015,+
TU220H-1622,SGL_RS13110,-
TU220H-978,SGL_RS08340,-
TU220H-1273,SGL_RS10520,-
TU220H-2229,SGL_RS17660 // SGL_RS19135,+
TU220H-1731,SGL_RS13920,+
TU220H-768,SGL_RS06680,+
TU220H-2292,SGL_RS18110,-
TU220H-2284,SGL_RS18045,+
TU220H-2202,SGL_RS17475,-
TU220H-2084,SGL_RS16545,-
TU220H-2075,SGL_RS16495,-
TU220H-2329,SGL_RS18450,-
TU220H-2637,SGL_RS18995,-
TU220H-67,SGL_RS01240,+
TU220H-272,SGL_RS18405,-
TU220H-2144,SGL_RS17040 // SGL_RS17035,-
TU220H-2141,SGL_RS17005,+
TU220H-1520,SGL_RS12350,+
TU220H-1217,SGL_RS10125,+
TU220H-918,SGL_RS07880,+
TU220H-367,SGL_RS03940,+
TU220H-862,SGL_RS07405 // SGL_RS07400,-
TU220H-1046,SGL_RS08885,+
TU220H-536,SGL_RS05100,-
TU220H-1578,SGL_RS12790,+
TU220H-1163,SGL_RS09740,-
TU220H-1358,SGL_RS11125,+
TU220H-166,SGL_RS02435,+
TU220H-749,SGL_RS06575,-
TU220H-2616,SGL_RS13770,+
TU220H-2403,SGL_RS01365,+
TU220H-1312,SGL_RS10815 // SGL_RS10810,-
TU220H-1618,SGL_RS13080 // SGL_RS13075,-
TU220H-1984,SGL_RS15810,+
TU220H-415,SGL_RS04255 // SGL_RS04250,+
TU220H-1666,SGL_RS13430,+
TU220H-469,SGL_RS04665,+
TU220H-113,SGL_RS02020,+
TU220H-2515,SGL_RS17385,+
TU220H-1626,SGL_RS13140,-
TU220H-1931,SGL_RS15475,+
TU220H-2478,SGL_RS00515,+
TU220H-315,SGL_RS03505,-
TU220H-2935,SGL_RS01915,+
TU220H-1577,SGL_RS12785,-
TU220H-1851,SGL_RS14875,+
TU220H-221,SGL_RS02865,-
TU220H-658,SGL_RS06010,+
TU220H-1272,SGL_RS10515,+
TU220H-1448,SGL_RS11825,-
TU220H-1983,SGL_RS15805,+
TU220H-2720,SGL_RS10555,+
TU220H-786,SGL_RS06800,+
TU220H-1954,SGL_RS15625 // SGL_RS15620,+
TU220H-956,SGL_RS08145 // SGL_RS08140,+
TU220H-66,SGL_RS01235,+
TU220H-1549,SGL_RS12595,+
TU220H-808,SGL_RS18755,-
TU220H-578,SGL_RS05420,+
TU220H-999,SGL_RS08500,-
TU220H-606,SGL_RS05600,+
TU220H-1216,SGL_RS10115,+
TU220H-1099,SGL_RS09215 // SGL_RS09210,+
TU220H-2873,SGL_RS04415,+
TU220H-584,SGL_RS05450,+
TU220H-1045,SGL_RS08880,+
TU220H-861,SGL_RS07395 // SGL_RS07390 // SGL_RS07385 // SGL_RS07380,-
TU220H-1739,SGL_RS13960,+
TU220H-2939,SGL_RS19395,+
TU220H-2038,SGL_RS16225,+
TU220H-1646,SGL_RS13300,-
TU220H-1162,SGL_RS09735 // SGL_RS09730,-
TU220H-204,SGL_RS02745,-
TU220H-903,SGL_RS07750,-
TU220H-734,SGL_RS06475,+
TU220H-521,SGL_RS04995,+
TU220H-2793,SGL_RS07815,+
TU220H-1085,SGL_RS09115,+
TU220H-2882,SGL_RS04045,+
TU220H-359,SGL_RS03855 // SGL_RS03850,+
TU220H-1130,SGL_RS18850,+
TU220H-2013,SGL_RS15995,+
TU220H-1455,SGL_RS11890,-
TU220H-157,SGL_RS02350,+
TU220H-2545,SGL_RS16455,+
TU220H-468,SGL_RS04660,+
TU220H-2340,SGL_RS00125,-
TU220H-2492,SGL_RS18290,-
TU220H-2092,SGL_RS16590,-
TU220H-1756,SGL_RS14130 // SGL_RS14125,+
TU220H-1705,SGL_RS13725,-
TU220H-657,SGL_RS06005,+
TU220H-1603,SGL_RS12955,+
TU220H-2253,SGL_RS17830,+
TU220H-2801,SGL_RS07680,+
TU220H-2462,SGL_RS01815 // SGL_RS19160 // SGL_RS18620,+
TU220H-2929,SGL_RS02160,+
TU220H-1832,SGL_RS14740,-
TU220H-1271,SGL_RS10510,+
TU220H-1388,SGL_RS11355,+
TU220H-1717,SGL_RS13815,+
TU220H-65,SGL_RS01230,-
TU220H-271,SGL_RS18660,-
TU220H-2605,SGL_RS13990,-
TU220H-2061,SGL_RS16355,-
TU220H-1738,SGL_RS13955,+
TU220H-1560,SGL_RS12665 // SGL_RS12660,-
TU220H-378,SGL_RS04005,+
TU220H-1519,SGL_RS12345,+
TU220H-2863,SGL_RS04965,+
TU220H-558,SGL_RS05260,+
TU220H-1506,SGL_RS18950,-
TU220H-2751,SGL_RS09655,-
TU220H-1044,SGL_RS08875 // SGL_RS08870 // SGL_RS08865,+
TU220H-860,SGL_RS07375,-
TU220H-2115,SGL_RS16760 // SGL_RS16755,-
TU220H-947,SGL_RS08095,+
TU220H-2036,SGL_RS16215,+
TU220H-178,SGL_RS02515 // SGL_RS02510,+
TU220H-1161,SGL_RS09725,-
TU220H-1662,SGL_RS13405,+
TU220H-2680,SGL_RS11950,-
TU220H-2540,SGL_RS16630,-
TU220H-1782,SGL_RS14350 // SGL_RS14345,+
TU220H-2811,SGL_RS19445,-
TU220H-142,SGL_RS02255,-
TU220H-1311,SGL_RS10805 // SGL_RS10800,-
TU220H-719,SGL_RS06400 // SGL_RS06395,-
TU220H-344,SGL_RS03760 // SGL_RS03755,-
TU220H-1418,SGL_RS11575,+
TU220H-467,SGL_RS04655,+
TU220H-1953,SGL_RS19485,+
TU220H-2037,SGL_RS16220,+
TU220H-1930,SGL_RS15470,+
TU220H-2444,SGL_RS01675,+
TU220H-402,SGL_RS04175,+
TU220H-2553,SGL_RS16010,-
TU220H-1576,SGL_RS12775 // SGL_RS12770 // SGL_RS12765,-
TU220H-2806,SGL_RS07595,-
TU220H-220,SGL_RS02860,+
TU220H-2298,SGL_RS18155 // SGL_RS18150,+
TU220H-656,SGL_RS06000,+
TU220H-983,SGL_RS18790,-
TU220H-1805,SGL_RS14525,-
TU220H-2310,SGL_RS18230,+
TU220H-1410,SGL_RS11505,-
TU220H-1829,SGL_RS14700,+
TU220H-1270,SGL_RS10505,+
TU220H-2225,SGL_RS17635,+
TU220H-775,SGL_RS06725,+
TU220H-1679,SGL_RS13515,-
TU220H-1373,SGL_RS11250 // SGL_RS11245 // SGL_RS11240,+
TU220H-2012,SGL_RS15990,+
TU220H-2299,SGL_RS18160,+
TU220H-64,SGL_RS01225,-
TU220H-270,SGL_RS03195,-
TU220H-594,SGL_RS05525 // SGL_RS05520,+
TU220H-2066,SGL_RS16400,-
TU220H-807,SGL_RS06995,-
TU220H-757,SGL_RS06615,-
TU220H-998,SGL_RS08495,+
TU220H-932,SGL_RS07975,-
TU220H-2348,SGL_RS00190,-
TU220H-1326,SGL_RS10930,-
TU220H-1137,SGL_RS18855 // SGL_RS09465,-
TU220H-1215,SGL_RS10110,+
TU220H-605,SGL_RS05595,+
TU220H-1433,SGL_RS11725 // SGL_RS11720 // SGL_RS11715,+
TU220H-1160,SGL_RS09720 // SGL_RS09715,+
TU220H-2410,SGL_RS01410,+
TU220H-2843,SGL_RS06345,-
TU220H-1847,SGL_RS14850 // SGL_RS14845,+
TU220H-549,SGL_RS05205,-
TU220H-2757,SGL_RS09230,+
TU220H-1865,SGL_RS14975,-
TU220H-127,SGL_RS02115,+
TU220H-1469,SGL_RS11995,-
TU220H-705,SGL_RS06295,-
TU220H-466,SGL_RS04650,+
TU220H-2704,SGL_RS11210,-
TU220H-329,SGL_RS03625 // SGL_RS03620,+
TU220H-2104,SGL_RS16675,+
TU220H-1548,SGL_RS12590,+
TU220H-2278,SGL_RS18015,+
TU220H-1898,SGL_RS15225,+
TU220H-1875,SGL_RS15055,+
TU220H-1858,SGL_RS14920,-
TU220H-655,SGL_RS05995,+
TU220H-968,SGL_RS08250 // SGL_RS08245,-
TU220H-2460,SGL_RS19330 // SGL_RS18615 // SGL_RS01785,+
TU220H-2501,SGL_RS17905,-
TU220H-1269,SGL_RS10500 // SGL_RS18890,+
TU220H-2778,SGL_RS08285,+
TU220H-1699,SGL_RS13685,-
TU220H-2201,SGL_RS17470,-
TU220H-1340,SGL_RS11020,-
TU220H-1625,SGL_RS13135,-
TU220H-63,SGL_RS01220,-
TU220H-588,SGL_RS05490 // SGL_RS05485,-
TU220H-269,SGL_RS03190 // SGL_RS03185 // SGL_RS03180,-
TU220H-1518,SGL_RS12335,+
TU220H-1106,SGL_RS09265,-
TU220H-1214,SGL_RS10105,-
TU220H-859,SGL_RS07370 // SGL_RS07365,+
TU220H-917,SGL_RS07875,+
TU220H-366,SGL_RS03935 // SGL_RS03930,-
TU220H-1043,SGL_RS08860,-
TU220H-535,SGL_RS05095,-
TU220H-1357,SGL_RS11120,+
TU220H-1159,SGL_RS09710 // SGL_RS09705,+
TU220H-1674,SGL_RS13490,-
TU220H-165,SGL_RS02430,-
TU220H-748,SGL_RS06555,-
TU220H-1430,SGL_RS11690 // SGL_RS11685 // SGL_RS11680,-
TU220H-2402,SGL_RS00600,+
TU220H-1310,SGL_RS10795 // SGL_RS10790,-
TU220H-2922,SGL_RS02405,+
TU220H-1878,SGL_RS15075 // SGL_RS15070,+
TU220H-2384,SGL_RS00455 // SGL_RS00450,-
TU220H-1502,SGL_RS12225,+
TU220H-1982,SGL_RS15800,+
TU220H-414,SGL_RS04245,+
TU220H-465,SGL_RS04645,+
TU220H-2035,SGL_RS16210 // SGL_RS16205,+
TU220H-1466,SGL_RS11980,+
TU220H-112,SGL_RS02015,+
TU220H-2910,SGL_RS02665,+
TU220H-2514,SGL_RS17390,-
TU220H-2233,SGL_RS17710 // SGL_RS17705,-
TU220H-1929,SGL_RS19275,+
TU220H-1907,SGL_RS15305,+
TU220H-314,SGL_RS03490,+
TU220H-2432,SGL_RS01570 // SGL_RS01565,+
TU220H-2356,SGL_RS00280 // SGL_RS00275 // SGL_RS00270,-
TU220H-2829,SGL_RS06880,+
TU220H-2270,SGL_RS17945,-
TU220H-219,SGL_RS02855,+
TU220H-654,SGL_RS05985 // SGL_RS05980 // SGL_RS05975,+
TU220H-2786,SGL_RS08075,-
TU220H-2130,SGL_RS16925 // SGL_RS16920,+
TU220H-1831,SGL_RS14735 // SGL_RS14730,-
TU220H-1746,SGL_RS14035 // SGL_RS14030,+
TU220H-1268,SGL_RS10495 // SGL_RS10490,+
TU220H-2366,SGL_RS00335,+
TU220H-2543,SGL_RS16465,+
TU220H-1759,SGL_RS14155,-
TU220H-1952,SGL_RS15610,+
TU220H-62,SGL_RS01215,-
TU220H-955,SGL_RS08135,+
TU220H-268,SGL_RS03175,+
TU220H-1547,SGL_RS12585,+
TU220H-1708,SGL_RS13740,+
TU220H-806,SGL_RS06990,-
TU220H-385,SGL_RS04075,-
TU220H-997,SGL_RS08490 // SGL_RS08485,+
TU220H-2872,SGL_RS04420,-
TU220H-858,SGL_RS07360,+
TU220H-2603,SGL_RS14045,+
TU220H-2656,SGL_RS12685,-
TU220H-604,SGL_RS05590,-
TU220H-1213,SGL_RS19225 // SGL_RS19220,-
TU220H-1602,SGL_RS12950 // SGL_RS12945 // SGL_RS12940,+
TU220H-1650,SGL_RS13330,+
TU220H-2101,SGL_RS16660,+
TU220H-2633,SGL_RS13325,-
TU220H-2590,SGL_RS14605,+
TU220H-185,SGL_RS02595 // SGL_RS02590,+
TU220H-1158,SGL_RS09700,-
TU220H-1484,SGL_RS12095,+
TU220H-902,SGL_RS07740,-
TU220H-733,SGL_RS06470,+
TU220H-520,SGL_RS04990,+
TU220H-2881,SGL_RS04060,+
TU220H-2011,SGL_RS15985,+
TU220H-2667,SGL_RS18970,+
TU220H-2614,SGL_RS13780,+
TU220H-2735,SGL_RS10160,-
TU220H-358,SGL_RS03845,+
TU220H-156,SGL_RS02345,+
TU220H-2198,SGL_RS17450 // SGL_RS17445,+
TU220H-464,SGL_RS04640,+
TU220H-2034,SGL_RS18430,+
TU220H-2807,SGL_RS07590,+
TU220H-2497,SGL_RS19150,+
TU220H-2534,SGL_RS16855,+
TU220H-1807,SGL_RS14540 // SGL_RS14535,-
TU220H-1848,SGL_RS14855,+
TU220H-1917,SGL_RS15400,-
TU220H-2474,SGL_RS01415,-
TU220H-191,SGL_RS02630,-
TU220H-1800,SGL_RS14490,-
TU220H-2336,SGL_RS00070 // SGL_RS00065,-
TU220H-2163,SGL_RS18440,-
TU220H-653,SGL_RS05970,+
TU220H-2376,SGL_RS00390,-
TU220H-2317,SGL_RS18300,+
TU220H-2461,SGL_RS01800 // SGL_RS01795,-
TU220H-1267,SGL_RS10485,-
TU220H-2817,SGL_RS18770,+
TU220H-1387,SGL_RS11345,+
TU220H-570,SGL_RS05330,-
TU220H-1125,SGL_RS09395,+
TU220H-2077,SGL_RS16505,+
TU220H-1794,SGL_RS14450,-
TU220H-2062,SGL_RS16360,-
TU220H-61,SGL_RS01205 // SGL_RS01200 // SGL_RS01195 // SGL_RS01190,+
TU220H-267,SGL_RS03170,+
TU220H-2892,SGL_RS03500,+
TU220H-1462,SGL_RS11940,-
TU220H-2302,SGL_RS18185,-
TU220H-1516,SGL_RS12330,-
TU220H-2862,SGL_RS05130,-
TU220H-557,SGL_RS05255,+
TU220H-1212,SGL_RS10090,-
TU220H-2114,SGL_RS16740,+
TU220H-857,SGL_RS07355,+
TU220H-1042,SGL_RS08855,-
TU220H-946,SGL_RS08090,+
TU220H-2852,SGL_RS05685,+
TU220H-2563,SGL_RS15390,-
TU220H-1157,SGL_RS09695,-
TU220H-1091,SGL_RS09165,-
TU220H-196,SGL_RS02700,-
TU220H-2679,SGL_RS11975,-
TU220H-1309,SGL_RS10785,-
TU220H-1819,SGL_RS14640,-
TU220H-509,SGL_RS04920 // SGL_RS04915,+
TU220H-776,SGL_RS06730,+
TU220H-141,SGL_RS02250,+
TU220H-718,SGL_RS06390,-
TU220H-1981,SGL_RS15795,+
TU220H-1928,SGL_RS15465,+
TU220H-343,SGL_RS03750,+
TU220H-1517,SGL_RS19240,+
TU220H-1417,SGL_RS11570,+
TU220H-2692,SGL_RS11630,+
TU220H-463,SGL_RS04635,+
TU220H-2339,SGL_RS00120,-
TU220H-2741,SGL_RS19460,+
TU220H-2417,SGL_RS01470,+
TU220H-401,SGL_RS18685,+
TU220H-218,SGL_RS02850,-
TU220H-652,SGL_RS05965,-
TU220H-1156,SGL_RS09690 // SGL_RS09685,-
TU220H-1399,SGL_RS11425,+
TU220H-2839,SGL_RS06570,+
TU220H-1409,SGL_RS11500,-
TU220H-2869,SGL_RS04515,-
TU220H-2140,SGL_RS17000,-
TU220H-2763,SGL_RS08845,-
TU220H-1266,SGL_RS10480,-
TU220H-1372,SGL_RS11235,-
TU220H-1729,SGL_RS13900,-
TU220H-704,SGL_RS06290,-
TU220H-2710,SGL_RS10850,+
TU220H-2628,SGL_RS19250,-
TU220H-2717,SGL_RS10645,-
TU220H-60,SGL_RS01185 // SGL_RS01180,-
TU220H-266,SGL_RS03165,-
TU220H-2065,SGL_RS16390 // SGL_RS16385 // SGL_RS16380 // SGL_RS16375,-
TU220H-2347,SGL_RS00185,-
TU220H-805,SGL_RS06985,-
TU220H-996,SGL_RS08480,+
TU220H-2325,SGL_RS00615,-
TU220H-931,SGL_RS07965 // SGL_RS07960,-
TU220H-2905,SGL_RS19405,-
TU220H-1325,SGL_RS10925,-
TU220H-1491,SGL_RS12150,-
TU220H-1927,SGL_RS15460,+
TU220H-603,SGL_RS05585 // SGL_RS05580,-
TU220H-1601,SGL_RS12935,+
TU220H-1515,SGL_RS12325,-
TU220H-856,SGL_RS07340,-
TU220H-1041,SGL_RS08835 // SGL_RS08830,-
TU220H-1658,SGL_RS13385,-
TU220H-2648,SGL_RS19465,+
TU220H-2789,SGL_RS07970,+
TU220H-548,SGL_RS05200,-
TU220H-2391,SGL_RS00510 // SGL_RS18520 // SGL_RS19305,-
TU220H-2423,SGL_RS01500,+
TU220H-2010,SGL_RS15980,+
TU220H-111,SGL_RS02010,+
TU220H-1768,SGL_RS14235,+
TU220H-313,SGL_RS03485,+
TU220H-126,SGL_RS02110,-
TU220H-1468,SGL_RS11990,-
TU220H-462,SGL_RS04630 // SGL_RS04625,+
TU220H-1951,SGL_RS15605,+
TU220H-328,SGL_RS03615 // SGL_RS03610,+
TU220H-1546,SGL_RS18975,+
TU220H-2315,SGL_RS18275,+
TU220H-2485,SGL_RS00235,-
TU220H-1337,SGL_RS11000,+
TU220H-1751,SGL_RS14090,+
TU220H-651,SGL_RS05960,-
TU220H-1155,SGL_RS09680,-
TU220H-901,SGL_RS07735,-
TU220H-2835,SGL_RS06715,-
TU220H-1084,SGL_RS09110,+
TU220H-767,SGL_RS06675,+
TU220H-2666,SGL_RS12390,-
TU220H-1265,SGL_RS10470,-
TU220H-2219,SGL_RS17580,-
TU220H-2442,SGL_RS01665 // SGL_RS01660,+
TU220H-1980,SGL_RS15790,+
TU220H-1678,SGL_RS13510,-
TU220H-1694,SGL_RS19020 // SGL_RS13645,+
TU220H-1701,SGL_RS13700,-
TU220H-2083,SGL_RS16540,-
TU220H-265,SGL_RS03160,-
TU220H-2291,SGL_RS18105,+
TU220H-1437,SGL_RS11760,-
TU220H-1926,SGL_RS15455,-
TU220H-1211,SGL_RS10080,-
TU220H-1584,SGL_RS12835,+
TU220H-855,SGL_RS07335,-
TU220H-916,SGL_RS07870 // SGL_RS07865 // SGL_RS07860,-
TU220H-1574,SGL_RS12755,-
TU220H-534,SGL_RS05090 // SGL_RS05085,-
TU220H-1356,SGL_RS11115,+
TU220H-1154,SGL_RS09675 // SGL_RS09670,+
TU220H-2624,SGL_RS13590,-
TU220H-747,SGL_RS06550,-
TU220H-1480,SGL_RS12075,+
TU220H-1308,SGL_RS18420,+
TU220H-508,SGL_RS04910,+
TU220H-1877,SGL_RS15065,-
TU220H-1616,SGL_RS13065,-
TU220H-2275,SGL_RS17990 // SGL_RS17985,-
TU220H-413,SGL_RS04240,+
TU220H-1514,SGL_RS12320,-
TU220H-2691,SGL_RS11635,-
TU220H-2575,SGL_RS15150,-
TU220H-461,SGL_RS04620,+
TU220H-2412,SGL_RS01425,+
TU220H-2513,SGL_RS17395,+
TU220H-2622,SGL_RS13615,+
TU220H-2311,SGL_RS18235,-
TU220H-1700,SGL_RS13690,-
TU220H-2274,SGL_RS17980,-
TU220H-2369,SGL_RS00350,+
TU220H-975,SGL_RS08305 // SGL_RS08300 // SGL_RS08295,+
TU220H-650,SGL_RS05955,-
TU220H-217,SGL_RS02845,-
TU220H-2938,SGL_RS18570,-
TU220H-2173,SGL_RS17255,+
TU220H-1153,SGL_RS09650,+
TU220H-1894,SGL_RS15185,+
TU220H-2841,SGL_RS06560,+
TU220H-1264,SGL_RS10465,-
TU220H-703,SGL_RS06285,-
TU220H-2009,SGL_RS15975,+
TU220H-577,SGL_RS05415 // SGL_RS05410,+
TU220H-2901,SGL_RS19410,-
TU220H-785,SGL_RS06795,+
TU220H-59,SGL_RS01170,-
TU220H-1695,SGL_RS13655,+
TU220H-2765,SGL_RS08825,+
TU220H-264,SGL_RS03155 // SGL_RS03150,-
TU220H-804,SGL_RS06980 // SGL_RS06975 // SGL_RS06970,-
TU220H-995,SGL_RS08475,+
TU220H-2715,SGL_RS10720,-
TU220H-1210,SGL_RS10075,-
TU220H-1098,SGL_RS09205,+
TU220H-1600,SGL_RS12930,+
TU220H-854,SGL_RS07330,-
TU220H-1040,SGL_RS08820,-
TU220H-2321,SGL_RS18330,+
TU220H-1152,SGL_RS09645,+
TU220H-203,SGL_RS02740,-
TU220H-732,SGL_RS06465,+
TU220H-519,SGL_RS04985 // SGL_RS04980,-
TU220H-1864,SGL_RS14970,-
TU220H-1129,SGL_RS18845,+
TU220H-110,SGL_RS02005,+
TU220H-357,SGL_RS03840,+
TU220H-1925,SGL_RS15450 // SGL_RS15445,-
TU220H-312,SGL_RS03480 // SGL_RS03475,-
TU220H-1416,SGL_RS11565,+
TU220H-393,SGL_RS04110,+
TU220H-155,SGL_RS02340 // SGL_RS02335,+
TU220H-460,SGL_RS04615,-
TU220H-2790,SGL_RS07955,+
TU220H-2730,SGL_RS10220,+
TU220H-1545,SGL_RS12575,-
TU220H-2090,SGL_RS16580,+
