Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS11885-MONOMER	USA300HOU_RS11885	tagatose-6-phosphate kinase	CCI-CYTOSOL-GP
USA300HOU_RS09315-MONOMER	USA300HOU_RS09315	polysaccharide biosynthesis protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02890-MONOMER	USA300HOU_RS02890	glycine C-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS10180-MONOMER	USA300HOU_RS10180	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08170-MONOMER	USA300HOU_RS08170	aminopeptidase P family protein	CCI-CYTOSOL-GP
USA300HOU_RS06855-MONOMER	USA300HOU_RS06855	SMC family ATPase	CCI-CYTOSOL-GP
USA300HOU_RS15870-MONOMER	USA300HOU_RS15870	type I toxin-antitoxin system Fst family toxin	
USA300HOU_RS13435-MONOMER	USA300HOU_RS13435	SDR family oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS08335-MONOMER	USA300HOU_RS08335	DNA primase	CCI-CYTOSOL-GP
USA300HOU_RS15055-MONOMER	USA300HOU_RS15055	hypothetical protein	
USA300HOU_RS01695-MONOMER	USA300HOU_RS01695	YjiH family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04190-MONOMER	USA300HOU_RS04190	phosphoglycerate kinase	CCI-CYTOSOL-GP
USA300HOU_RS05575-MONOMER	USA300HOU_RS05575	DUF420 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13965-MONOMER	USA300HOU_RS13965	DUF896 domain-containing protein	
USA300HOU_RS02235-MONOMER	USA300HOU_RS02235	tandem-type lipoprotein Lpl9	
USA300HOU_RS02555-MONOMER	USA300HOU_RS02555	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	CCI-CYTOSOL-GP
USA300HOU_RS00190-MONOMER	USA300HOU_RS00190	hypothetical protein	
USA300HOU_RS04395-MONOMER	USA300HOU_RS04395	toprim domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS04500-MONOMER	USA300HOU_RS04500	DUF4888 domain-containing protein	
USA300HOU_RS09395-MONOMER	USA300HOU_RS09395	riboflavin synthase	CCI-CYTOSOL-GP
USA300HOU_RS15915-MONOMER	USA300HOU_RS15915	galactose-6-phosphate isomerase subunit LacB	CCI-CYTOSOL-GP
USA300HOU_RS11180-MONOMER	USA300HOU_RS11180	alanine racemase	CCI-CYTOSOL-GP
USA300HOU_RS02895-MONOMER	USA300HOU_RS02895	protein deglycase HchA	CCI-CYTOSOL-GP
USA300HOU_RS10460-MONOMER	USA300HOU_RS10460	DUF4097 family beta strand repeat-containing protein	
USA300HOU_RS04085-MONOMER	USA300HOU_RS04085	hypothetical protein	
USA300HOU_RS05150-MONOMER	USA300HOU_RS05150	glycosyltransferase	CCI-CYTOSOL-GP
CPLX2KSB-45	USA300HOU_RS13050 // USA300HOU_RS13045 // USA300HOU_RS13040	amino acid ABC transporter	
USA300HOU_RS05585-MONOMER	USA300HOU_RS05585	CAP domain-containing protein	
USA300HOU_RS03550-MONOMER	USA300HOU_RS03550	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10735-MONOMER	USA300HOU_RS10735	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12270-MONOMER	USA300HOU_RS12270	hypothetical protein	
USA300HOU_RS08580-MONOMER	USA300HOU_RS08580	uridine kinase	CCI-CYTOSOL-GP
USA300HOU_RS00455-MONOMER	USA300HOU_RS00455	tRNA-dihydrouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS04880-MONOMER	USA300HOU_RS04880	beta-ketoacyl-ACP synthase II	CCI-PM-BAC-POS-GP
USA300HOU_RS12680-MONOMER	USA300HOU_RS12680	DNA-3-methyladenine glycosylase	
USA300HOU_RS00740-MONOMER	USA300HOU_RS00740	phosphonate ABC transporter, permease protein PhnE	CCI-PM-BAC-POS-GP
USA300HOU_RS09325-MONOMER	USA300HOU_RS09325	LPXTG-anchored repetitive surface protein SasC	CCI-CW-BAC-POS-GP
USA300HOU_RS05040-MONOMER	USA300HOU_RS05040	diglucosyl diacylglycerol synthase	
USA300HOU_RS12960-MONOMER	USA300HOU_RS12960	nitrate reductase subunit alpha	CCI-PM-BAC-POS-GP
USA300HOU_RS13970-MONOMER	USA300HOU_RS13970	VOC family protein	CCI-CYTOSOL-GP
USA300HOU_RS09595-MONOMER	USA300HOU_RS09595	hypothetical protein	
USA300HOU_RS10310-MONOMER	USA300HOU_RS10310	hypothetical protein	
USA300HOU_RS15920-MONOMER	USA300HOU_RS15920	galactose-6-phosphate isomerase subunit LacA	
USA300HOU_RS07735-MONOMER	USA300HOU_RS07735	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02900-MONOMER	USA300HOU_RS02900	ribulokinase	CCI-CYTOSOL-GP
USA300HOU_RS14880-MONOMER	USA300HOU_RS14880	helix-turn-helix transcriptional regulator	
USA300HOU_RS01885-MONOMER	USA300HOU_RS01885	cyclase family protein	CCI-CYTOSOL-GP
USA300HOU_RS11390-MONOMER	USA300HOU_RS11390	F0F1 ATP synthase subunit A	CCI-PM-BAC-POS-GP
USA300HOU_RS05590-MONOMER	USA300HOU_RS05590	YlbF family regulator	CCI-CYTOSOL-GP
USA300HOU_RS13440-MONOMER	USA300HOU_RS13440	single-stranded DNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS11340-MONOMER	USA300HOU_RS11340	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11920-MONOMER	USA300HOU_RS11920	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06400-MONOMER	USA300HOU_RS06400	30S ribosome-binding factor RbfA	CCI-CYTOSOL-GP
USA300HOU_RS06155-MONOMER	USA300HOU_RS06155	Asp23/Gls24 family envelope stress response protein	
USA300HOU_RS02905-MONOMER	USA300HOU_RS02905	NAD-dependent epimerase/dehydratase family protein	
USA300HOU_RS06315-MONOMER	USA300HOU_RS06315	GTP-sensing pleiotropic transcriptional regulator CodY	CCI-CYTOSOL-GP
USA300HOU_RS03855-MONOMER	USA300HOU_RS03855	anthranilate synthase component I family protein	CCI-CYTOSOL-GP
USA300HOU_RS00970-MONOMER	USA300HOU_RS00970	N-acetyl-gamma-glutamyl-phosphate reductase	CCI-CYTOSOL-GP
USA300HOU_RS03275-MONOMER	USA300HOU_RS03275	global transcriptional regulator SarA	CCI-CYTOSOL-GP
USA300HOU_RS13975-MONOMER	USA300HOU_RS13975	NmrA/HSCARG family protein	CCI-CYTOSOL-GP
USA300HOU_RS05770-MONOMER	USA300HOU_RS05770	hypothetical protein	
USA300HOU_RS06385-MONOMER	USA300HOU_RS06385	YlxR family protein	CCI-CYTOSOL-GP
USA300HOU_RS10975-MONOMER	USA300HOU_RS10975	LytTR family DNA-binding domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS07390-MONOMER	USA300HOU_RS07390	class I SAM-dependent RNA methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08400-MONOMER	USA300HOU_RS08400	30S ribosomal protein S21	CCI-CYTOSOL-GP
USA300HOU_RS04665-MONOMER	USA300HOU_RS04665	NAD(P)/FAD-dependent oxidoreductase	CCI-PM-BAC-POS-GP
USA300HOU_RS04090-MONOMER	USA300HOU_RS04090	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS05155-MONOMER	USA300HOU_RS05155	DoxX family protein	CCI-PM-BAC-POS-GP
CPLX2KSB-44	USA300HOU_RS09930 // USA300HOU_RS09925	amino acid ABC transporter	
USA300HOU_RS04220-MONOMER	USA300HOU_RS04220	carboxylesterase	CCI-CYTOSOL-GP
USA300HOU_RS03555-MONOMER	USA300HOU_RS03555	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06860-MONOMER	USA300HOU_RS06860	large conductance mechanosensitive channel protein MscL	CCI-PM-BAC-POS-GP
USA300HOU_RS13105-MONOMER	USA300HOU_RS13105	bi-component gamma-hemolysin HlgAB/HlgCB subunit B	CCI-EXTRACELLULAR-GP
USA300HOU_RS12285-MONOMER	USA300HOU_RS12285	GTP 3',8-cyclase MoaA	CCI-CYTOSOL-GP
USA300HOU_RS00195-MONOMER	USA300HOU_RS00195	recombinase family protein	CCI-CYTOSOL-GP
USA300HOU_RS09490-MONOMER	USA300HOU_RS09490	NERD domain-containing protein	
USA300HOU_RS01795-MONOMER	USA300HOU_RS01795	LLM class flavin-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS12685-MONOMER	USA300HOU_RS12685	sodium/glutamate symporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08300-MONOMER	USA300HOU_RS08300	metal ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS08750-MONOMER	USA300HOU_RS08750	50S ribosomal protein L27	CCI-CYTOSOL-GP
USA300HOU_RS12965-MONOMER	USA300HOU_RS12965	uroporphyrinogen-III C-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00975-MONOMER	USA300HOU_RS00975	ornithine--oxo-acid transaminase	CCI-CYTOSOL-GP
USA300HOU_RS10425-MONOMER	USA300HOU_RS10425	manganese-dependent inorganic pyrophosphatase	CCI-CYTOSOL-GP
USA300HOU_RS13980-MONOMER	USA300HOU_RS13980	DUF2316 family protein	
USA300HOU_RS12090-MONOMER	USA300HOU_RS12090	30S ribosomal protein S5	CCI-CYTOSOL-GP
USA300HOU_RS10480-MONOMER	USA300HOU_RS10480	phenol-soluble modulin export ABC transporter permease subunit PmtD	CCI-PM-BAC-POS-GP
USA300HOU_RS01935-MONOMER	USA300HOU_RS01935	30S ribosomal protein S6	CCI-CYTOSOL-GP
USA300HOU_RS00460-MONOMER	USA300HOU_RS00460	DUF6007 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00745-MONOMER	USA300HOU_RS00745	phosphonate ABC transporter, permease protein PhnE	CCI-PM-BAC-POS-GP
USA300HOU_RS11170-MONOMER	USA300HOU_RS11170	type II toxin-antitoxin system PemK/MazF family toxin	
USA300HOU_RS04095-MONOMER	USA300HOU_RS04095	HD domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS02910-MONOMER	USA300HOU_RS02910	branched-chain amino acid aminotransferase	CCI-CYTOSOL-GP
USA300HOU_RS03865-MONOMER	USA300HOU_RS03865	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13110-MONOMER	USA300HOU_RS13110	QueT transporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05940-MONOMER	USA300HOU_RS05940	phospho-N-acetylmuramoyl-pentapeptide- transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13445-MONOMER	USA300HOU_RS13445	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02295-MONOMER	USA300HOU_RS02295	phosphatase PAP2 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01700-MONOMER	USA300HOU_RS01700	YSIRK domain-containing triacylglycerol lipase Lip2/Geh	CCI-EXTRACELLULAR-GP
USA300HOU_RS03760-MONOMER	USA300HOU_RS03760	hypothetical protein	
USA300HOU_RS04195-MONOMER	USA300HOU_RS04195	triose-phosphate isomerase	CCI-CYTOSOL-GP
USA300HOU_RS13985-MONOMER	USA300HOU_RS13985	TetR/AcrR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06390-MONOMER	USA300HOU_RS06390	YlxQ family RNA-binding protein	
USA300HOU_RS09655-MONOMER	USA300HOU_RS09655	serine protease SplA	CCI-EXTRACELLULAR-GP
USA300HOU_RS09180-MONOMER	USA300HOU_RS09180	penicillin-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08290-MONOMER	USA300HOU_RS08290	superoxide dismutase	CCI-EXTRACELLULAR-GP
USA300HOU_RS05595-MONOMER	USA300HOU_RS05595	glycerophosphodiester phosphodiesterase	CCI-CYTOSOL-GP
USA300HOU_RS00750-MONOMER	USA300HOU_RS00750	phosphonate ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02075-MONOMER	USA300HOU_RS02075	hypothetical protein	
USA300HOU_RS11395-MONOMER	USA300HOU_RS11395	ATP synthase subunit I	
CPLX2KSB-43	USA300HOU_RS03985 // USA300HOU_RS03970 // USA300HOU_RS03975 // USA300HOU_RS03980	ABC transporter	
USA300HOU_RS06865-MONOMER	USA300HOU_RS06865	BCCT family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS01550-MONOMER	USA300HOU_RS01550	DUF5080 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13115-MONOMER	USA300HOU_RS13115	6-carboxyhexanoate--CoA ligase	CCI-CYTOSOL-GP
USA300HOU_RS11500-MONOMER	USA300HOU_RS11500	type II pantothenate kinase	
USA300HOU_RS12290-MONOMER	USA300HOU_RS12290	molybdenum cofactor guanylyltransferase MobA	CCI-CYTOSOL-GP
USA300HOU_RS06555-MONOMER	USA300HOU_RS06555	alpha/beta hydrolase	CCI-PM-BAC-POS-GP
USA300HOU_RS08065-MONOMER	USA300HOU_RS08065	hypothetical protein	
USA300HOU_RS11910-MONOMER	USA300HOU_RS11910	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04885-MONOMER	USA300HOU_RS04885	DUF3899 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12690-MONOMER	USA300HOU_RS12690	type 2 isopentenyl-diphosphate Delta-isomerase	CCI-CYTOSOL-GP
USA300HOU_RS02045-MONOMER	USA300HOU_RS02045	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05045-MONOMER	USA300HOU_RS05045	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase	CCI-CYTOSOL-GP
USA300HOU_RS02915-MONOMER	USA300HOU_RS02915	HAD family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS12970-MONOMER	USA300HOU_RS12970	nitrite reductase small subunit NirD	CCI-CYTOSOL-GP
USA300HOU_RS02150-MONOMER	USA300HOU_RS02150	superantigen-like protein SSL8	CCI-EXTRACELLULAR-GP
USA300HOU_RS13990-MONOMER	USA300HOU_RS13990	SDR family NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS10980-MONOMER	USA300HOU_RS10980	hypothetical protein	
USA300HOU_RS07395-MONOMER	USA300HOU_RS07395	cell division regulator GpsB	CCI-CYTOSOL-GP
USA300HOU_RS15460-MONOMER	USA300HOU_RS15460	hypothetical protein	
USA300HOU_RS00465-MONOMER	USA300HOU_RS00465	TfoX/Sxy family protein	
USA300HOU_RS14885-MONOMER	USA300HOU_RS14885	DUF536 domain-containing protein	
USA300HOU_RS04100-MONOMER	USA300HOU_RS04100	CsbA family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08175-MONOMER	USA300HOU_RS08175	hypothetical protein	
USA300HOU_RS03560-MONOMER	USA300HOU_RS03560	auxiliary protein GraX/ApsX	
USA300HOU_RS06870-MONOMER	USA300HOU_RS06870	aconitate hydratase AcnA	CCI-CYTOSOL-GP
USA300HOU_RS05340-MONOMER	USA300HOU_RS05340	phosphoribosylglycinamide formyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS13120-MONOMER	USA300HOU_RS13120	pyridoxal phosphate-dependent aminotransferase family protein	CCI-CYTOSOL-GP
USA300HOU_RS00200-MONOMER	USA300HOU_RS00200	recombinase family protein	CCI-CYTOSOL-GP
USA300HOU_RS08585-MONOMER	USA300HOU_RS08585	U32 family peptidase	CCI-CYTOSOL-GP
USA300HOU_RS13450-MONOMER	USA300HOU_RS13450	hypothetical protein	
USA300HOU_RS01740-MONOMER	USA300HOU_RS01740	lipoate--protein ligase	CCI-CYTOSOL-GP
USA300HOU_RS04890-MONOMER	USA300HOU_RS04890	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS06160-MONOMER	USA300HOU_RS06160	fatty acid kinase catalytic subunit FakA	
USA300HOU_RS03870-MONOMER	USA300HOU_RS03870	allophanate hydrolase subunit 1	
USA300HOU_RS15185-MONOMER	USA300HOU_RS15185	pathogenicity island protein	
USA300HOU_RS13995-MONOMER	USA300HOU_RS13995	amidohydrolase family protein	CCI-CYTOSOL-GP
USA300HOU_RS05775-MONOMER	USA300HOU_RS05775	complement convertase inhibitor Ecb	CCI-EXTRACELLULAR-GP
USA300HOU_RS04400-MONOMER	USA300HOU_RS04400	thioredoxin family protein	CCI-CYTOSOL-GP
USA300HOU_RS07400-MONOMER	USA300HOU_RS07400	DUF1273 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS05600-MONOMER	USA300HOU_RS05600	YlbG family protein	
USA300HOU_RS00755-MONOMER	USA300HOU_RS00755	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	
USA300HOU_RS11175-MONOMER	USA300HOU_RS11175	type II toxin-antitoxin system antitoxin MazE	CCI-EXTRACELLULAR-GP
USA300HOU_RS12295-MONOMER	USA300HOU_RS12295	molybdopterin converting factor subunit 1	
CPLX2KSB-42	USA300HOU_RS03455 // USA300HOU_RS03450	teichoic acids export ABC transporter	
USA300HOU_RS03565-MONOMER	USA300HOU_RS03565	response regulator transcription factor GraR/ApsR	CCI-CYTOSOL-GP
USA300HOU_RS13125-MONOMER	USA300HOU_RS13125	biotin synthase BioB	CCI-CYTOSOL-GP
USA300HOU_RS06560-MONOMER	USA300HOU_RS06560	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	
USA300HOU_RS03765-MONOMER	USA300HOU_RS03765	Cys-tRNA(Pro) deacylase	
USA300HOU_RS00470-MONOMER	USA300HOU_RS00470	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS12695-MONOMER	USA300HOU_RS12695	magnesium/cobalt transporter CorA	CCI-PM-BAC-POS-GP
USA300HOU_RS00760-MONOMER	USA300HOU_RS00760	hypothetical protein	
USA300HOU_RS02920-MONOMER	USA300HOU_RS02920	deoxynucleoside kinase	CCI-CYTOSOL-GP
USA300HOU_RS12975-MONOMER	USA300HOU_RS12975	nitrite reductase large subunit NirB	CCI-CYTOSOL-GP
USA300HOU_RS00980-MONOMER	USA300HOU_RS00980	branched-chain amino acid transport system II carrier protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01405-MONOMER	USA300HOU_RS01405	D-ribose pyranase	CCI-CYTOSOL-GP
USA300HOU_RS14000-MONOMER	USA300HOU_RS14000	alpha/beta hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS12095-MONOMER	USA300HOU_RS12095	50S ribosomal protein L18	CCI-CYTOSOL-GP
USA300HOU_RS06395-MONOMER	USA300HOU_RS06395	translation initiation factor IF-2	CCI-CYTOSOL-GP
USA300HOU_RS09665-MONOMER	USA300HOU_RS09665	DUF4888 domain-containing protein	
USA300HOU_RS09170-MONOMER	USA300HOU_RS09170	trypsin-like peptidase domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03105-MONOMER	USA300HOU_RS03105	FAD-containing oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS05605-MONOMER	USA300HOU_RS05605	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02390-MONOMER	USA300HOU_RS02390	PTS system trehalose-specific EIIBC component	CCI-PM-BAC-POS-GP
USA300HOU_RS05945-MONOMER	USA300HOU_RS05945	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	CCI-CYTOSOL-GP
USA300HOU_RS03875-MONOMER	USA300HOU_RS03875	biotin-dependent carboxyltransferase family protein	CCI-CYTOSOL-GP
USA300HOU_RS13130-MONOMER	USA300HOU_RS13130	adenosylmethionine--8-amino-7-oxononanoate transaminase	CCI-CYTOSOL-GP
USA300HOU_RS09925-MONOMER	USA300HOU_RS09925	amino acid ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00205-MONOMER	USA300HOU_RS00205	DUF927 domain-containing protein	
USA300HOU_RS15570-MONOMER	USA300HOU_RS15570	hypothetical protein	
USA300HOU_RS08070-MONOMER	USA300HOU_RS08070	VOC family protein	CCI-CYTOSOL-GP
USA300HOU_RS01705-MONOMER	USA300HOU_RS01705	alpha/beta hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS11185-MONOMER	USA300HOU_RS11185	holo-ACP synthase	CCI-CYTOSOL-GP
USA300HOU_RS00480-MONOMER	USA300HOU_RS00480	LysR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS04895-MONOMER	USA300HOU_RS04895	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS06165-MONOMER	USA300HOU_RS06165	ATP-dependent DNA helicase RecG	
USA300HOU_RS00765-MONOMER	USA300HOU_RS00765	bifunctional metallophosphatase/5'-nucleotidase	CCI-CW-BAC-POS-GP
USA300HOU_RS01990-MONOMER	USA300HOU_RS01990	hypothetical protein	
USA300HOU_RS04740-MONOMER	USA300HOU_RS04740	NADH-dependent flavin oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS06320-MONOMER	USA300HOU_RS06320	hypothetical protein	
USA300HOU_RS08615-MONOMER	USA300HOU_RS08615	alanine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS03285-MONOMER	USA300HOU_RS03285	IS30 family transposase	
USA300HOU_RS07700-MONOMER	USA300HOU_RS07700	phage tail family protein	CCI-CYTOSOL-GP
USA300HOU_RS02020-MONOMER	USA300HOU_RS02020	peroxiredoxin	CCI-CYTOSOL-GP
USA300HOU_RS14005-MONOMER	USA300HOU_RS14005	GTP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS07890-MONOMER	USA300HOU_RS07890	DUF1108 family protein	CCI-CYTOSOL-GP
USA300HOU_RS10985-MONOMER	USA300HOU_RS10985	carbohydrate kinase	CCI-CYTOSOL-GP
USA300HOU_RS02585-MONOMER	USA300HOU_RS02585	polysaccharide biosynthesis protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09050-MONOMER	USA300HOU_RS09050	metal-dependent hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS04405-MONOMER	USA300HOU_RS04405	methionine ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09350-MONOMER	USA300HOU_RS09350	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS07405-MONOMER	USA300HOU_RS07405	YppE family protein	
USA300HOU_RS12300-MONOMER	USA300HOU_RS12300	molybdenum cofactor biosynthesis protein MoaE	CCI-CYTOSOL-GP
USA300HOU_RS04105-MONOMER	USA300HOU_RS04105	excinuclease ABC subunit UvrB	CCI-CYTOSOL-GP
USA300HOU_RS10185-MONOMER	USA300HOU_RS10185	radical SAM/CxCxxxxC motif protein YfkAB	CCI-CYTOSOL-GP
USA300HOU_RS03880-MONOMER	USA300HOU_RS03880	polyglycerol-phosphate lipoteichoic acid synthase LtaS	CCI-PM-BAC-POS-GP
CPLX2KSB-41	USA300HOU_RS01095 // USA300HOU_RS01100 // USA300HOU_RS01105 // USA300HOU_RS01090	sugar ABC transporter	
USA300HOU_RS06875-MONOMER	USA300HOU_RS06875	acyl-CoA thioesterase	CCI-CYTOSOL-GP
USA300HOU_RS01555-MONOMER	USA300HOU_RS01555	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13135-MONOMER	USA300HOU_RS13135	dethiobiotin synthase	CCI-CYTOSOL-GP
USA300HOU_RS15380-MONOMER	USA300HOU_RS15380	hypothetical protein	
USA300HOU_RS09495-MONOMER	USA300HOU_RS09495	methionine adenosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS03770-MONOMER	USA300HOU_RS03770	DeoR/GlpR family DNA-binding transcription regulator	
USA300HOU_RS00485-MONOMER	USA300HOU_RS00485	DUF4865 family protein	CCI-CYTOSOL-GP
USA300HOU_RS12700-MONOMER	USA300HOU_RS12700	thioesterase family protein	
USA300HOU_RS00785-MONOMER	USA300HOU_RS00785	hypothetical protein	
USA300HOU_RS01890-MONOMER	USA300HOU_RS01890	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02925-MONOMER	USA300HOU_RS02925	deoxynucleoside kinase	CCI-CYTOSOL-GP
USA300HOU_RS03890-MONOMER	USA300HOU_RS03890	ABC-F family ATP-binding cassette domain-containing protein	
USA300HOU_RS12980-MONOMER	USA300HOU_RS12980	sirohydrochlorin chelatase	CCI-CYTOSOL-GP
USA300HOU_RS00985-MONOMER	USA300HOU_RS00985	isochorismatase family protein	CCI-CYTOSOL-GP
USA300HOU_RS14010-MONOMER	USA300HOU_RS14010	ferrous iron transporter B	CCI-PM-BAC-POS-GP
USA300HOU_RS12100-MONOMER	USA300HOU_RS12100	50S ribosomal protein L6	CCI-CYTOSOL-GP
USA300HOU_RS00210-MONOMER	USA300HOU_RS00210	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS10880-MONOMER	USA300HOU_RS10880	ArgE/DapE family deacylase	CCI-CYTOSOL-GP
USA300HOU_RS05610-MONOMER	USA300HOU_RS05610	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	CCI-CYTOSOL-GP
USA300HOU_RS10265-MONOMER	USA300HOU_RS10265	type 1 glutamine amidotransferase	CCI-CYTOSOL-GP
USA300HOU_RS10390-MONOMER	USA300HOU_RS10390	nicotinate phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08315-MONOMER	USA300HOU_RS08315	DEAD/DEAH box helicase	CCI-CYTOSOL-GP
USA300HOU_RS03570-MONOMER	USA300HOU_RS03570	histidine kinase GraS/ApsS	CCI-PM-BAC-POS-GP
USA300HOU_RS06880-MONOMER	USA300HOU_RS06880	HesB/YadR/YfhF family protein	CCI-CYTOSOL-GP
USA300HOU_RS09600-MONOMER	USA300HOU_RS09600	DUF1433 domain-containing protein	
USA300HOU_RS13140-MONOMER	USA300HOU_RS13140	hypothetical protein	
USA300HOU_RS10860-MONOMER	USA300HOU_RS10860	site-specific integrase	CCI-CYTOSOL-GP
USA300HOU_RS01710-MONOMER	USA300HOU_RS01710	NADH-dependent flavin oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS08125-MONOMER	USA300HOU_RS08125	transcriptional regulator ArgR	CCI-CYTOSOL-GP
USA300HOU_RS11925-MONOMER	USA300HOU_RS11925	aldo/keto reductase	CCI-CYTOSOL-GP
USA300HOU_RS04905-MONOMER	USA300HOU_RS04905	ATP-binding cassette domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00795-MONOMER	USA300HOU_RS00795	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS02930-MONOMER	USA300HOU_RS02930	tRNA adenosine(34) deaminase TadA	CCI-CYTOSOL-GP
USA300HOU_RS03895-MONOMER	USA300HOU_RS03895	DNA helicase RecQ	
USA300HOU_RS00990-MONOMER	USA300HOU_RS00990	alpha-keto acid decarboxylase family protein	CCI-CYTOSOL-GP
USA300HOU_RS04200-MONOMER	USA300HOU_RS04200	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	CCI-CYTOSOL-GP
USA300HOU_RS14015-MONOMER	USA300HOU_RS14015	NAD(P)-binding domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS05780-MONOMER	USA300HOU_RS05780	hypothetical protein	
USA300HOU_RS06910-MONOMER	USA300HOU_RS06910	transcription antiterminator	CCI-CYTOSOL-GP
USA300HOU_RS02240-MONOMER	USA300HOU_RS02240	tandem-type lipoprotein Lpl10	
USA300HOU_RS01605-MONOMER	USA300HOU_RS01605	antitoxin YezG family protein	CCI-CYTOSOL-GP
