Gene Name,Left-End-Position,Right-End-Position,Product,Accession-1,replicon
SYNPCC7942_0660,655416,656253,SYNPCC7942_0660-MONOMER,SYNPCC7942_RS03380,NC_007604.1
SYNPCC7942_0935,942067,942838,SYNPCC7942_0935-MONOMER,SYNPCC7942_RS04810,NC_007604.1
SYNPCC7942_1946,2021492,2021972,SYNPCC7942_1946-MONOMER,SYNPCC7942_RS09875,NC_007604.1
SYNPCC7942_1860,1930474,1931182,SYNPCC7942_1860-MONOMER,SYNPCC7942_RS09435,NC_007604.1
SYNPCC7942_0036,0,786,SYNPCC7942_0036-MONOMER,SYNPCC7942_0036,SYNPCC7942_0036
SYNPCC7942_0900,909439,909643,SYNPCC7942_0900-MONOMER,SYNPCC7942_RS04640,NC_007604.1
SYNPCC7942_0191,190471,191620,SYNPCC7942_0191-MONOMER,SYNPCC7942_RS00970,NC_007604.1
SYNPCC7942_1895,1967769,1968582,SYNPCC7942_1895-MONOMER,SYNPCC7942_RS09610,NC_007604.1
SYNPCC7942_0006,7778,8192,SYNPCC7942_0006-MONOMER,SYNPCC7942_RS00030,NC_007604.1
SYNPCC7942_1292,1313938,1316023,SYNPCC7942_1292-MONOMER,SYNPCC7942_RS06610,NC_007604.1
SYNPCC7942_0864,867394,867913,SYNPCC7942_0864-MONOMER,SYNPCC7942_RS04455,NC_007604.1
SYNPCC7942_1843,1910224,1911034,SYNPCC7942_1843-MONOMER,SYNPCC7942_RS09350,NC_007604.1
SYNPCC7942_2438,2512439,2513873,SYNPCC7942_2438-MONOMER,SYNPCC7942_RS12385,NC_007604.1
SYNPCC7942_0828,822872,823241,SYNPCC7942_0828-MONOMER,SYNPCC7942_RS04280,NC_007604.1
SYNPCC7942_1812,0,279,SYNPCC7942_1812-MONOMER,SYNPCC7942_1812,SYNPCC7942_1812
SYNPCC7942_0636,626924,627170,SYNPCC7942_0636-MONOMER,SYNPCC7942_RS03265,NC_007604.1
SYNPCC7942_0793,788592,789261,SYNPCC7942_0793-MONOMER,SYNPCC7942_RS04105,NC_007604.1
SYNPCC7942_1770,1836750,1837047,SYNPCC7942_1770-MONOMER,SYNPCC7942_RS08995,NC_007604.1
SYNPCC7942_1841,1907477,1908845,SYNPCC7942_1841-MONOMER,SYNPCC7942_RS09340,NC_007604.1
SYNPCC7942_0759,752573,753953,SYNPCC7942_0759-MONOMER,SYNPCC7942_RS03930,NC_007604.1
SYNPCC7942_1745,1815847,1816393,SYNPCC7942_1745-MONOMER,SYNPCC7942_RS08880,NC_007604.1
SYNPCC7942_0160,161725,162661,SYNPCC7942_0160-MONOMER,SYNPCC7942_RS00810,NC_007604.1
SYNPCC7942_0735,731098,731428,SYNPCC7942_0735-MONOMER,SYNPCC7942_RS03800,NC_007604.1
SYNPCC7942_1690,0,240,SYNPCC7942_1690-MONOMER,SYNPCC7942_1690,SYNPCC7942_1690
SYNPCC7942_1268,1291776,1293231,SYNPCC7942_1268-MONOMER,SYNPCC7942_RS06495,NC_007604.1
SYNPCC7942_0705,695970,696570,SYNPCC7942_0705-MONOMER,SYNPCC7942_RS03615,NC_007604.1
SYNPCC7942_1654,1724848,1725232,SYNPCC7942_1654-MONOMER,SYNPCC7942_RS08435,NC_007604.1
SYNPCC7942_2415,2486855,2488370,SYNPCC7942_2415-MONOMER,SYNPCC7942_RS12270,NC_007604.1
SYNPCC7942_B2641,0,126,SYNPCC7942_B2641-MONOMER,SYNPCC7942_B2641,SYNPCC7942_B2641
SYNPCC7942_0667,663984,664296,SYNPCC7942_0667-MONOMER,SYNPCC7942_RS03415,NC_007604.1
SYNPCC7942_0131,129669,132495,SYNPCC7942_0131-MONOMER,SYNPCC7942_RS00665,NC_007604.1
SYNPCC7942_1616,1683162,1683549,SYNPCC7942_1616-MONOMER,SYNPCC7942_RS08245,NC_007604.1
SYNPCC7942_B2615,0,330,SYNPCC7942_B2615-MONOMER,SYNPCC7942_RS13335,SYNPCC7942_RS13335
SYNPCC7942_1244,1268364,1269663,SYNPCC7942_1244-MONOMER,SYNPCC7942_RS06375,NC_007604.1
SYNPCC7942_0620,609865,610570,SYNPCC7942_0620-MONOMER,SYNPCC7942_RS03180,NC_007604.1
SYNPCC7942_1561,1618180,1618876,SYNPCC7942_1561-MONOMER,SYNPCC7942_RS07965,NC_007604.1
SYNPCC7942_2382,2448878,2450069,SYNPCC7942_2382-MONOMER,SYNPCC7942_RS12105,NC_007604.1
SYNPCC7942_2576,2660595,2662110,SYNPCC7942_2576-MONOMER,SYNPCC7942_RS13115,NC_007604.1
SYNPCC7942_0575,556413,556950,SYNPCC7942_0575-MONOMER,SYNPCC7942_RS02930,NC_007604.1
SYNPCC7942_1823,1894499,1895159,SYNPCC7942_1823-MONOMER,SYNPCC7942_RS09250,NC_007604.1
SYNPCC7942_1508,1558483,1559209,SYNPCC7942_1508-MONOMER,SYNPCC7942_RS07710,NC_007604.1
SYNPCC7942_2520,2601978,2602689,SYNPCC7942_2520-MONOMER,SYNPCC7942_RS12795,NC_007604.1
SYNPCC7942_0107,106964,108380,SYNPCC7942_0107-MONOMER,SYNPCC7942_RS00545,NC_007604.1
SYNPCC7942_0544,526891,527161,SYNPCC7942_0544-MONOMER,SYNPCC7942_RS02770,NC_007604.1
SYNPCC7942_1471,1523001,1523259,SYNPCC7942_1471-MONOMER,SYNPCC7942_RS07520,NC_007604.1
SYNPCC7942_1225,1246180,1246927,SYNPCC7942_1225-MONOMER,SYNPCC7942_RS06275,NC_007604.1
SYNPCC7942_2481,0,1233,SYNPCC7942_2481-MONOMER,SYNPCC7942_2481,SYNPCC7942_2481
SYNPCC7942_0514,499682,500105,SYNPCC7942_0514-MONOMER,SYNPCC7942_RS02610,NC_007604.1
SYNPCC7942_2356,2422192,2422819,SYNPCC7942_2356-MONOMER,SYNPCC7942_RS11970,NC_007604.1
SYNPCC7942_1417,1470999,1471983,SYNPCC7942_1417-MONOMER,SYNPCC7942_RS07250,NC_007604.1
SYNPCC7942_2424,2496823,2497627,SYNPCC7942_2424-MONOMER,SYNPCC7942_RS12315,NC_007604.1
SYNPCC7942_1795,1865978,1866443,SYNPCC7942_1795-MONOMER,SYNPCC7942_RS09120,NC_007604.1
SYNPCC7942_0472,458794,459019,SYNPCC7942_0472-MONOMER,SYNPCC7942_RS02410,NC_007604.1
SYNPCC7942_1375,1415984,1416506,SYNPCC7942_1375-MONOMER,SYNPCC7942_RS07035,NC_007604.1
SYNPCC7942_0081,78986,79196,SYNPCC7942_0081-MONOMER,SYNPCC7942_RS00400,NC_007604.1
SYNPCC7942_2395,2470888,2471140,SYNPCC7942_2395-MONOMER,SYNPCC7942_RS12170,NC_007604.1
SYNPCC7942_0429,418680,419220,SYNPCC7942_0429-MONOMER,SYNPCC7942_RS02190,NC_007604.1
SYNPCC7942_1205,<1233756,1233939,SYNPCC7942_1205-MONOMER,SYNPCC7942_RS06170,NC_007604.1
SYNPCC7942_1332,1363470,1364091,SYNPCC7942_1332-MONOMER,SYNPCC7942_RS06810,NC_007604.1
SYNPCC7942_2344,2411498,2412449,SYNPCC7942_2344-MONOMER,SYNPCC7942_RS11910,NC_007604.1
SYNPCC7942_2333,2399961,2401299,SYNPCC7942_2333-MONOMER,SYNPCC7942_RS11860,NC_007604.1
SYNPCC7942_0398,392989,393448,SYNPCC7942_0398-MONOMER,SYNPCC7942_RS02030,NC_007604.1
SYNPCC7942_1280,1302043,1303138,SYNPCC7942_1280-MONOMER,SYNPCC7942_RS06555,NC_007604.1
SYNPCC7942_1767,1834077,1835463,SYNPCC7942_1767-MONOMER,SYNPCC7942_RS08980,NC_007604.1
SYNPCC7942_2292,2361400,2363665,SYNPCC7942_2292-MONOMER,SYNPCC7942_RS11650,NC_007604.1
SYNPCC7942_0364,355864,356416,SYNPCC7942_0364-MONOMER,SYNPCC7942_RS01855,NC_007604.1
SYNPCC7942_0057,59071,60304,SYNPCC7942_0057-MONOMER,SYNPCC7942_RS00285,NC_007604.1
SYNPCC7942_1228,1249354,1250224,SYNPCC7942_1228-MONOMER,SYNPCC7942_RS06295,NC_007604.1
SYNPCC7942_2255,2325519,2325924,SYNPCC7942_2255-MONOMER,SYNPCC7942_RS11465,NC_007604.1
SYNPCC7942_1180,1211741,1212104,SYNPCC7942_1180-MONOMER,SYNPCC7942_RS06045,NC_007604.1
SYNPCC7942_0317,314896,315355,SYNPCC7942_0317-MONOMER,SYNPCC7942_RS01615,NC_007604.1
SYNPCC7942_1167,1200772,1201330,SYNPCC7942_1167-MONOMER,SYNPCC7942_RS05985,NC_007604.1
SYNPCC7942_2313,2381613,2383248,SYNPCC7942_2313-MONOMER,SYNPCC7942_RS11760,NC_007604.1
SYNPCC7942_2184,2262517,2263318,SYNPCC7942_2184-MONOMER,SYNPCC7942_RS11100,NC_007604.1
SYNPCC7942_0265,262384,262660,SYNPCC7942_0265-MONOMER,SYNPCC7942_RS01350,NC_007604.1
SYNPCC7942_1737,1807074,1808403,SYNPCC7942_1737-MONOMER,SYNPCC7942_RS08840,NC_007604.1
SYNPCC7942_1144,1169423,1170455,SYNPCC7942_1144-MONOMER,SYNPCC7942_RS05855,NC_007604.1
SYNPCC7942_2157,0,285,SYNPCC7942_2157-MONOMER,SYNPCC7942_RS10960,SYNPCC7942_RS10960
SYNPCC7942_0028,29346,30015,SYNPCC7942_0028-MONOMER,SYNPCC7942_RS00145,NC_007604.1
SYNPCC7942_0223,223394,223805,SYNPCC7942_0223-MONOMER,SYNPCC7942_RS01135,NC_007604.1
SYNPCC7942_1098,1115019,1116258,SYNPCC7942_1098-MONOMER,SYNPCC7942_RS05630,NC_007604.1
SYNPCC7942_1148,1172694,1173912,SYNPCC7942_1148-MONOMER,SYNPCC7942_RS05880,NC_007604.1
SYNPCC7942_2118,2199693,2199981,SYNPCC7942_2118-MONOMER,SYNPCC7942_RS10740,NC_007604.1
SYNPCC7942_0183,181077,181467,SYNPCC7942_0183-MONOMER,SYNPCC7942_RS00930,NC_007604.1
SYNPCC7942_2288,2358161,2358698,SYNPCC7942_2288-MONOMER,SYNPCC7942_RS11630,NC_007604.1
SYNPCC7942_1066,0,249,SYNPCC7942_1066-MONOMER,SYNPCC7942_RS05470,SYNPCC7942_RS05470
SYNPCC7942_2056,0,378,SYNPCC7942_2056-MONOMER,SYNPCC7942_2056,SYNPCC7942_2056
SYNPCC7942_1715,1783249,1783903,SYNPCC7942_1715-MONOMER,SYNPCC7942_RS08725,NC_007604.1
SYNPCC7942_0154,156339,156957,SYNPCC7942_0154-MONOMER,SYNPCC7942_RS00780,NC_007604.1
SYNPCC7942_1027,1041850,1042114,SYNPCC7942_1027-MONOMER,SYNPCC7942_RS05275,NC_007604.1
HTX97_RS00005,0,747,HTX97_RS00005-MONOMER,ST32046_p1,ST32046_p1
SYNPCC7942_2019,2085892,2086762,SYNPCC7942_2019-MONOMER,SYNPCC7942_RS10245,NC_007604.1
SYNPCC7942_0115,0,516,SYNPCC7942_0115-MONOMER,SYNPCC7942_0115,SYNPCC7942_0115
SYNPCC7942_1121,1138463,1140623,SYNPCC7942_1121-MONOMER,SYNPCC7942_RS05745,NC_007604.1
SYNPCC7942_0981,989799,991494,SYNPCC7942_0981-MONOMER,SYNPCC7942_RS05040,NC_007604.1
SYNPCC7942_1981,2051890,2052499,SYNPCC7942_1981-MONOMER,SYNPCC7942_RS10045,NC_007604.1
SYNPCC7942_2258,2327012,2328296,SYNPCC7942_2258-MONOMER,SYNPCC7942_RS11475,NC_007604.1
SYNPCC7942_0069,69078,69375,SYNPCC7942_0069-MONOMER,SYNPCC7942_RS00340,NC_007604.1
SYNPCC7942_0926,932733,933993,SYNPCC7942_0926-MONOMER,SYNPCC7942_RS04765,NC_007604.1
SYNPCC7942_0624,615360,616419,SYNPCC7942_0624-MONOMER,SYNPCC7942_RS03200,NC_007604.1
SYNPCC7942_1932,2006046,2006580,SYNPCC7942_1932-MONOMER,SYNPCC7942_RS09805,NC_007604.1
SYNPCC7942_0032,32848,33202,SYNPCC7942_0032-MONOMER,SYNPCC7942_RS00165,NC_007604.1
SYNPCC7942_1689,1755914,1756877,SYNPCC7942_1689-MONOMER,SYNPCC7942_RS08605,NC_007604.1
SYNPCC7942_0891,901735,902035,SYNPCC7942_0891-MONOMER,SYNPCC7942_RS04590,NC_007604.1
SYNPCC7942_1889,1961986,1963582,SYNPCC7942_1889-MONOMER,SYNPCC7942_RS09580,NC_007604.1
SYNPCC7942_1096,1113353,1114724,SYNPCC7942_1096-MONOMER,SYNPCC7942_RS05625,NC_007604.1
HTX97_RS00040,0,603,HTX97_RS00040-MONOMER,HTX97_RS00040,HTX97_RS00040
SYNPCC7942_0861,864179,865469,SYNPCC7942_0861-MONOMER,SYNPCC7942_RS04440,NC_007604.1
SYNPCC7942_2232,2298876,2299518,SYNPCC7942_2232-MONOMER,SYNPCC7942_RS11335,NC_007604.1
SYNPCC7942_1837,1904029,1904374,SYNPCC7942_1837-MONOMER,SYNPCC7942_RS09320,NC_007604.1
SYNPCC7942_0824,818188,819895,SYNPCC7942_0824-MONOMER,SYNPCC7942_RS04260,NC_007604.1
SYNPCC7942_0598,585814,587473,SYNPCC7942_0598-MONOMER,SYNPCC7942_RS03065,NC_007604.1
SYNPCC7942_1800,1870005,1870455,SYNPCC7942_1800-MONOMER,SYNPCC7942_RS09145,NC_007604.1
SYNPCC7942_0784,0,318,SYNPCC7942_0784-MONOMER,SYNPCC7942_0784,SYNPCC7942_0784
SYNPCC7942_1662,1731810,1733247,SYNPCC7942_1662-MONOMER,SYNPCC7942_RS08475,NC_007604.1
SYNPCC7942_1765,0,504,SYNPCC7942_1765-MONOMER,SYNPCC7942_1765,SYNPCC7942_1765
SYNPCC7942_0755,749430,750009,SYNPCC7942_0755-MONOMER,SYNPCC7942_RS03910,NC_007604.1
SYNPCC7942_1065,1075364,1078484,SYNPCC7942_1065-MONOMER,SYNPCC7942_RS05465,NC_007604.1
SYNPCC7942_1730,1802052,1802640,SYNPCC7942_1730-MONOMER,SYNPCC7942_RS08805,NC_007604.1
SYNPCC7942_0730,724661,725165,SYNPCC7942_0730-MONOMER,SYNPCC7942_RS03775,NC_007604.1
SYNPCC7942_2216,2291443,2291986,SYNPCC7942_2216-MONOMER,SYNPCC7942_RS11255,NC_007604.1
SYNPCC7942_1677,1745499,1746597,SYNPCC7942_1677-MONOMER,SYNPCC7942_RS08545,NC_007604.1
SYNPCC7942_0700,691823,692657,SYNPCC7942_0700-MONOMER,SYNPCC7942_RS03590,NC_007604.1
SYNPCC7942_0571,553323,554697,SYNPCC7942_0571-MONOMER,SYNPCC7942_RS02905,NC_007604.1
SYNPCC7942_1644,1711968,1712817,SYNPCC7942_1644-MONOMER,SYNPCC7942_RS08385,NC_007604.1
SYNPCC7942_B2638,0,294,SYNPCC7942_B2638-MONOMER,SYNPCC7942_RS13525,SYNPCC7942_RS13525
SYNPCC7942_1631,1699268,1700168,SYNPCC7942_1631-MONOMER,SYNPCC7942_RS08320,NC_007604.1
SYNPCC7942_0661,656281,657874,SYNPCC7942_0661-MONOMER,SYNPCC7942_RS03385,NC_007604.1
SYNPCC7942_1604,1669272,1670625,SYNPCC7942_1604-MONOMER,SYNPCC7942_RS08185,NC_007604.1
SYNPCC7942_1044,1056739,1057462,SYNPCC7942_1044-MONOMER,SYNPCC7942_RS05355,NC_007604.1
SYNPCC7942_2608,0,321,SYNPCC7942_2608-MONOMER,SYNPCC7942_2608,SYNPCC7942_2608
SYNPCC7942_0614,603995,605675,SYNPCC7942_0614-MONOMER,SYNPCC7942_RS03150,NC_007604.1
SYNPCC7942_2199,2277915,2280528,SYNPCC7942_2199-MONOMER,SYNPCC7942_RS11170,NC_007604.1
SYNPCC7942_1558,1615203,1616271,SYNPCC7942_1558-MONOMER,SYNPCC7942_RS07950,NC_007604.1
SYNPCC7942_2560,2638520,2639036,SYNPCC7942_2560-MONOMER,SYNPCC7942_RS13010,NC_007604.1
SYNPCC7942_0538,521501,523508,SYNPCC7942_0538-MONOMER,SYNPCC7942_RS02735,NC_007604.1
SYNPCC7942_0572,554693,555134,SYNPCC7942_0572-MONOMER,SYNPCC7942_RS02910,NC_007604.1
SYNPCC7942_1502,1551729,1552302,SYNPCC7942_1502-MONOMER,SYNPCC7942_RS07675,NC_007604.1
SYNPCC7942_1608,1673934,1675344,SYNPCC7942_1608-MONOMER,SYNPCC7942_RS08205,NC_007604.1
SYNPCC7942_2511,2590255,2590759,SYNPCC7942_2511-MONOMER,SYNPCC7942_RS12740,NC_007604.1
SYNPCC7942_0540,524402,524828,SYNPCC7942_0540-MONOMER,SYNPCC7942_RS02745,NC_007604.1
SYNPCC7942_1012,1023968,1024742,SYNPCC7942_1012-MONOMER,SYNPCC7942_RS05195,NC_007604.1
SYNPCC7942_1459,1511591,1512212,SYNPCC7942_1459-MONOMER,SYNPCC7942_RS07465,NC_007604.1
SYNPCC7942_2474,0,162,SYNPCC7942_2474-MONOMER,SYNPCC7942_2474,SYNPCC7942_2474
SYNPCC7942_2164,2245606,2246992,SYNPCC7942_2164-MONOMER,SYNPCC7942_RS11000,NC_007604.1
SYNPCC7942_0502,489507,490074,SYNPCC7942_0502-MONOMER,SYNPCC7942_RS02550,NC_007604.1
SYNPCC7942_1411,1463650,1464358,SYNPCC7942_1411-MONOMER,SYNPCC7942_RS07220,NC_007604.1
SYNPCC7942_0510,495929,496580,SYNPCC7942_0510-MONOMER,SYNPCC7942_RS02590,NC_007604.1
SYNPCC7942_2414,2485594,2486650,SYNPCC7942_2414-MONOMER,SYNPCC7942_RS12265,NC_007604.1
SYNPCC7942_0464,450538,450880,SYNPCC7942_0464-MONOMER,SYNPCC7942_RS02365,NC_007604.1
SYNPCC7942_1585,1650200,1650986,SYNPCC7942_1585-MONOMER,SYNPCC7942_RS08095,NC_007604.1
SYNPCC7942_1364,1402686,1403103,SYNPCC7942_1364-MONOMER,SYNPCC7942_RS06975,NC_007604.1
SYNPCC7942_2385,2454973,2455996,SYNPCC7942_2385-MONOMER,SYNPCC7942_RS12120,NC_007604.1
SYNPCC7942_0988,996947,997274,SYNPCC7942_0988-MONOMER,SYNPCC7942_RS05075,NC_007604.1
SYNPCC7942_0422,412146,413289,SYNPCC7942_0422-MONOMER,SYNPCC7942_RS02155,NC_007604.1
SYNPCC7942_1328,1361166,1361559,SYNPCC7942_1328-MONOMER,SYNPCC7942_RS06790,NC_007604.1
SYNPCC7942_2131,2209182,2211255,SYNPCC7942_2131-MONOMER,SYNPCC7942_RS10805,NC_007604.1
SYNPCC7942_2336,0,174,SYNPCC7942_2336-MONOMER,SYNPCC7942_2336,SYNPCC7942_2336
SYNPCC7942_0391,383544,385125,SYNPCC7942_0391-MONOMER,SYNPCC7942_RS01995,NC_007604.1
SYNPCC7942_0481,465712,466828,SYNPCC7942_0481-MONOMER,SYNPCC7942_RS02450,NC_007604.1
SYNPCC7942_1272,1296233,1296761,SYNPCC7942_1272-MONOMER,SYNPCC7942_RS06515,NC_007604.1
SYNPCC7942_2283,2353110,2353854,SYNPCC7942_2283-MONOMER,SYNPCC7942_RS11605,NC_007604.1
SYNPCC7942_1562,1618799,1619696,SYNPCC7942_1562-MONOMER,SYNPCC7942_RS07970,NC_007604.1
SYNPCC7942_0361,354531,354759,SYNPCC7942_0361-MONOMER,SYNPCC7942_RS01840,NC_007604.1
SYNPCC7942_1209,1234969,1235230,SYNPCC7942_1209-MONOMER,SYNPCC7942_RS06190,NC_007604.1
SYNPCC7942_0963,971258,971639,SYNPCC7942_0963-MONOMER,SYNPCC7942_RS04950,NC_007604.1
SYNPCC7942_2246,2310737,2312300,SYNPCC7942_2246-MONOMER,SYNPCC7942_RS11405,NC_007604.1
SYNPCC7942_0306,0,309,SYNPCC7942_0306-MONOMER,SYNPCC7942_0306,SYNPCC7942_0306
SYNPCC7942_2107,0,1590,SYNPCC7942_2107-MONOMER,SYNPCC7942_2107,SYNPCC7942_2107
SYNPCC7942_1164,1197416,1198841,SYNPCC7942_1164-MONOMER,SYNPCC7942_RS05970,NC_007604.1
SYNPCC7942_2179,2258444,2259359,SYNPCC7942_2179-MONOMER,SYNPCC7942_RS11075,NC_007604.1
SYNPCC7942_0456,0,138,SYNPCC7942_0456-MONOMER,SYNPCC7942_0456,SYNPCC7942_0456
SYNPCC7942_0253,248170,248629,SYNPCC7942_0253-MONOMER,SYNPCC7942_RS01290,NC_007604.1
SYNPCC7942_1140,1164349,1166107,SYNPCC7942_1140-MONOMER,SYNPCC7942_RS05835,NC_007604.1
SYNPCC7942_1533,1592331,1593093,SYNPCC7942_1533-MONOMER,SYNPCC7942_RS07835,NC_007604.1
SYNPCC7942_2153,2237995,2238427,SYNPCC7942_2153-MONOMER,SYNPCC7942_RS10940,NC_007604.1
SYNPCC7942_0218,220023,220191,SYNPCC7942_0218-MONOMER,SYNPCC7942_RS01110,NC_007604.1
SYNPCC7942_0942,947956,949849,SYNPCC7942_0942-MONOMER,SYNPCC7942_RS04845,NC_007604.1
SYNPCC7942_1092,1110003,1110663,SYNPCC7942_1092-MONOMER,SYNPCC7942_RS05605,NC_007604.1
SYNPCC7942_2112,2192959,2193502,SYNPCC7942_2112-MONOMER,SYNPCC7942_RS10705,NC_007604.1
SYNPCC7942_2087,2167148,2167916,SYNPCC7942_2087-MONOMER,SYNPCC7942_RS10580,NC_007604.1
SYNPCC7942_0176,0,402,SYNPCC7942_0176-MONOMER,SYNPCC7942_0176,SYNPCC7942_0176
SYNPCC7942_1061,1072277,1073213,SYNPCC7942_1061-MONOMER,SYNPCC7942_RS05445,NC_007604.1
SYNPCC7942_0432,422546,423245,SYNPCC7942_0432-MONOMER,SYNPCC7942_RS02205,NC_007604.1
SYNPCC7942_2050,0,1464,SYNPCC7942_2050-MONOMER,SYNPCC7942_2050,SYNPCC7942_2050
SYNPCC7942_0147,148158,148491,SYNPCC7942_0147-MONOMER,SYNPCC7942_RS00745,NC_007604.1
SYNPCC7942_1515,1565390,1566290,SYNPCC7942_1515-MONOMER,SYNPCC7942_RS07745,NC_007604.1
SYNPCC7942_1022,1037048,1037837,SYNPCC7942_1022-MONOMER,SYNPCC7942_RS05255,NC_007604.1
SYNPCC7942_2014,2083249,2083843,SYNPCC7942_2014-MONOMER,SYNPCC7942_RS10215,NC_007604.1
SYNPCC7942_0920,926719,926974,SYNPCC7942_0920-MONOMER,SYNPCC7942_RS04735,NC_007604.1
SYNPCC7942_0104,103631,104456,SYNPCC7942_0104-MONOMER,SYNPCC7942_RS00530,NC_007604.1
SYNPCC7942_0971,977902,979153,SYNPCC7942_0971-MONOMER,SYNPCC7942_RS04990,NC_007604.1
SYNPCC7942_2067,2143336,2144584,SYNPCC7942_2067-MONOMER,SYNPCC7942_RS10480,NC_007604.1
SYNPCC7942_1966,2037412,2037670,SYNPCC7942_1966-MONOMER,SYNPCC7942_RS09975,NC_007604.1
SYNPCC7942_0060,0,279,SYNPCC7942_0060-MONOMER,SYNPCC7942_RS00300,SYNPCC7942_RS00300
SYNPCC7942_0397,391531,392923,SYNPCC7942_0397-MONOMER,SYNPCC7942_RS02025,NC_007604.1
SYNPCC7942_0917,923526,923793,SYNPCC7942_0917-MONOMER,SYNPCC7942_RS04720,NC_007604.1
SYNPCC7942_1926,2001646,2001859,SYNPCC7942_1926-MONOMER,SYNPCC7942_RS09775,NC_007604.1
SYNPCC7942_1489,1539952,1540789,SYNPCC7942_1489-MONOMER,SYNPCC7942_RS07610,NC_007604.1
SYNPCC7942_0024,24180,25371,SYNPCC7942_0024-MONOMER,SYNPCC7942_RS00125,NC_007604.1
SYNPCC7942_0875,877452,877956,SYNPCC7942_0875-MONOMER,SYNPCC7942_RS04510,NC_007604.1
SYNPCC7942_B2643,0,726,SYNPCC7942_B2643-MONOMER,SYNPCC7942_RS13545,SYNPCC7942_RS13545
SYNPCC7942_1878,1950659,1951652,SYNPCC7942_1878-MONOMER,SYNPCC7942_RS09525,NC_007604.1
HTX97_RS00020,0,516,HTX97_RS00020-MONOMER,ST32046_p6,ST32046_p6
SYNPCC7942_0888,894279,894639,SYNPCC7942_0888-MONOMER,SYNPCC7942_RS04575,NC_007604.1
SYNPCC7942_0849,845821,846409,SYNPCC7942_0849-MONOMER,SYNPCC7942_RS04385,NC_007604.1
SYNPCC7942_1834,1902529,1902988,SYNPCC7942_1834-MONOMER,SYNPCC7942_RS09305,NC_007604.1
SYNPCC7942_2043,2112252,2112672,SYNPCC7942_2043-MONOMER,SYNPCC7942_RS10365,NC_007604.1
SYNPCC7942_0810,804852,805086,SYNPCC7942_0810-MONOMER,SYNPCC7942_RS04190,NC_007604.1
SYNPCC7942_1796,1866455,1866749,SYNPCC7942_1796-MONOMER,SYNPCC7942_RS09125,NC_007604.1
SYNPCC7942_0366,357548,359732,SYNPCC7942_0366-MONOMER,SYNPCC7942_RS01865,NC_007604.1
SYNPCC7942_0772,764983,765577,SYNPCC7942_0772-MONOMER,SYNPCC7942_RS04005,NC_007604.1
SYNPCC7942_1761,1827925,1829530,SYNPCC7942_1761-MONOMER,SYNPCC7942_RS08950,NC_007604.1
SYNPCC7942_1464,1517236,1518832,SYNPCC7942_1464-MONOMER,SYNPCC7942_RS07490,NC_007604.1
SYNPCC7942_0751,746589,747510,SYNPCC7942_0751-MONOMER,SYNPCC7942_RS03890,NC_007604.1
SYNPCC7942_1720,1791951,1792392,SYNPCC7942_1720-MONOMER,SYNPCC7942_RS08750,NC_007604.1
SYNPCC7942_2606,2688304,2690119,SYNPCC7942_2606-MONOMER,SYNPCC7942_RS13275,NC_007604.1
SYNPCC7942_0727,720422,722966,SYNPCC7942_0727-MONOMER,SYNPCC7942_RS03760,NC_007604.1
SYNPCC7942_1674,1743854,1744166,SYNPCC7942_1674-MONOMER,SYNPCC7942_RS08530,NC_007604.1
SYNPCC7942_0857,855314,855821,SYNPCC7942_0857-MONOMER,SYNPCC7942_RS04420,NC_007604.1
SYNPCC7942_B2658,0,270,SYNPCC7942_B2658-MONOMER,SYNPCC7942_B2658,SYNPCC7942_B2658
SYNPCC7942_0691,685289,685634,SYNPCC7942_0691-MONOMER,SYNPCC7942_RS13620,NC_007604.1
SYNPCC7942_2011,<2080464,2081391,SYNPCC7942_2011-MONOMER,SYNPCC7942_RS10200,NC_007604.1
SYNPCC7942_1640,1707880,1708414,SYNPCC7942_1640-MONOMER,SYNPCC7942_RS08365,NC_007604.1
SYNPCC7942_B2634,0,1425,SYNPCC7942_B2634-MONOMER,SYNPCC7942_RS13505,SYNPCC7942_RS13505
SYNPCC7942_0337,332457,333408,SYNPCC7942_0337-MONOMER,SYNPCC7942_RS01715,NC_007604.1
SYNPCC7942_0652,647123,648713,SYNPCC7942_0652-MONOMER,SYNPCC7942_RS03340,NC_007604.1
SYNPCC7942_1594,1660734,1661760,SYNPCC7942_1594-MONOMER,SYNPCC7942_RS08140,NC_007604.1
SYNPCC7942_1440,1494172,1495093,SYNPCC7942_1440-MONOMER,SYNPCC7942_RS07365,NC_007604.1
SYNPCC7942_2598,2680409,2681486,SYNPCC7942_2598-MONOMER,SYNPCC7942_RS13235,NC_007604.1
SYNPCC7942_0605,593710,594694,SYNPCC7942_0605-MONOMER,SYNPCC7942_RS03105,NC_007604.1
SYNPCC7942_2579,2663565,2664450,SYNPCC7942_2579-MONOMER,SYNPCC7942_RS13130,NC_007604.1
SYNPCC7942_1551,1607979,1608816,SYNPCC7942_1551-MONOMER,SYNPCC7942_RS07910,NC_007604.1
SYNPCC7942_2549,2628103,2628358,SYNPCC7942_2549-MONOMER,SYNPCC7942_RS12950,NC_007604.1
SYNPCC7942_0822,816063,817089,SYNPCC7942_0822-MONOMER,SYNPCC7942_RS04250,NC_007604.1
SYNPCC7942_0561,542053,543049,SYNPCC7942_0561-MONOMER,SYNPCC7942_RS02855,NC_007604.1
